DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;DPTO;ORDEN;fex_c_2011
1139648;1;1;1;1;1;1;1;6; ;4; ; ; ;50000; ;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;05;1;1016,91469325325
1139650;1;3;2;1;1;1;1;1;1;3; ; ; ; ;160000;1;2;1;2;1;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;1229,44655545006
1139651;1;3;2;1;1;1;1;1;4;5; ; ; ;100000; ;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;2;1;1;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;1029,21104776776
1139652;1;3;2;1;1;1;1;1;4;1; ; ;98;230000; ;1;2;1;1;1;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;986,117252584958
1139653;1;3;3;1;1;1;1;1;4;3; ; ; ; ;170000;1;2;1;1;2;1;2;2;2;1;2;2;2;2;2;2;1;2;1;2;2;1;2;1;4;1;2;1;1;1;1;2;1;01;05;05;1;958,13309721959
1139654;1;3;3;1;1;1;1;1;1;1; ; ;30000000;120000; ;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;05;1;980,269395023485
1139655;1;6;5;1;1;1;1;1;4;1; ; ;30000000;250000; ;1;2;1;1;2;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;1;1;1;4;1;2;1;1;1;2;2;1;01;05;05;1;1377,82534680602
1139656;1;3;2;1;1;1;1;1;4;2; ;150000;14000000;170000; ;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;2;1;1;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;1088,6199251293
1139658;1;3;1;1;1;1;1;1;4;3; ; ; ; ;180000;1;2;1;1;2;2;2;2;2;2;1;1;2;2;2;2;1;1;1;1;1;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;973,274828065463
1139659;1;4;3;1;1;1;1;1;4;1; ; ;15000000;180000; ;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;1318,01633279716
1139660;1;4;2;1;1;1;1;1;3;1; ; ;90000000;550000; ;1;2;1;1;1;2;2;2;1;1;2;2;2;2;2;1;1;1;1;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;05;1;1062,53698218998
1139661;1;4;3;1;1;1;1;1;4;3; ; ; ; ;420000;1;1;1;2;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;2;1;2;1;4;1;2;1;1;1;3;7;1;01;05;05;1;929,235870968107
1139662;1;5;4;1;1;1;1;1;3;1; ; ;920000000;600000; ;1;2;1;1;1;1;2;2;1;1;1;2;1;2;1;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;4;2;1;01;05;05;1;1068,83917237059
1139663;1;3;1;1;1;1;1;1;3;3; ; ; ; ;550000;1;1;1;1;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;4;2;1;01;05;05;1;1087,414482768
1139664;1;4;2;1;1;1;1;1;4;3; ; ; ; ;600000;1;1;1;1;1;1;2;2;2;1;1;2;1;1;2;1;1;1;1;1;1;1;2;1;4;1;2;1;1;1;3;5;1;01;05;05;1;973,274828065463
1139665;1;7;4;1;1;1;1;1;4;1; ; ;140000000;600000; ;2;1;1;1;1;1;2;2;2;1;2;1;2;1;2;1;1;1;1;2;2;1;1;1;4;1;2;1;1;1;2;7;1;01;05;05;1;1280,09251166807
1139666;1;6;2;1;1;1;1;1;4;4; ; ; ;700000; ;1;1;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;4;2;1;01;05;05;1;1099,09867381875
1139667;1;5;1;1;1;1;1;1;3;4; ; ; ;550000; ;1;1;1;2;2;2;1;2;2;1;2;1;2;2;1;1;1;1;1;1;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;05;1;936,109103757787
1139670;1;5;3;1;1;1;1;1;3;3; ; ; ; ;577000;1;1;1;1;1;1;1;2;1;1;2;2;1;2;1;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;4;2;1;01;05;05;1;955,48363183131
1139672;1;3;1;1;1;1;1;1;1;3; ; ; ; ;550000;1;1;1;2;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;1;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;05;1;1087,414482768
1139707;1;4;3;1;1;1;1;1;3;2; ;400000;90000000;400000; ;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;1;1;1;1;1;2;1;1;1;4;1;1;1;1;1;4;2;1;01;17;17;1;177,938104703445
1139708;1;5;2;1;1;1;1;1;3;1; ; ;90000000;600000; ;1;1;1;1;1;1;1;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;4;2;1;01;17;17;1;181,301476883655
1139709;1;4;1;1;1;1;1;1;3;3; ; ; ; ;500000;1;2;1;1;1;2;2;2;2;1;2;2;1;2;2;1;1;1;1;2;2;1;1;1;4;1;1;1;1;1;4;2;1;01;17;17;1;189,435104677987
1139710;1;6;2;1;1;1;1;1;3;1; ; ;120000000;500000; ;1;1;1;1;1;1;2;2;2;1;1;2;1;2;1;1;1;1;1;1;2;1;1;1;4;1;1;1;1;1;4;2;1;01;17;17;1;159,887539386188
1139711;1;5;3;1;1;1;1;1;3;2; ;300000;70000000;300000; ;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;4;2;1;01;17;17;1;161,813742890367
1139712;1;5;3;1;1;1;1;1;3;1; ; ;70000000;300000; ;1;2;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;4;2;1;01;17;17;1;158,888799363971
1139713;1;4;3;1;1;1;1;1;3;1; ; ;10000000;600000; ;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;4;2;1;01;17;17;1;184,694652160945
1139819;1;6;4;1;1;1;1;1;3;3; ; ; ; ;750000;1;2;1;2;2;1;2;2;1;1;2;2;1;2;1;1;1;1;1;2;2;1;1;1;4;1;1;1;1;1;3;3;1;01;23;23;1;157,078865353657
1139820;1;5;4;1;1;1;1;1;3;1; ; ;80000000;400000; ;1;2;1;2;1;2;2;2;1;1;1;2;2;2;2;1;1;1;1;1;2;1;1;1;4;1;1;1;1;1;3;3;1;01;23;23;1;132,747677034229
1139821;1;5;2;1;1;1;1;1;3;1; ; ;60000000;700000; ;1;2;1;2;2;1;2;2;1;1;1;2;1;2;2;2;1;1;1;2;2;1;1;1;4;1;1;1;1;1;3;3;1;01;23;23;1;134,332735086949
