DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
1118570;1;3;1;80;05;2; ; ; ;2; ;2; ;1;2; ;2; ;1;05;743,67996829847
1118570;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;743,67996829847
1118570;1;5;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;743,67996829847
1118571;1;1;1;80;05;1;4;3; ;3; ;2; ; ; ; ;9;2;1;05;865,668867198622
1118573;1;6;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;740,730888723297
1118578;1;2;1;80;05;2; ; ; ;2; ;2; ;1;1; ;1; ;1;05;1113,42235015191
1118578;1;3;1;80;05;1;2;2; ;2; ;2; ; ; ; ;2;2;1;05;1113,42235015191
1118580;1;2;1;80;05;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;993,340284512299
1118580;1;3;1;80;05;1;1;8; ;2; ;1;200000; ; ; ;2;2;1;05;993,340284512299
1118581;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;822,923280054853
1118582;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;777,005964836499
1118582;1;7;1;80;05;1;1;2; ;2; ;2; ; ; ; ;2;2;1;05;777,005964836499
1118582;1;8;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;777,005964836499
1118585;1;2;1;80;05;1;2;3; ;2; ;2; ; ; ; ;8;2;1;05;1087,52030595477
1118586;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;840,609324970966
1118587;1;2;1;80;05;1;3;4; ;2; ;2; ; ;1; ;4;1;1;05;744,666493539368
1118587;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;744,666493539368
1118587;1;8;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;744,666493539368
1118588;1;1;1;80;05;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;1014,90003527461
1118588;1;7;1;80;05;1;1;8; ;2; ;2; ; ; ; ;11;2;1;05;1014,90003527461
1118590;1;1;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;949,324400138515
1118591;1;2;1;80;05;1;1;8; ;2; ;2; ; ; ; ;1;2;1;05;768,829827678171
1118593;1;1;1;80;05;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;987,402471305273
1118593;1;2;1;80;05;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;987,402471305273
1118594;1;1;1;80;05;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;844,458937951932
1118594;1;2;1;80;05;1;3;7; ;1;2;2; ; ; ; ;4;2;1;05;844,458937951932
1118595;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;765,412347367227
1118596;1;1;1;80;05;1;4;1; ;3; ;2; ; ; ; ;1;2;1;05;949,324400138515
1118597;2;1;2;80;05;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;987,402471305273
1118598;1;1;1;80;05;1;3;9;NO  DESEA  TRABAJAR;2; ;2; ; ; ; ;11;2;1;05;883,029183464348
1118599;1;1;1;80;05;1;3;6; ;2; ;2; ; ; ; ;8;2;1;05;937,684855978147
1118599;1;5;1;80;05;1;4;4; ;3; ;2; ; ; ; ;4;2;1;05;937,684855978147
