DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
1929780;1;4;1;80;68;1;4;7; ;2; ;2; ; ;4; ;8;1;1;68;295,7246270909
1929780;2;1;2;80;68;1;4;4; ;2; ;2; ; ; ; ;8;2;1;68;295,7246270909
1929781;1;1;1;80;68;1;2;4; ;2; ;2; ; ; ; ;4;2;1;68;314,060169722811
1938723;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;805,421546367412
1938725;1;2;1;80;05;1;3;3; ;2; ;2; ; ; ; ;9;2;1;05;1032,44808785871
1938726;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;861,532324327405
1938727;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1051,08592518179
1938727;1;5;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1051,08592518179
1938727;1;6;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1051,08592518179
1938728;1;2;1;80;05;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;1254,01118296738
1938728;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1254,01118296738
1938729;1;1;1;80;05;1;2;3; ;2; ;2; ; ; ; ;1;2;1;05;543,221089675677
1938729;1;7;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;543,221089675677
1938733;1;1;1;80;05;1;1;8; ;2; ;2; ; ; ; ;8;2;1;05;779,277472964259
1938733;1;3;1;80;05;1;1;9;CAMBIO  DE  DOMICILIO;2; ;2; ; ; ; ;11;2;1;05;779,277472964259
1938733;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;779,277472964259
1938733;1;5;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;779,277472964259
1938734;1;2;1;80;05;1;4;8; ;2; ;2; ; ; ; ;9;2;1;05;931,447115050485
1938734;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;931,447115050485
1938735;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1130,53068683826
1938736;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1214,13157959028
1938738;1;1;1;80;05;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;737,470836903463
1938740;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;517,726490356482
1938740;1;4;1;80;05;1;1;2; ;2; ;2; ; ; ; ;2;2;1;05;517,726490356482
1938741;1;3;1;80;05;1;1;3; ;2; ;2; ; ; ; ;9;2;1;05;1123,2172342947
1938744;1;1;1;80;05;1;4;6; ;3; ;2; ; ; ; ;11;2;1;05;920,673595874028
1938744;1;2;1;80;05;1;1;4; ;2; ;2; ; ; ; ;4;2;1;05;920,673595874028
1938745;1;2;1;80;05;1;3;6; ;2; ;2; ; ; ; ;11;2;1;05;752,080251101547
1938745;1;3;1;80;05;1;1;9;EMBARAZO;2; ;2; ; ; ; ;9;2;1;05;752,080251101547
1938747;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;608,045621640513
1938747;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;608,045621640513
1938747;1;5;1;80;05;1;4;4; ;2; ;2; ; ; ; ;4;2;1;05;608,045621640513
1938748;1;1;1;80;05;1;2;6; ;2; ;2; ; ; ;POR   FALTA   DE DOCUMENTO;12;2;1;05;797,406694391531
1938748;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;797,406694391531
1938751;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;894,571772178132
1938755;1;1;1;80;05;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;785,028021300013
1938755;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;785,028021300013
1938757;1;1;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;475,420757853963
1938757;1;5;1;80;05;1;2;2; ;2; ;2; ; ; ; ;2;2;1;05;475,420757853963
1938757;1;6;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;475,420757853963
1938757;1;7;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;475,420757853963
1938758;1;1;1;80;05;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;903,284331311376
1938761;1;2;1;80;05;1;2;3; ;2; ;2; ; ; ; ;9;2;1;05;909,901306672662
1938762;1;1;1;80;05;1;4;4; ;2; ;2; ; ; ; ;4;2;1;05;870,470488472427
1938762;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;870,470488472427
