DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;AREA;fex_c_2011
2573825;1;2;1;70;1;4;48;1; ;2;4;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;45;97;52;1;1;5233;12;76;76;1121,78215907119
2573837;1;1;1;70;1;8;40;3; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ;1; ;RECIBE PENSION;2; ;2;54;54;95;1;1;9500;12;76;76;898,21283897777
2573839;1;3;1;70;1;1;84;1; ;2;104;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;39;52;1;1;5239;12;76;76;971,516527796128
2573841;1;1;1;70;1;52;60;1; ;2;2;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;45;94;36;1;2;3699;12;76;76;872,456970285697
2573842;1;1;1;70;1;48;60;1; ;2;3;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;98;2;58;95;45;1;2;4521;12;76;76;818,393589743363
2573852;1;2;1;70;1;44;48;2; ;2;14;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8041;12;15;15;61,022886731717
2573855;1;3;1;70;1;6;50;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;12;15;15;102,610398273917
2573875;1;3;1;70;1;4;48;1; ;2;51;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8012;12;70;70;107,690017965315
2573875;2;1;2;70;1;4;48;1; ;2;18;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;44;93;1;1;9303;12;70;70;107,690017965315
2573880;1;2;1;70;1;14;48;1; ;2;20;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5261;12;70;70;69,435147900337
2573881;1;1;1;70;1;3;60;1; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5262;12;70;70;114,147073926368
2573891;1;6;1;70;1;12;48;1; ;2;52;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;38;64;1;1;6421;12;17;17;210,32555597092
2573899;1;1;1;70;1;250;48;1; ;2;250;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;95;45;1;2;4530;12;17;17;206,21340961004
2573905;1;2;1;70;1;16;24;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;12;17;17;218,696272464039
2573920;1;1;1;70;1;12;60;1; ;2;52;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;32;66;1;1;6601;12;17;17;144,774558679869
2573921;1;2;1;70;1;2;48;1; ;2;36;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;38;64;1;1;6421;12;17;17;169,321037510205
2573922;1;1;1;70;1;3;50;1; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;2000000;2;83;83;28;1;1;2899;12;17;17;160,144145654967
2573924;1;5;1;70;1;5;48;1; ;2;52;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;38;64;1;1;6421;12;17;17;205,898505764297
2573925;1;1;1;70;1;2;50;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;1000000;2;85;85;45;1;1;4542;12;17;17;181,666930779704
