DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;P7510S7A1;P7510S7;clase;MES;DPTO;fex_c_2011
2086617;1;1;1;95;1; ;1;2; ; ;70000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;907,560744704077
2086617;1;2;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;35800; ;2;2;2; ;2;2;01;63;907,560744704077
2086617;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;907,560744704077
2086618;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;791,636619595089
2086618;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;791,636619595089
2086618;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;791,636619595089
2086619;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;56000; ;2;2;2; ;2;2;01;63;1380,35970460447
2086620;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1057,31638815378
2086620;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1057,31638815378
2086621;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1104,65785539176
2086621;1;2;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;200000; ;2;2;2; ;2;2;01;63;1104,65785539176
2086622;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1070,66850149092
2086623;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;500000; ;2;2;2; ;2;2;01;63;1101,34626363771
2086623;1;2;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;140000;600000;2;1;2; ;2;2;01;63;1101,34626363771
2086624;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1101,34626363771
2086624;1;2;1;95;1; ;2;1; ;496900; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1101,34626363771
2086625;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;400000; ;2;2;2; ;2;2;01;63;799,491581788603
2086625;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;799,491581788603
2086626;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1447,39188061225
2086626;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1447,39188061225
2086627;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;907,560744704077
2086627;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;907,560744704077
2086627;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;907,560744704077
2086628;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;990,284212146004
2086639;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1145,69484229946
2086639;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1145,69484229946
2086640;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1168,35999871642
2086640;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1168,35999871642
2086640;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1168,35999871642
2086640;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1168,35999871642
2086641;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;360000; ;2;2;2; ;2;2;01;63;1125,21543729589
2086641;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1125,21543729589
2086642;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1104,65785539176
2086642;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1104,65785539176
2086643;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;990,284212146004
2086644;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;670,215343342471
2086644;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;670,215343342471
2086644;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;670,215343342471
2086645;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;990,284212146004
2086646;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1057,31638815378
2086646;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;01;63;1057,31638815378
