DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;AREA;fex_c_2011
2136485;1;2;1;70;1;8;48;1; ;2;54;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5262;02;05;05;857,312289904366
2136493;1;3;1;70;1;5;48;1; ;2;5;1; ;4;3; ; ; ; ; ; ; ; ; ;1; ;1;650000;2;21;21;85;1;1;8512;02;05;05;1096,20663616428
2136496;1;2;1;70;1;52;48;1; ;2;52;1; ;7;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;70;1;2;7020;02;05;05;1032,47957759189
2136497;1;1;1;70;1;8;48;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;79;79;18;1;1;1810;02;05;05;920,019803970369
2136498;1;2;1;70;1;20;45;1; ;2;52;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;44;03;64;1;2;6421;02;05;05;1040,19508626197
2136500;1;1;1;70;1;24;48;5; ;2;98;5; ;8;1; ; ; ; ; ; ; ; ;1; ;LA PENSION;2; ;2;41;41;52;1;2;5233;02;05;05;916,237263151099
2136506;1;1;1;70;1;52;48;1; ;2;156;1; ;9;1; ; ; ; ; ; ; ; ;1; ;YA ES PENSIONADO;2; ;2;53;77;15;1;2;1551;02;05;05;820,221203098737
2136516;1;2;1;70;1;113;48;1; ;2;115;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;02;05;05;684,62862324359
2136530;1;1;1;70;1;24;48;1; ;2;24;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;45;1;2;4521;02;05;05;1029,22527212057
2136532;1;1;1;70;1;12;48;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5237;02;05;05;791,508755595656
2136533;1;2;1;70;1;8;48;1; ;2;8;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5234;02;05;05;1042,09014610677
2136538;1;1;1;70;1;52;48;1; ;2;24;1; ;9;1; ; ; ; ; ; ; ; ;1; ;ESTA PENSINADO;2; ;2;62;97;45;1;2;4530;02;05;05;1042,16535962254
2136544;1;1;1;70;1;8;48;5; ;2;8;5; ;5;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;41;51;1;1;5155;02;08;08;811,002159512497
2136546;1;2;1;70;1;48;48;1; ;2;20;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;08;08;72;1;2;7220;02;08;08;668,670511126214
2136549;1;4;1;70;1;8;48;1; ;2;8;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5234;02;08;08;572,816280144888
2136554;1;2;1;70;1;4;48;1; ;2;4;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;25;1;1;2519;02;08;08;676,858409097687
2136558;1;2;1;70;1;30;35;2; ;2;12;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8045;02;08;08;674,000181371944
2136559;1;2;1;70;1;8;48;1; ;2;8;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;21;93;1;1;9302;02;08;08;614,204163503105
2136583;1;4;1;70;1;4;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;1; ;02;08;08;603,557799602528
2136589;1;1;1;70;1;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;1; ;02;08;08;584,082667088932
2136596;1;2;1;70;1;3;40;1; ;2;8;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;09;09;75;1;1;7513;02;08;08;676,858409097687
2136597;1;2;1;70;1;40;40;1; ;2;52;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;80;1;2;8043;02;08;08;639,531115915951
2136600;3;1;3;70;1;5;40;3; ;2;5;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;02;08;08;311,783357746516
2136627;1;1;1;70;1;6;48;4; ;2;6;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;75;1;1;7512;02;08;08;644,374121980223
2136630;1;3;1;70;1;6;48;1; ;2;7;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5529;02;08;08;615,940309387507
2136633;1;3;1;70;1;1;48;1; ;2;36;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;97;24;1;1;2422;02;08;08;668,022116875447
2136634;1;3;1;70;1;1;48;1; ;2;4;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;45;45;52;1;1;5219;02;08;08;958,419902856993
2136643;1;4;1;70;1;104;42;1; ;2;5;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;39;92;1;2;9241;02;11;11;1657,16777672472
2136664;1;2;1;70;1;12;48;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;51;1;1;5111;02;11;11;2483,56739426103
2136666;1;1;1;70;1;2;72;1; ;2;5;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;44;45;51;1;1;5127;02;11;11;2626,31134392459
2136670;1;3;1;70;1;2;48;1; ;2;4;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;97;51;1;1;5125;02;11;11;2163,70302686595
2136678;1;2;1;70;1;104;48;1; ;2;26;6; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;80;19;1;2;1924;02;13;13;384,20932719193
2136680;1;2;1;70;1;22;48;1; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;55;79;52;1;2;5272;02;13;13;380,608023257657
2136684;1;2;1;70;1;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;02;13;13;369,273112862794
2136695;1;2;1;70;1;8;48;1; ;2;52;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;02;17;1;1;1720;02;13;13;301,573501220711
2136707;1;3;1;70;1;36;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;2; ;02;13;13;440,065200817529
2136720;1;2;1;70;1;26;48;1; ;2;26;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5521;02;13;13;369,258876845283
2136722;1;2;1;70;1;8;48;1; ;2;12;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;13;13;80;1;1;8060;02;13;13;412,537432694814
2136731;1;2;1;70;1;16;48;1; ;2;26;1; ;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2;55;38;64;1;2;6421;02;13;13;351,495994700415
2136743;1;2;1;70;1;52;40;1; ;2;52;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;41;52;1;2;5239;02;13;13;378,136333983938
2136743;1;3;1;70;1;8;40;1; ;2;8;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;55;1;1;5511;02;13;13;378,136333983938
2136745;1;1;1;70;1;5;48;1; ;2;5;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;450000;2;45;45;52;1;1;5234;02;15;15;63,7353404022692
2136746;1;2;1;70;1;3;60;1; ;2;3;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;97;97;60;1;1;6041;02;15;15;86,0252913409557
2136747;1;2;1;70;1;56;60;1; ;2;56;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6042;02;15;15;48,9798575647423
2136747;1;4;1;70;1;56;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;02;15;15;48,9798575647423
2136750;1;3;1;70;1;12;60;4; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;02;15;15;85,2924554193409
2136753;1;2;1;70;1;24;48;1; ;2;24;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;33;65;1;2;6512;02;15;15;63,5174690464766
2136756;1;1;1;70;1;8;48;5; ;2;8;5; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;02;45;1;1;4530;02;15;15;86,4613659132527
2136757;1;2;1;70;1;24;48;1; ;2;60;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;15;15;22;1;2;2220;02;15;15;86,0252913409557
2136761;1;2;1;70;1;32;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;02;15;15;75,8246102641557
2136762;1;1;1;70;1;24;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;2; ;02;15;15;84,8021662666514
2136776;1;1;1;70;1;52;40;1; ;2;52;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;42;42;64;1;2;6421;02;15;15;68,0444947761415
2136777;1;3;1;70;1;52;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;2; ;02;15;15;66,984685890482
2136782;1;3;1;70;1;52;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;2; ;02;15;15;67,3116588545267
2136783;1;3;1;70;1;4;40;1; ;2;4;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;45;45;64;1;1;6421;02;15;15;85,2924554193409
2136783;1;4;1;70;1;4;40;1; ;2;4;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;42;42;24;1;1;2424;02;15;15;85,2924554193409
2136788;1;1;1;70;1;4;40;1; ;2;4;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;1600000;2;19;19;75;1;1;7512;02;15;15;103,10993579551
2136789;1;3;1;70;1;8;40;1; ;2;8;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;87;87;40;1;1;4020;02;15;15;83,1378782324048
2136789;1;4;1;70;1;6;40;1; ;2;4;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;80;1;1;8050;02;15;15;83,1378782324048
2136798;1;2;1;70;1;16;20;1; ;2;104;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;2;5522;02;15;15;88,6159431001888
2136806;1;1;1;70;1;2;50;1; ;2;2;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;95;95;45;1;1;4521;02;15;15;103,219037403763
2136815;1;4;1;70;1;8;50;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;45;52;1;1;5239;02;15;15;78,2246478097508
2136816;1;1;1;70;1;3;50;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;62;62;01;1;1;0140;02;15;15;69,1392630774181
2136819;1;2;1;70;1;3;48;1; ;2;3;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;45;45;52;1;1;5233;02;15;15;42,2880604796672
2136823;1;2;1;70;1;36;48;1; ;2;36;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;02;36;1;2;3611;02;15;15;100,955358608574
