DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;MES;DPTO;fex_c_2011
2142342;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;54;466,51265382325
2142342;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;466,51265382325
2142344;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;412,474973800494
2142345;1;2;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;02;54;816,577777595195
2142345;1;3;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;02;54;816,577777595195
2142345;1;4;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;02;54;816,577777595195
2142345;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;816,577777595195
2142345;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;816,577777595195
2142346;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;54;386,86293528619
2142346;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;386,86293528619
2142347;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;562,105182906493
2142347;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;562,105182906493
2142347;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;562,105182906493
2142347;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;562,105182906493
2142347;1;7;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;562,105182906493
2142349;1;1;1;80;2;1;1;4; ;2; ;1;80000; ; ; ;4;2;1;02;54;473,819777463009
2142349;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;02;54;473,819777463009
2142349;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;473,819777463009
2142351;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;54;800,009682890683
2142352;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;02;54;662,813159108929
2142354;1;1;1;80;2;1;1;4; ;2; ;2; ; ; ; ;4;2;1;02;54;643,303684316067
2142354;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;54;643,303684316067
2142356;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;488,586797603246
2142356;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;488,586797603246
2142356;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;488,586797603246
2142356;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;488,586797603246
2142357;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;455,798770228136
2142357;1;5;1;80;2;1;1;6; ;2; ;2; ; ; ; ;11;2;1;02;54;455,798770228136
2142358;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;54;417,214443431474
2142358;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;417,214443431474
2142359;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;559,291579912347
2142359;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;559,291579912347
2142360;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;255,319805599759
2142360;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;255,319805599759
2142363;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;641,712613739211
2142366;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;461,155712025693
2142366;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;461,155712025693
2142367;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;565,707340720044
2142369;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;737,077166336062
2142370;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;54;761,09813427351
2142371;1;2;1;80;2;1;2;4; ;2; ;2; ; ; ; ;4;2;1;02;54;449,657016382102
2142371;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;449,657016382102
2142371;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;449,657016382102
2142374;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;787,526851928415
2142374;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;787,526851928415
2142374;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;787,526851928415
2142378;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;02;54;662,813159108929
2142379;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;510,866499748662
2142379;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;510,866499748662
2142381;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;543,576745852557
2142382;1;1;1;80;2;1;4;5; ;3; ;2; ; ; ; ;10;2;1;02;54;1248,72403229179
2142382;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;1248,72403229179
2142391;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;795,5966367782
2142391;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;795,5966367782
2142392;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;561,878424569202
2142393;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;54;898,659136885749
2142394;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;54;959,479800325997
2142394;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;959,479800325997
2142395;1;1;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;02;54;1133,64404955964
2142395;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;1133,64404955964
2142395;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;1133,64404955964
2142395;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;1133,64404955964
2142397;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;570,699143807139
2142397;1;3;1;80;2;1;2;6; ;2; ;2; ; ; ; ;1;2;1;02;54;570,699143807139
2142397;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;570,699143807139
2142397;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;570,699143807139
2142397;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;570,699143807139
2142398;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;487,719397469858
2142398;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;487,719397469858
2142401;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;877,763026916934
2142402;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;02;54;1248,72403229179
2142402;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;54;1248,72403229179
2142403;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;1248,72403229179
2142404;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;734,667671577511
2142409;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;1;2;1;02;54;678,13248861862
2142409;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;678,13248861862
2142415;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;02;54;742,252068345632
2142415;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;02;54;742,252068345632
2142415;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;742,252068345632
2142416;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;1243,02160321305
2142416;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;1243,02160321305
2142417;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;1389,31649377598
2142418;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;652,020436714743
2142418;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;652,020436714743
2142420;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;54;1009,69100170025
2142421;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;54;420,722636178772
2142421;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;420,722636178772
2142424;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;02;54;447,058751016056
2142424;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;447,058751016056
2142424;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;447,058751016056
2142425;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;02;54;1302,92201251592
2142425;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;1302,92201251592
2142426;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;54;1363,86514040868
2142427;1;4;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;54;1229,3954366216
2142428;1;1;1;80;2;1;3;4; ;2; ;2; ; ; ; ;9;2;1;02;54;724,709147963525
2151531;1;2;1;80;2;1;2;3; ;1;1;2; ; ; ; ;9;2;1;02;50;842,123953926858
2151532;1;1;1;80;2;1;4;5; ;3; ;2; ; ; ; ;8;2;1;02;50;1248,72403229179
2151532;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;50;1248,72403229179
2151535;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;50;1509,82804769422
2151535;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;50;1509,82804769422
2151539;1;3;1;80;2;1;4;5; ;3; ;2; ; ;4; ;9;1;1;02;50;997,044048810377
2151540;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;2;2;1;02;50;953,155818741357
2151540;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;50;953,155818741357
2151541;1;1;1;80;2;1;4;5; ;3; ;2; ; ; ; ;10;2;1;02;50;856,222391317402
2151541;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;50;856,222391317402
