DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;AREA;fex_c_2011
2397349;1;3;1;2;1;1;1;1;3;1; ; ;99;99; ;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2; ;2;1;2;2;2;1;1;1;1;1;6;3;1;01;1;06;23;1;23;134,943025193045
2399297;1;5;3;1;1;1;1;1;3;1; ; ;120000000;600000; ;1;2;1;1;1;1;2;1;1;1;2;2;1;2;1;1;1;1;1;2;2;1;2;2;2; ;5;1;1;1;4;1;1;1;1;1;3;3;1;01;1;06;08;1;08;359,90240998283
2401188;1;4;1;1;1;1;5;6; ;3; ; ; ; ;350000;2;2;1;1;1;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;2;1;1;2;3;3; ;01;1;06;27;1;27;40,0048024275741
2403126;1;3;2;1;1;1;1;3;4;3; ; ; ; ;150000;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2; ;2;2; ;4;1;2;1;2;1;2;1;1;1;2;2;1;01;1;06;05;1;05;692,715402998796
2403128;1;2;2;1;1;1;1;1;4;1; ; ;25000000;140000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;2;2; ;2;1;1;1;2;1;2;1;1;1;1;2;1;01;1;06;05;1;05;1041,16663048297
2403129;1;3;2;1;1;1;1;1;1;1; ; ;55000000;200000; ;1;2;1;2;1;2;2;2;2;1;1;2;2;2;2;1;1;1;2;2;2;1;2;2;2; ;2;1;2;1;2;1;2;1;1;1;1;2;1;01;1;06;05;1;05;1162,13256461446
2403131;1;6;4;1;1;1;1;1;3;1; ; ;85000000;350000; ;1;1;1;1;1;1;2;2;2;1;2;1;2;2;1;1;1;1;1;1;1;1;1;2;2; ;5;1;2;1;2;1;1;1;1;1;3;2;1;01;1;06;05;1;05;1081,02987881671
2403132;1;4;2;1;1;1;1;1;3;4; ; ; ;280000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2; ;4;1;2;1;2;1;1;1;1;1;3;2;2;01;1;06;05;1;05;962,41524618701
2403133;1;4;3;1;1;1;1;1;4;1; ; ;65000000;300000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;2; ;2;2; ;3;1;2;1;4;1;2;1;1;1;3;2;1;01;1;06;05;1;05;1174,1758072668
2403134;1;3;2;1;1;1;1;1;4;3; ; ; ; ;300000;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2; ;2;2; ;3;1;2;1;4;1;2;1;1;1;3;2;1;01;1;06;05;1;05;821,585492673952
