DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;clase;MES;DPTO;fex_c_2011
2212583;1;1;1;90; ;2;2;2;1;2;2;1;2;2;2; ; ; ;28; ; ;2; ; ; ;2;03;50;1393,35196304852
2212583;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;21; ;35; ; ; ; ; ; ;2;03;50;1393,35196304852
2212583;1;6;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;84; ; ; ; ; ; ;2;03;50;1393,35196304852
2212583;1;7;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;28; ; ; ; ; ; ;2;03;50;1393,35196304852
2212584;1;1;1;90; ;2;1;2;2;2;2;2;1;2;2; ;28; ; ; ; ; ;60; ; ;2;03;50;1262,20408157146
2212584;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;2;03;50;1262,20408157146
2212585;1;1;1;90; ;1;1;2;2;1;2;2;2;2;2;12;50; ; ;84; ; ; ; ; ;2;03;50;1340,27245036477
2212585;1;2;1;90; ;1;2;2;2;2;2;2;2;2;2;7; ; ; ; ; ; ; ; ; ;2;03;50;1340,27245036477
2212585;1;3;1;90; ;1;1;2;2;2;2;1;2;2;2;14;14; ; ; ; ;6; ; ; ;2;03;50;1340,27245036477
2212585;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;50;1340,27245036477
2212586;1;1;1;90; ;1;1;2;2;2;2;2;2;2;2;10;28; ; ; ; ; ; ; ; ;2;03;50;1482,08557975865
2212586;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;2;03;50;1482,08557975865
2212587;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;3; ;20; ; ; ; ; ; ;2;03;50;1176,44646754936
2212587;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;14; ;30; ; ; ; ; ; ;2;03;50;1176,44646754936
2212589;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;2;03;50;1243,31809123743
2212589;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;50;1243,31809123743
2212589;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;2;03;50;1243,31809123743
2212590;1;1;1;90; ;1;1;2;1;2;2;2;2;2;2;5;12; ;20; ; ; ; ; ; ;2;03;50;1309,05028215081
2212590;1;2;1;90; ;1;1;2;2;2;2;2;2;2;2;5;12; ; ; ; ; ; ; ; ;2;03;50;1309,05028215081
2212590;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;2;03;50;1309,05028215081
2212590;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;2;03;50;1309,05028215081
2212591;1;1;1;90; ;1;1;2;2;2;2;2;2;2;2;10;15; ; ; ; ; ; ; ; ;2;03;50;1482,08557975865
2212591;1;2;1;90; ;1;1;2;2;2;2;2;2;2;2;12;20; ; ; ; ; ; ; ; ;2;03;50;1482,08557975865
2212592;1;1;1;90; ;1;1;2;1;2;2;2;2;2;2;21;35; ;70; ; ; ; ; ; ;2;03;50;1309,05028215081
2212592;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;2;03;50;1309,05028215081
2212592;1;3;1;90; ;1;1;2;2;2;2;2;2;2;2;28;7; ; ; ; ; ; ; ; ;2;03;50;1309,05028215081
2212592;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;2;03;50;1309,05028215081
2212593;1;1;1;90; ;1;1;2;1;2;2;2;2;2;2;1;1; ;2; ; ; ; ; ; ;2;03;50;1091,8655728731
2212593;1;2;1;90; ;1;1;2;1;2;2;2;2;2;2;7;14; ;10; ; ; ; ; ; ;2;03;50;1091,8655728731
2212593;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;2;03;50;1091,8655728731
2212594;1;1;1;90; ;2;1;1;2;2;2;2;2;2;2; ;7;1; ; ; ; ; ; ; ;2;03;50;1345,88742945682
2212595;1;1;1;90; ;1;2;2;1;2;2;2;2;2;2;28; ; ;42; ; ; ; ; ; ;2;03;50;1157,61348296216
2212595;1;2;1;90; ;1;1;2;1;2;2;2;2;2;2;21;56; ;70; ; ; ; ; ; ;2;03;50;1157,61348296216
2214862;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;18;1024,50765211203
2214862;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;40; ;50; ; ; ; ; ; ;2;03;18;1024,50765211203
2214863;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;18;1381,7494884728
2214863;1;2;1;90; ;1;1;2;2;2;2;2;2;2;2;8;14; ; ; ; ; ; ; ; ;2;03;18;1381,7494884728
2214863;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;2;03;18;1381,7494884728
2214863;1;4;1;90; ;1;2;2;2;2;2;2;2;2;2;14; ; ; ; ; ; ; ; ; ;2;03;18;1381,7494884728
2214863;1;5;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;18;1381,7494884728
2214864;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;18;938,228178999318
2214864;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;2;03;18;938,228178999318
2214865;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;18;1190,32059380953
2214865;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;2;03;18;1190,32059380953
2214865;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;18;1190,32059380953
2214866;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;18;1206,37688448401
2214866;1;2;1;90; ;1;1;2;2;2;2;2;2;2;2;10;12; ; ; ; ; ; ; ; ;2;03;18;1206,37688448401
2214866;1;3;1;90; ;1;2;2;2;2;2;2;2;2;2;11; ; ; ; ; ; ; ; ; ;2;03;18;1206,37688448401
2214866;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;2;03;18;1206,37688448401
2214866;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;2;03;18;1206,37688448401
2214866;1;6;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;18;1206,37688448401
2214867;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;18;1024,50765211203
2214867;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;2;03;18;1024,50765211203
2214868;1;1;1;90; ;1;1;2;2;2;2;2;2;2;2;6;10; ; ; ; ; ; ; ; ;2;03;18;1155,94252480253
2214868;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;2;03;18;1155,94252480253
2214868;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;18;1155,94252480253
2214869;1;1;1;90; ;1;1;2;1;2;2;2;2;2;2;10;38; ;35; ; ; ; ; ; ;2;03;18;1252,37910724135
2214869;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;2;03;18;1252,37910724135
2214869;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;18;1252,37910724135
2214870;1;1;1;90; ;1;1;2;1;2;2;2;2;2;2;15;40; ;18; ; ; ; ; ; ;2;03;18;1042,23232936645
2214870;1;2;1;90; ;1;1;2;2;2;2;2;2;2;2;10;12; ; ; ; ; ; ; ; ;2;03;18;1042,23232936645
2214870;1;3;1;90; ;1;1;2;1;2;2;2;2;2;2;14;5; ;14; ; ; ; ; ; ;2;03;18;1042,23232936645
2214871;1;1;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;12; ; ; ; ; ; ;2;03;18;696,356419400017
2214871;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;15; ;42; ; ; ; ; ; ;2;03;18;696,356419400017
2214871;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;20; ;35; ; ; ; ; ; ;2;03;18;696,356419400017
2214872;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;2;03;18;868,602097639194
2214873;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;18;1347,07331741863
2214873;1;2;1;90; ;1;1;2;1;2;2;2;2;2;2;14;40; ;15; ; ; ; ; ; ;2;03;18;1347,07331741863
2214873;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;18;1347,07331741863
2214873;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;2;03;18;1347,07331741863
2214873;1;5;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;18;1347,07331741863
2214873;1;6;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;18;1347,07331741863
2229129;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;2;03;63;1433,44055110108
2229129;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1433,44055110108
2229129;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;2;03;63;1433,44055110108
2229129;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;60; ; ; ; ; ; ; ; ;2;03;63;1433,44055110108
2229132;1;1;1;90; ;2;1;2;2;1;2;2;2;2;2; ;40; ; ;15; ; ; ; ; ;2;03;63;863,043844712693
2229132;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;863,043844712693
2229132;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;40; ; ; ; ; ; ; ; ;2;03;63;863,043844712693
2229132;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;2;03;63;863,043844712693
2229135;1;1;1;90; ;2;1;2;2;2;2;1;2;2;1; ;28; ; ; ; ;4; ; ;2;2;03;63;1320,31081603143
2229135;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;2;03;63;1320,31081603143
2229136;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;10; ;15; ; ; ; ; ; ;2;03;63;1008,53348000428
2229136;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;50; ;40; ; ; ; ; ; ;2;03;63;1008,53348000428
2229136;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;2;03;63;1008,53348000428
2229171;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;20; ;14; ; ; ; ; ; ;2;03;63;1600,557678112
2229171;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;2;03;63;1600,557678112
2229171;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;2;03;63;1600,557678112
2229173;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;14; ;14; ; ; ; ; ; ;2;03;63;1598,57902346924
2229173;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;2;03;63;1598,57902346924
2229173;1;3;1;90; ;2;1;2;2;2;1;2;2;2;2; ;21; ; ; ;3; ; ; ; ;2;03;63;1598,57902346924
2229173;1;4;1;90; ;2;1;2;2;2;1;2;2;2;2; ;7; ; ; ;3; ; ; ; ;2;03;63;1598,57902346924
2229173;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;2;03;63;1598,57902346924
2229176;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;2;03;63;1734,59442995801
2229176;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;2;03;63;1734,59442995801
2229177;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;7; ;7; ; ; ; ; ; ;2;03;63;1283,05638614958
2229177;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;2;03;63;1283,05638614958
2229177;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;2;03;63;1283,05638614958
2229177;1;4;1;90; ;2;1;2;1;2;2;2;2;2;2; ;21; ;14; ; ; ; ; ; ;2;03;63;1283,05638614958
2229177;1;6;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1283,05638614958
2229231;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1734,59442995801
2229231;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1734,59442995801
2229232;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1484,64496877806
2229232;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;2;03;63;1484,64496877806
2229232;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1484,64496877806
2229232;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;2;03;63;1484,64496877806
2229234;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1960,99608267636
2229234;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;2;03;63;1960,99608267636
2229235;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;2;03;63;2095,03283452238
2229236;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;2015,26399362346
2229236;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;24; ; ; ; ; ; ; ; ;2;03;63;2015,26399362346
2229236;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;2015,26399362346
2229275;1;1;1;90; ;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ; ;12; ; ; ;2;03;63;2095,03283452238
2229276;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1718,83560664733
2229276;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;60; ; ; ; ; ; ; ; ;2;03;63;1718,83560664733
2229276;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;2;03;63;1718,83560664733
2229276;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1718,83560664733
2229278;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;2015,26399362346
2229278;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;40; ; ; ; ; ; ; ; ;2;03;63;2015,26399362346
2229278;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;2;03;63;2015,26399362346
2229280;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;2015,26399362346
2229280;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;42; ; ; ; ; ; ; ; ;2;03;63;2015,26399362346
2229280;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;2;03;63;2015,26399362346
2229281;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1519,07534084739
2229281;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;36; ; ; ; ; ; ; ; ;2;03;63;1519,07534084739
2229281;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;11; ; ; ; ; ; ; ; ;2;03;63;1519,07534084739
2229282;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1588,12750634849
2229282;1;2;1;90; ;1;1;2;1;2;2;2;2;2;2;7;7; ;7; ; ; ; ; ; ;2;03;63;1588,12750634849
2230701;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;44;1603,23002343679
2230701;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;30; ; ; ; ; ; ;2;03;44;1603,23002343679
2230702;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;44;1204,84968640031
2230702;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;15; ;15; ; ; ; ; ; ;2;03;44;1204,84968640031
