DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
2552410;1;3;1;70;73;8;30;1; ;2;8;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;92;1;1;9212;11;73;210,398672668733
2552424;1;1;1;70;73;16;60;4; ;2;48;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;43;43;51;1;2;5111;11;73;197,433479749671
2552462;1;1;1;70;17;4;60;5; ;2;8;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;3000000;2;41;41;52;1;1;5233;11;17;195,450813361114
2552463;1;2;1;70;17;52;48;1; ;2;52;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;40;33;52;1;2;5211;11;17;231,352709767016
2552464;1;1;1;70;17;52;48;1; ;2;52;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;50;1;2;5020;11;17;192,136916341911
2552472;1;1;1;70;17;104;48;4; ;2;104;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;85;52;1;2;5272;11;17;171,732971768875
2552510;1;3;1;70;66;8;48;3; ;2;48;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;11;66;296,323570309122
2552514;1;2;1;70;66;3;60;1; ;2;36;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;11;66;196,234589083368
2552519;1;1;1;70;66;20;40;1; ;2;20;4; ;1;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;97;63;1;2;6310;11;66;337,262752343496
2552519;1;3;1;70;66;24;48;1; ;2;24;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6042;11;66;337,262752343496
2552564;1;3;1;70;68;2;48;1; ;2;4;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;70;20;1;1;2010;11;68;577,67938267142
2552566;1;2;1;70;68;2;24;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;94;94;19;1;1;1921;11;68;607,613589196671
2552567;1;2;1;70;68;3;84;1; ;2;3;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;1;552000;2;53;53;55;1;1;5521;11;68;312,166229982862
2552570;1;10;1;70;68;1;50;1; ;2;2;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;95;95;45;1;1;4521;11;68;574,027590131893
2552573;1;2;1;70;68;4;48;1; ;2;8;1; ;3;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;11;68;481,294846360784
2552575;1;1;1;70;52;17;48;1; ;2;17;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;74;1;2;7492;11;52;170,999865240801
2552579;1;1;1;70;52;52;48;1; ;2;52;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;1;40000;2;37;37;64;1;2;6412;11;52;143,598794825817
2552585;1;1;1;70;52;13;42;3; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;56;93;1;1;9301;11;52;208,998830247591
2552585;1;3;1;70;52;2;25;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;11;52;208,998830247591
2552596;1;2;1;70;76;24;48;1; ;2;24;1; ;6;9;PAGA EPS COMO PARTICULAR; ; ;1;1; ; ; ; ; ; ;2; ;2;13;13;80;1;2;8050;11;76;683,96337271149
2552603;1;2;1;70;76;3;20;1; ;2;52;1; ;4;2; ; ; ; ; ; ; ; ;1; ;ESTUDIANDO;2; ;2;33;53;55;1;1;5521;11;76;774,687104881172
2552620;1;2;1;70;50;4;48;1; ;2;20;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;38;64;1;1;6421;11;50;139,169603719125
2552627;1;2;1;70;50;2;51;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;95;95;45;1;1;4521;11;50;171,708072125391
2552648;1;2;1;70;50;4;51;4; ;2;4;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;95;95;45;1;1;4521;11;50;176,947138754849
2552648;1;4;1;70;50;12;51;1; ;2;12;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;93;45;1;1;4552;11;50;176,947138754849
2552964;1;2;1;70;73;2;48;1; ;2;2;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;1;350000;2;53;53;55;1;1;5522;11;73;141,867694499024
2552964;1;5;1;70;73;8;48;3; ;2;4;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;54;53;55;1;1;5522;11;73;141,867694499024
2552969;1;1;1;70;73;4;48;1; ;2;104;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5529;11;73;241,135844170388
2552977;1;1;1;70;73;28;60;1; ;2;28;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;2;9500;11;73;186,208949465433
2552977;1;2;1;70;73;3;24;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;12000;2;57;57;93;1;1;9302;11;73;186,208949465433
2552977;1;5;1;70;73;5;48;4; ;2;5;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;56;56;93;1;1;9301;11;73;186,208949465433
2552979;1;1;1;70;73;2;35;3; ;2;3;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;15000;2;54;54;95;1;1;9500;11;73;231,690098500456
2552979;1;2;1;70;73;52;48;1; ;2;20;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;95;45;1;2;4522;11;73;231,690098500456
