DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;MES;DPTO;fex_c_2011
2558214;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;63;456,73881786796
2558215;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;63;623,937840966493
2558215;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;63;623,937840966493
2558216;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;63;455,34549878771
2558219;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;63;637,876488368608
2558219;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;63;637,876488368608
2558219;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;63;637,876488368608
2558220;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;63;335,496914173312
2558220;1;4;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;11;63;335,496914173312
2558220;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;63;335,496914173312
2558233;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;63;552,762046877173
2558233;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;63;552,762046877173
2558234;1;2;1;80;2;1;1;9;POR EMBARAZO;2; ;2; ; ; ; ;9;2;1;11;63;420,387733886331
2558235;1;2;1;80;2;1;2;6; ;2; ;2; ; ; ; ;9;2;1;11;63;509,739069966465
2558236;1;3;1;80;2;2; ; ; ;2; ;2; ;1;3; ;9; ;1;11;63;812,118644161761
2558238;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;63;612,078124262531
2558252;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;63;289,64896159856
2558254;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;63;509,739069966465
2558254;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;63;509,739069966465
2558255;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;63;549,085826705369
