DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,AREA,fex_c_2011
2840107,1,4,1,1,1,1,1,1,3,3,,,,,300000,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,3,1,1,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,96.861.937.968.498
2840108,1,6,4,1,1,1,1,1,3,1,,,45000000,250000,,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,4,2,2,,6,1,2,1,2,1,1,1,1,1,2,3,1,1,1,12,15,1,15,940.178.591.652.916
2840109,1,3,2,1,1,1,1,1,3,3,,,,,270000,2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,,4,1,2,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,746.677.412.942.562
2840110,1,5,3,1,1,1,1,1,3,1,,,99,250000,,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,1,1,4,1,1,1,2,1,1,1,1,1,2,3,1,1,1,12,15,1,15,106.216.090.885.091
2840111,1,2,1,1,1,1,1,1,3,1,,,99,200000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,,2,2,,3,1,1,1,2,1,1,1,1,1,2,3,2,1,1,12,15,1,15,728.351.329.701.663
2840112,1,3,2,1,1,1,1,1,4,3,,,,,340000,2,1,1,2,2,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,3,2,2,,5,1,2,1,4,1,2,1,1,1,3,3,1,1,1,12,15,1,15,909.753.298.020.148
2840113,1,4,3,1,1,1,1,1,3,2,,345000,60000000,300000,,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,3,2,2,,3,1,2,1,4,1,1,1,1,1,3,3,1,1,1,12,15,1,15,106.441.292.331.246
2840114,1,3,1,1,1,1,1,1,3,1,,,98,98,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,,2,2,,1,1,1,1,4,1,1,1,1,1,3,3,1,1,1,12,15,1,15,102.776.075.683.066
2840115,1,3,2,1,1,1,1,1,3,4,,,,150000,,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,4,1,1,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,746.677.412.942.562
2840116,1,2,1,1,2,1,1,1,3,4,,,,100000,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,,3,1,1,1,2,1,1,1,1,1,1,3,1,1,1,12,15,1,15,130.056.264.146.957
