DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,fex_c_2011
2621089,1,2,2,3,1,4,2,1,5,3,,,,,200000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,7,1,1,4,1,1,2,2,2,2,1,,,1,2,2,63,1,360.502.514.759.397
2621090,1,4,3,2,1,4,2,1,4,4,,,,100000,,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,6,1,1,4,2,1,2,2,2,2,2,,,1,2,2,63,1,3.518.277.555.206
2621091,1,3,2,3,1,4,2,1,5,4,,,,150000,,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,3,2,2,,5,1,1,5,4,1,2,2,2,2,1,,,1,2,2,63,1,514.385.813.897.042
2621092,1,4,3,2,1,4,2,1,5,1,,,10000000,70000,,2,2,1,2,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,2,2,1,3,2,2,,6,1,1,4,2,1,2,2,2,2,1,,,1,2,2,63,1,391.486.697.021.956
2621093,1,4,3,2,1,4,2,1,5,4,,,,100000,,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,2,2,1,5,2,2,,6,1,1,1,4,1,2,2,2,2,2,,,1,2,2,63,1,306.306.206.813.013
2621094,1,4,1,3,1,4,2,1,4,1,,,50000000,400000,,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,1,1,2,2,,1,1,1,1,4,1,2,2,2,2,2,,,1,2,2,63,1,279.065.972.909.218
2621139,1,4,2,2,1,5,6,1,5,1,,,50000000,200000,,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,,4,1,1,1,4,1,2,2,2,2,1,,,1,2,2,63,1,292.927.313.166.415
2621140,1,4,1,2,1,4,6,1,4,1,,,8000000,8000000,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,2,1,1,4,2,1,2,2,2,2,1,,,1,2,2,63,1,355.286.236.781.907
2621141,1,2,1,2,1,4,6,1,5,4,,,,5000000,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,5,1,1,7,3,2,2,2,2,2,,,,1,2,2,63,1,423.734.367.005.723
2621142,1,4,3,2,1,5,6,1,5,4,,,,100000,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2,,5,1,1,1,4,1,2,2,2,2,1,,,1,2,2,63,1,320.591.552.057.959
2621143,1,5,2,3,1,4,6,1,5,3,,,,,200000,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,4,1,1,1,4,1,2,2,2,2,1,,,1,2,2,63,1,567.665.817.502.924
2621144,1,4,2,2,1,4,6,1,5,4,,,,50000,,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,5,1,1,1,2,2,2,2,2,2,,,,1,2,2,63,1,242.634.288.386.874
2621213,1,3,2,3,1,1,1,6,,3,,,,,120000,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,2,1,2,1,2,2,1,1,2,3,1,1,2,2,63,1,345.289.920.998.317
2621214,1,4,3,3,1,1,1,1,4,3,,,,,150000,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,3,2,2,,5,1,2,1,4,1,2,2,1,1,2,3,2,1,2,2,63,1,164.607.125.674.278
2621215,1,3,2,3,1,1,1,1,4,3,,,,,170000,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,4,1,2,1,4,1,2,2,1,1,2,3,1,1,2,2,63,1,442.369.267.745.446
2621216,1,2,2,6,,1,1,6,,4,,,,50000,,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,1,1,2,1,2,1,2,2,1,1,2,3,1,1,2,2,63,1,345.289.920.998.317
2621217,1,3,3,5,1,1,1,2,4,3,,,,,80000,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,3,2,2,,3,1,2,1,2,1,2,2,1,1,2,3,1,1,2,2,63,1,216.707.049.293.726
2621227,1,3,3,3,1,1,1,1,4,3,,,,,170000,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,4,1,2,1,4,1,2,2,1,1,1,3,1,1,2,2,63,1,236.113.508.033.747
2621228,1,2,1,3,1,1,2,1,1,3,,,,,70000,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,1,1,2,1,2,1,2,2,1,1,1,3,1,1,2,2,63,1,279.065.972.909.218
