DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,AREA,MES,DPTO,ORDEN,fex_c_2011
2615533,1,3,2,1,1,1,1,1,4,3,,,,,400000,2,2,1,1,2,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,,2,1,2,1,4,1,2,1,1,1,4,7,1,1,73,2,73,1,215.192.137.044.821
2615534,1,4,3,1,1,1,1,1,3,1,,,180000000,650000,,1,2,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,4,2,2,,5,1,2,1,4,1,1,1,1,1,4,7,1,1,73,2,73,1,221.061.495.150.989
2615535,1,3,2,1,1,1,1,1,3,1,,,30000000,300000,,1,2,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,,3,1,1,1,4,1,1,1,1,1,2,3,2,1,73,2,73,1,171.672.624.922.913
2615536,1,4,1,1,1,1,1,1,3,3,,,,,250000,2,2,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,4,1,1,1,1,1,2,3,1,1,73,2,73,1,170.218.100.228.364
2615537,1,2,1,1,1,1,1,1,3,1,,,50000000,300000,,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,,2,2,,2,1,2,1,4,1,1,1,1,1,2,3,1,1,73,2,73,1,206.958.500.691.242
2615539,1,2,1,1,1,1,1,1,4,3,,,,,300000,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,,1,1,2,1,4,1,2,1,1,1,4,7,1,1,73,2,73,1,219.152.491.139.823
2615542,1,3,2,1,1,1,1,1,3,3,,,,,300000,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,1,2,1,1,2,1,2,1,4,1,1,1,1,1,2,3,1,1,73,2,73,1,170.218.100.228.364
2615543,1,3,2,1,1,1,1,1,3,4,,,,250000,,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,2,2,1,2,2,2,,4,1,2,1,4,1,1,1,1,1,2,3,1,1,73,2,73,1,462.371.303.091.715
2615544,1,6,3,1,1,1,1,1,3,1,,,80000000,350000,,1,2,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,7,2,2,,7,1,1,1,4,1,1,1,1,1,2,3,1,1,73,2,73,1,481.754.328.234.413
2615545,1,5,1,1,1,1,1,1,3,4,,,,200000,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,,1,1,1,1,2,1,1,1,1,1,1,3,2,1,73,2,73,1,338.254.042.536.298
2615546,1,5,3,1,1,1,1,1,3,1,,,19000000,350000,,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,6,1,1,1,2,1,1,1,1,1,1,3,1,1,73,2,73,1,347.962.698.949.235
2615547,1,5,2,1,1,1,1,1,3,1,,,30000000,250000,,1,2,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,1,1,2,2,2,,2,1,1,1,2,1,1,1,1,1,1,3,1,1,73,2,73,1,331.349.315.727.403
2615548,1,3,2,1,2,1,1,1,3,1,,,60000000,300000,,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,3,1,4,1,2,1,1,1,1,1,1,3,1,1,73,2,73,1,249.988.982.793.552
2615585,1,4,4,1,1,1,1,1,3,3,,,,,330000,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,,6,1,1,1,4,1,1,1,1,1,3,2,1,1,66,2,66,1,177.134.284.196.071
2615586,1,2,1,1,1,1,1,1,3,4,,,,200000,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,,1,1,1,1,4,1,1,1,1,1,3,2,1,1,66,2,66,1,275.587.560.506.913
2615587,1,3,2,1,1,1,1,1,4,3,,,,,200000,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,,2,1,1,1,2,1,2,1,1,1,3,2,1,1,66,2,66,1,309.087.207.693.933
2615588,1,3,2,1,1,1,1,1,4,3,,,,,300000,1,2,1,1,1,2,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,1,2,2,2,,2,1,2,1,4,1,2,1,1,1,3,2,1,1,66,2,66,1,309.087.207.693.933
2615589,1,3,2,1,1,1,1,1,4,3,,,,,180000,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,1,1,2,2,,7,1,2,1,4,1,2,1,1,1,3,2,1,1,66,2,66,1,270.008.232.473.228
2615591,1,2,1,1,1,1,1,1,4,3,,,,,300000,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,3,2,2,,4,1,2,1,4,1,2,1,1,1,3,2,1,1,66,2,66,1,255.111.106.800.602
2615592,1,3,2,1,2,1,1,1,3,1,,,50000000,350000,,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,2,,2,1,1,1,4,1,1,1,1,1,3,2,1,1,66,2,66,1,289.597.149.895.258
2615592,2,1,1,1,2,1,1,6,,3,,,,,100000,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,3,1,2,,,,,,,,,,,1,1,66,2,66,1,289.597.149.895.258
2615592,3,1,1,1,2,1,1,6,,3,,,,,60000,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,3,1,3,,,,,,,,,,,1,1,66,2,66,1,289.597.149.895.258
2615593,1,3,1,1,1,1,1,1,3,1,,,70000000,300000,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,,2,1,2,1,4,1,1,1,1,1,3,2,1,1,66,2,66,1,222.597.855.521.219
2615594,1,1,1,1,1,1,1,1,3,1,,,50000000,150000,,1,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,1,3,2,2,,3,1,2,1,4,1,1,1,1,1,3,2,1,1,66,2,66,1,288.479.135.958.982
2615595,1,1,1,1,1,1,1,1,3,1,,,60000000,250000,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,2,,2,2,,1,1,1,1,4,1,1,1,1,1,3,2,1,1,66,2,66,1,275.587.560.506.913
2615596,1,2,2,1,1,1,1,1,3,4,,,,300000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,,3,1,1,4,2,1,1,1,1,1,3,2,1,1,66,2,66,1,288.479.135.958.982
2615597,1,3,2,1,1,1,1,1,1,1,,,100000000,300000,,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,,2,2,,2,1,2,1,4,1,2,1,1,1,3,2,1,1,66,2,66,1,222.597.855.521.219
2615598,1,2,1,1,1,1,1,1,4,3,,,,,160000,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,,1,1,2,1,4,1,2,1,1,1,3,2,1,1,66,2,66,1,267.602.133.083.067
2615599,1,3,2,1,1,1,1,1,1,3,,,,,180000,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,2,1,2,1,4,1,2,1,1,1,3,2,1,1,66,2,66,1,325.218.884.282.762
2615601,1,2,2,1,1,1,1,1,4,3,,,,,180000,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,,2,2,,3,1,2,1,2,1,2,1,1,1,3,2,1,1,66,2,66,1,311.262.128.779.627
2615602,1,3,2,1,1,1,1,1,3,3,,,,,265000,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,3,1,2,1,4,1,1,1,1,1,3,2,1,1,66,2,66,1,325.226.072.171.126
2615603,1,3,1,1,1,1,1,1,4,1,,,40000000,250000,,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,,1,1,2,1,4,1,2,1,1,1,3,2,1,1,66,2,66,1,275.587.560.506.913
2615604,1,2,1,1,1,1,1,1,3,1,,,18000000,200000,,1,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,1,1,2,2,,3,1,1,1,4,1,1,1,1,1,1,2,1,1,66,2,66,1,325.226.072.171.126
2615607,1,2,1,1,1,1,1,1,3,4,,,,100000,,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,,1,1,1,1,2,1,1,1,1,1,1,2,1,1,66,2,66,1,275.587.560.506.913
2615608,1,1,1,1,1,1,1,1,5,1,,,15000000,100000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,2,1,1,1,3,1,2,1,1,1,1,2,1,1,66,2,66,1,238.729.532.110.049
2615609,1,3,2,1,1,1,1,1,4,3,,,,,150000,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,,4,1,2,1,3,1,2,1,1,1,2,2,1,1,66,2,66,1,313.993.355.722.156
2615610,1,3,2,1,1,1,1,1,4,3,,,,,150000,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,,4,1,2,1,2,1,2,1,1,1,2,2,1,1,66,2,66,1,335.386.420.680.666
2615612,1,3,2,1,1,1,1,1,3,3,,,,,180000,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,6,1,2,1,4,1,1,1,1,1,2,2,1,1,66,2,66,1,271.163.999.246.002
2615613,1,7,3,1,1,1,1,1,3,1,,,600000000,1200000,,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,,4,1,2,1,4,1,1,1,1,1,6,2,1,1,66,2,66,1,252.943.373.603.271
2615615,1,3,3,1,1,1,1,1,4,1,,,8000000,200000,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,6,1,1,4,3,1,2,1,1,1,1,2,1,1,66,2,66,1,259.064.604.905.856
2615616,1,1,1,1,1,1,1,6,,3,,,,,50000,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,2,1,2,1,2,1,2,1,1,1,1,2,1,1,66,2,66,1,315.303.794.168.875
2615617,1,4,2,1,1,1,1,1,3,1,,,150000000,700000,,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,,2,1,2,1,4,1,1,1,1,1,5,2,1,1,66,2,66,1,303.877.947.937.477
