DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,AREA,MES,DPTO,fex_c_2011
2705284,1,1,1,95,1,,1,1,,1150000,380000,2,2,,,,,,,,,,,,,73,6,73,270.400.597.279.603
2705284,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,270.400.597.279.603
2705284,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,270.400.597.279.603
2705285,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,199.952.017.376.613
2705285,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,199.952.017.376.613
2705285,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,199.952.017.376.613
2705285,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,199.952.017.376.613
2705285,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,199.952.017.376.613
2705287,1,1,1,95,2,,,,,,,,1,2,2,,,,,2300000,2,1,2,,2,73,6,73,212.043.362.087.083
2705288,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,190.441.553.229.731
2705289,1,1,1,95,2,,,,,,,,1,2,1,,300000,,,,2,2,2,,2,73,6,73,247.339.908.226.677
2705289,1,2,1,95,2,,,,,,,,1,2,1,,110000,,,,2,2,2,,2,73,6,73,247.339.908.226.677
2705289,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,247.339.908.226.677
2705290,1,1,1,95,1,,2,1,,3000000,,2,2,,,,,,,,,,,,,73,6,73,239.225.052.209.836
2705290,1,2,1,95,1,,2,1,,900000,,2,1,2,2,,,,,6000000,2,1,2,,2,73,6,73,239.225.052.209.836
2705290,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,239.225.052.209.836
2705291,1,1,1,95,2,,,,,,,,1,2,2,,,,,4800000,2,1,2,,2,73,6,73,207.358.634.153.208
2705291,1,2,1,95,2,,,,,,,,1,2,2,,,,,600000,2,1,2,,2,73,6,73,207.358.634.153.208
2705292,1,1,1,95,2,,,,,,,,1,2,1,,210000,,,,2,2,2,,2,73,6,73,185.717.807.327.964
2705292,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,185.717.807.327.964
2705292,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,185.717.807.327.964
2705292,1,5,1,95,1,,1,1,,535600,400000,2,2,,,,,,,,,,,,,73,6,73,185.717.807.327.964
2705293,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,20.650.599.173.062
2705293,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,20.650.599.173.062
2705294,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,245.796.123.482.586
2705295,1,1,1,95,2,,,,,,,,1,2,2,,,,,7200000,2,1,2,,2,73,6,73,190.441.553.229.731
2705296,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,256.060.732.681.862
2705296,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,256.060.732.681.862
2705297,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,245.796.123.482.586
2705298,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,245.796.123.482.586
2705299,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,245.796.123.482.586
2705301,1,1,1,95,2,,,,,,,,1,2,2,,,,,10000000,2,1,2,,2,73,6,73,258.554.356.416.918
2705302,1,1,1,95,1,,2,1,,1400000,,2,2,,,,,,,,,,,,,73,6,73,214.620.578.412.819
2705303,1,1,1,95,1,,1,2,,,250000,2,2,,,,,,,,,,,,,73,6,73,218.517.236.791.456
2705303,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,218.517.236.791.456
2705304,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,190.441.553.229.731
2705306,1,1,1,95,1,,2,1,,850000,,2,2,,,,,,,,,,,,,73,6,73,259.507.688.348.929
2705306,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,259.507.688.348.929
2705306,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,259.507.688.348.929
2705308,1,1,1,95,1,,2,1,,3000000,,2,2,,,,,,,,,,,,,73,6,73,199.509.471.843.941
2705308,1,2,1,95,1,,2,1,,950000,,2,2,,,,,,,,,,,,,73,6,73,199.509.471.843.941
2705309,1,1,1,95,1,,1,1,,1600000,200000,2,1,2,2,,,250000,,,1,2,2,,2,73,6,73,240.824.951.840.563
2705309,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,240.824.951.840.563
2705309,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,240.824.951.840.563
2705309,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,73,6,73,240.824.951.840.563
2705346,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,23,6,23,150.372.062.986.118
2705347,1,1,1,95,2,,,,,,,,1,2,2,,,,,4800000,2,1,2,,2,23,6,23,986.926.663.346.275
2705347,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,23,6,23,986.926.663.346.275
2705347,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,23,6,23,986.926.663.346.275
2705349,1,1,1,95,2,,,,,,,,1,2,2,,,,,5400000,2,1,2,,2,23,6,23,144.226.340.786.645
2705349,1,2,1,95,2,,,,,,,,1,2,2,,,,,1200000,2,1,2,,2,23,6,23,144.226.340.786.645
2705350,1,1,1,95,1,,1,2,,,130000,2,1,2,2,,,,,2400000,2,1,2,,2,23,6,23,138.423.924.549.924
2705350,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,23,6,23,138.423.924.549.924
2705350,1,3,1,95,2,,,,,,,,1,1,2,,,,720000,,2,2,2,,2,23,6,23,138.423.924.549.924
2705351,1,1,1,95,1,,1,2,,,700000,2,2,,,,,,,,,,,,,23,6,23,121.556.968.137.092
2705352,1,1,1,95,1,,1,1,,535600,250000,2,2,,,,,,,,,,,,,23,6,23,106.349.608.505.343
2705352,1,2,1,95,1,,1,2,,,500000,2,2,,,,,,,,,,,,,23,6,23,106.349.608.505.343
2705352,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,23,6,23,106.349.608.505.343
2705353,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,23,6,23,145.942.537.898.523
2705353,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,23,6,23,145.942.537.898.523
