DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,FT,DPTO,fex_c_2011
2684033,1,1,1,50,73,,,1,1,,,,,,,,,,,,,,5,1,73,188.516.169.043.896
2684033,1,2,1,50,73,6,,2,4,,2,2,2,1,,,,,,,,1,5,1,73,188.516.169.043.896
2684033,1,4,1,50,73,,,1,3,,2,2,2,2,2,,,,,,,,5,1,73,188.516.169.043.896
2684033,1,7,1,50,73,2,,7,4,,2,2,2,1,,,,,,,,1,5,1,73,188.516.169.043.896
2684034,1,1,1,50,73,,,1,1,,,,,,,,,,,,,,5,1,73,155.006.816.194.586
2684034,1,2,1,50,73,,,2,1,,,,,,,,,,,,,,5,1,73,155.006.816.194.586
2684034,1,3,1,50,73,,,3,1,,,,,,,,,,,,,,5,1,73,155.006.816.194.586
2684034,1,4,1,50,73,2,,4,3,,2,2,2,1,,,,,,,,1,5,1,73,155.006.816.194.586
2684034,1,5,1,50,73,,,2,3,,2,2,2,2,2,,,,,,,,5,1,73,155.006.816.194.586
2684036,1,1,1,50,73,,,1,1,,,,,,,,,,,,,,5,1,73,202.974.665.535.584
2684036,1,2,1,50,73,,,2,4,,2,2,2,2,2,,,,,,,,5,1,73,202.974.665.535.584
2684037,1,1,1,50,73,,,1,4,,2,2,2,2,1,11,,,,,,,5,1,73,159.057.825.784.944
2684037,1,2,1,50,73,,,2,3,,2,2,2,2,1,10,,,,,,,5,1,73,159.057.825.784.944
2684038,1,1,1,50,73,,,1,1,,,,,,,,,,,,,,5,1,73,192.557.276.279.338
2684038,1,2,1,50,73,,,2,3,,1,,,,,,,,,,,,5,1,73,192.557.276.279.338
2684039,1,1,1,50,73,,,1,1,,,,,,,,,,,,,,5,1,73,17.864.419.652.304
2684040,1,1,1,50,73,,,1,6,ENFERMO,2,2,2,2,2,,,,,,,,5,1,73,257.987.840.227.729
2684040,1,2,1,50,73,,,2,4,,2,2,2,2,2,,,,,,,,5,1,73,257.987.840.227.729
2684042,1,1,1,50,73,,,1,1,,,,,,,,,,,,,,5,1,73,278.011.827.256.912
2684042,1,2,1,50,73,,,2,1,,,,,,,,,,,,,,5,1,73,278.011.827.256.912
2684042,1,5,1,50,73,,,5,1,,,,,,,,,,,,,,5,1,73,278.011.827.256.912
2684043,1,1,1,50,73,,,1,1,,,,,,,,,,,,,,5,1,73,202.974.665.535.584
2684043,1,2,1,50,73,,,2,4,,2,2,2,2,1,13,CAMBIO DE DOMICILIO,,,,,,5,1,73,202.974.665.535.584
2684044,1,1,1,50,73,,,1,1,,,,,,,,,,,,,,5,1,73,273.137.928.630.629
2684044,1,2,1,50,73,3,,2,4,,2,2,2,1,,,,,,,,1,5,1,73,273.137.928.630.629
2684044,1,3,1,50,73,,,2,3,,2,2,2,2,2,,,,,,,,5,1,73,273.137.928.630.629
2684044,1,4,1,50,73,,,4,2,,1,,,,,,,,,,,,5,1,73,273.137.928.630.629
2684045,1,1,1,50,73,,,1,1,,,,,,,,,,,,,,5,1,73,222.998.652.564.767
2684045,1,2,1,50,73,,,2,1,,,,,,,,,,,,,,5,1,73,222.998.652.564.767
2684045,1,3,1,50,73,,,3,1,,,,,,,,,,,,,,5,1,73,222.998.652.564.767
2684046,1,1,1,50,73,,,1,4,,2,2,2,2,2,,,,,,,,5,1,73,193.626.561.422.353
2684046,1,2,1,50,73,,,2,4,,2,2,2,2,2,,,,,,,,5,1,73,193.626.561.422.353
2684046,1,3,1,50,73,,,3,1,,,,,,,,,,,,,,5,1,73,193.626.561.422.353
2684047,1,1,1,50,73,2,,1,4,,2,2,2,1,,,,,,,,1,5,1,73,225.336.555.695.058
2684047,1,2,1,50,73,,,2,4,,2,2,2,2,1,10,,,,,,,5,1,73,225.336.555.695.058
2684047,1,3,1,50,73,,,2,3,,2,2,2,2,2,,,,,,,,5,1,73,225.336.555.695.058
2684048,1,1,1,50,73,,,1,1,,,,,,,,,,,,,,5,1,73,161.595.068.379.094
2684048,1,2,1,50,73,2,,2,4,,2,2,2,1,,,,,,,,1,5,1,73,161.595.068.379.094
2684048,1,3,1,50,73,2,,3,3,,2,2,2,1,,,,,,,,1,5,1,73,161.595.068.379.094
2684048,1,4,1,50,73,,,2,4,,2,2,2,2,1,13,ESTA HACIENDO DILIGENCIAS PARA SEGUIR ESTUDIANDO,,,,,,5,1,73,161.595.068.379.094
2684048,1,5,1,50,73,,,5,4,,2,2,2,2,2,,,,,,,,5,1,73,161.595.068.379.094
2684049,1,1,1,50,73,,,1,4,,2,2,2,2,2,,,,,,,,5,1,73,197.252.600.947.577
2684049,1,2,1,50,73,,,2,4,,2,2,2,2,1,10,,,,,,,5,1,73,197.252.600.947.577
2684050,1,1,1,50,73,,,1,4,,1,,,,,,,,,,,,5,1,73,150.262.717.920.137
2684050,1,2,1,50,73,,,2,4,,2,2,2,2,2,,,,,,,,5,1,73,150.262.717.920.137
2684050,1,3,1,50,73,,,3,4,,1,,,,,,,,,,,,5,1,73,150.262.717.920.137
2684051,1,1,1,50,73,,,1,6,PENSIONADO,2,2,2,2,2,,,,,,,,5,1,73,17.360.257.439.317
2684051,1,2,1,50,73,,,2,6,ENFERMA,2,2,2,2,2,,,,,,,,5,1,73,17.360.257.439.317
2684052,1,1,1,50,73,,,1,1,,,,,,,,,,,,,,5,1,73,229.104.493.124.733
2684052,1,2,1,50,73,,,2,1,,,,,,,,,,,,,,5,1,73,229.104.493.124.733
2684053,1,1,1,50,73,,,1,1,,,,,,,,,,,,,,5,1,73,264.136.121.979.028
2684053,1,2,1,50,73,1,,2,4,,2,2,2,1,,,,,,,,1,5,1,73,264.136.121.979.028
2684053,1,3,1,50,73,,,1,3,,2,2,2,2,2,,,,,,,,5,1,73,264.136.121.979.028
2684053,1,4,1,50,73,,,2,3,,2,2,2,2,2,,,,,,,,5,1,73,264.136.121.979.028
2684054,1,1,1,50,73,,,1,4,,1,,,,,,,,,,,,5,1,73,18.257.750.331.418
2684054,1,2,1,50,73,,,2,3,,1,,,,,,,,,,,,5,1,73,18.257.750.331.418
2684054,1,3,1,50,73,,,3,3,,1,,,,,,,,,,,,5,1,73,18.257.750.331.418
2684054,1,4,1,50,73,,,1,3,,2,2,2,2,2,,,,,,,,5,1,73,18.257.750.331.418
2684055,1,1,1,50,73,,,1,1,,,,,,,,,,,,,,5,1,73,243.765.837.488.215
2684055,1,2,1,50,73,,,2,1,,,,,,,,,,,,,,5,1,73,243.765.837.488.215
