DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,AREA,fex_c_2011
2797259,1,6,3,1,1,1,1,1,3,1,,,95000000,350000,,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,2,2,1,4,2,2,,5,1,1,1,4,1,1,1,1,1,3,3,1,1,1,10,15,1,15,97.479.669.014.839
2797260,1,4,3,1,1,1,1,1,3,3,,,,,280000,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,4,1,2,1,4,1,1,1,1,1,3,3,1,1,1,10,15,1,15,484.838.243.789.729
2797261,1,3,2,1,1,1,1,1,3,1,,,45000000,250000,,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,2,1,2,1,4,1,1,1,1,1,3,3,1,1,1,10,15,1,15,74.353.682.377.242
2797262,1,4,3,1,1,1,1,1,3,3,,,,,250000,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,1,1,5,1,2,1,4,1,1,1,1,1,3,3,1,1,1,10,15,1,15,720.034.381.023.463
2797263,1,4,1,1,1,1,1,1,3,1,,,120000000,400000,,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,,2,2,,1,1,2,1,4,1,1,1,1,1,4,3,1,1,1,10,15,1,15,87.645.357.734.158
2797264,1,6,1,1,1,1,1,1,3,1,,,110000000,450000,,2,1,1,1,1,2,2,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,2,,2,1,1,1,4,1,1,1,1,1,4,3,1,1,1,10,15,1,15,826.628.462.462.691
2797265,1,4,3,1,1,1,1,1,4,3,,,,,300000,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,3,2,2,,7,1,1,1,2,1,1,1,1,1,3,3,1,1,1,10,15,1,15,484.838.243.789.729
2797266,1,3,2,1,1,1,1,1,3,1,,,98,350000,,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,2,2,2,,2,1,1,1,4,1,1,1,1,1,3,3,1,1,1,10,15,1,15,100.946.765.893.058
2797267,1,5,3,1,1,1,1,1,3,3,,,,,300000,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,3,2,2,,3,1,2,1,4,1,1,1,1,1,3,3,1,1,1,10,15,1,15,138.043.847.349.802
2797268,1,5,2,1,1,1,1,1,3,1,,,98,1000000,,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,,2,1,1,1,6,1,1,1,1,1,4,3,1,1,1,10,15,1,15,958.957.934.551.937
2797269,1,5,3,1,1,1,1,1,3,3,,,,,300000,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,,3,1,1,1,2,1,1,1,1,1,2,3,1,1,1,10,15,1,15,121.182.313.506.944
2797270,1,4,3,1,1,1,1,1,3,1,,,60000000,250000,,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,3,2,2,,3,1,1,1,4,1,1,1,1,1,1,3,1,1,1,10,15,1,15,102.898.393.860.155
2797271,1,4,2,1,1,1,1,1,3,1,,,40000000,250000,,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,2,2,1,3,2,2,,5,1,2,1,2,1,1,1,1,1,1,2,1,1,1,10,15,1,15,876.171.366.291.299
2797272,1,5,4,1,1,1,1,1,3,1,,,30000000,400000,,1,1,1,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,2,2,1,6,2,2,,9,1,2,1,4,1,1,1,1,1,1,3,1,1,1,10,15,1,15,642.650.226.382.037
2797273,1,2,1,1,1,1,1,1,3,3,,,,,225000,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,,3,1,2,1,2,1,1,1,1,1,1,3,1,1,1,10,15,1,15,843.961.462.086.029
2797274,1,4,3,1,1,1,1,1,3,3,,,,,300000,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,3,2,2,,6,1,2,1,4,1,1,1,1,1,1,3,1,1,1,10,15,1,15,152.018.494.503.656
2797277,1,4,1,1,1,1,1,1,3,1,,,250000000,1500000,,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,,2,1,2,1,5,1,1,1,1,1,5,3,1,1,1,10,73,1,73,194.911.471.217.572
2797278,1,4,1,1,1,1,1,1,4,1,,,250000000,1500000,,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,,2,1,2,1,4,1,2,1,1,1,4,9,1,1,1,10,73,1,73,194.911.471.217.572
2797279,1,6,3,1,1,1,1,1,3,1,,,280000000,800000,,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,2,1,3,2,2,,3,1,2,1,4,1,1,1,1,1,5,7,2,1,1,10,73,1,73,141.962.665.427.535
2797281,1,4,1,1,1,1,1,1,3,1,,,130000000,800000,,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,1,1,1,1,2,2,2,,2,2,,1,1,2,1,4,1,1,1,1,1,5,3,1,1,1,10,73,1,73,24.786.027.700.761
2797282,1,4,1,1,1,1,1,6,,1,,,130000000,1500000,,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,,1,1,2,1,4,1,1,1,1,1,5,3,1,1,1,10,73,1,73,164.605.309.569.662
2797283,1,3,2,1,1,1,1,1,3,3,,,,,280000,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,3,1,1,1,2,1,1,1,1,1,1,3,1,1,1,10,73,1,73,185.670.223.554.566
2797285,1,4,3,1,1,1,1,1,3,1,,,140000000,1200000,,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,4,2,2,,4,1,2,1,4,1,1,1,1,1,5,3,2,1,1,10,73,1,73,19.678.285.772.019
2797286,1,7,4,1,1,1,1,1,3,1,,,70000000,600000,,1,2,1,2,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,5,2,2,,7,1,1,1,4,1,1,1,1,1,2,3,2,1,1,10,73,1,73,296.749.802.608.235
2797287,1,3,1,1,1,1,1,1,4,3,,,,,200000,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,2,1,1,1,2,1,2,1,1,1,2,3,2,1,1,10,73,1,73,234.703.140.702.457
2797288,1,4,2,1,1,1,1,1,3,3,,,,,240000,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,2,1,2,1,2,1,1,1,1,1,2,3,2,1,1,10,73,1,73,258.972.911.173.235
2797289,1,5,3,1,1,1,1,1,3,1,,,90000000,700000,,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,,4,1,1,1,4,1,1,1,1,1,3,3,1,1,1,10,73,1,73,455.862.123.469.344
