DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,fex_c_2011
2799031,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,215.540.060.414.179
2799031,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,215.540.060.414.179
2799036,1,6,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,229.010.177.519.837
2799037,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,117.286.643.553.112
2799038,1,2,1,80,2,2,,,,2,,2,,1,1,,9,,1,10,63,141.030.969.664.401
2799039,1,2,1,80,2,1,1,8,,2,,2,,,1,,9,1,1,10,63,190.294.042.985.137
2799040,1,2,1,80,2,1,1,6,,2,,2,,,,,8,2,1,10,63,196.704.326.658.043
2799041,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,141.941.081.443.194
2799041,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,141.941.081.443.194
2799043,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,202.206.038.523.921
2799043,1,6,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,202.206.038.523.921
2799043,1,7,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,202.206.038.523.921
2799043,1,8,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,202.206.038.523.921
2799045,1,1,1,80,2,1,4,5,,3,,2,,,,,4,2,1,10,63,174.074.516.835.722
2799045,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,174.074.516.835.722
2799046,1,2,1,80,2,1,4,9,CAMBIO  DE  DOMICILIO,2,,2,,,,,9,2,1,10,63,215.540.060.414.179
2799046,1,3,1,80,2,1,1,2,,2,,2,,,,,2,2,1,10,63,215.540.060.414.179
2799046,1,4,1,80,2,1,1,2,,2,,2,,,,,2,2,1,10,63,215.540.060.414.179
2799047,1,2,1,80,2,1,4,4,,2,,2,,,,,4,2,1,10,63,166.729.840.160.432
2799048,1,2,1,80,2,1,1,8,,2,,2,,,,,9,2,1,10,63,18.298.958.567.603
2799049,1,2,1,80,2,1,2,3,,2,,2,,,,,9,2,1,10,63,131.111.453.167.847
2799050,1,2,1,80,2,1,4,3,,2,,2,,,,,9,2,1,10,63,151.228.770.005.449
2799050,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,151.228.770.005.449
2799050,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,151.228.770.005.449
2799050,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,151.228.770.005.449
2799051,1,1,1,80,2,1,3,9,CAMBIO  DE DOMICILIO,2,,2,,,,,8,2,1,10,63,174.074.516.835.722
2799051,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,174.074.516.835.722
2799052,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,174.074.516.835.722
2799054,1,1,1,80,2,1,1,4,,2,,2,,,,,8,2,1,10,63,99.350.637.497.266
2799054,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,99.350.637.497.266
2799054,1,6,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,99.350.637.497.266
2799055,1,2,1,80,2,1,4,3,,2,,2,,,,,9,2,1,10,63,192.910.250.591.858
2799055,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,192.910.250.591.858
2799057,1,2,1,80,2,1,2,3,,2,,2,,,,,9,2,1,10,63,143.188.770.140.043
2799058,1,2,1,80,2,1,4,3,,2,,2,,,,,9,2,1,10,63,2.832.999.821.691
2799060,1,3,1,80,2,1,1,4,,2,,2,,,,,4,2,1,10,63,201.286.069.872.912
2799062,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,197.414.074.199.534
2799063,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,131.592.993.103.241
2799063,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,131.592.993.103.241
2799064,1,2,1,80,2,1,1,3,,2,,2,,,,,9,2,1,10,63,198.647.338.545.008
2799064,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,198.647.338.545.008
2799064,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,198.647.338.545.008
2799065,1,1,1,80,2,1,1,8,,2,,2,,,,,1,2,1,10,63,196.704.326.658.043
2799065,1,2,1,80,2,1,1,8,,2,,2,,,,,1,2,1,10,63,196.704.326.658.043
2802909,1,2,1,80,2,1,4,3,,2,,2,,,,,9,2,1,10,63,176.649.356.656.986
2802909,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,176.649.356.656.986
2802910,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,228.071.613.289.116
2802912,1,1,1,80,2,1,2,8,,3,,2,,,,,10,2,1,10,63,155.198.563.713.403
2802912,1,2,1,80,2,1,1,3,,2,,2,,,,,9,2,1,10,63,155.198.563.713.403
2802913,1,1,1,80,2,1,3,7,,2,,2,,,2,SU ESPOSO Y SU HIJA NO LA DEJAN,12,1,1,10,63,154.651.374.768.963
2802913,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,10,63,154.651.374.768.963
