DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,fex_c_2011
2797278,1,1,1,80,73,1,4,5,,3,,2,,,,,8,2,1,10,73,194.911.471.217.572
2797278,1,2,1,80,73,1,4,7,,2,,2,,,,,8,2,1,10,73,194.911.471.217.572
2797282,1,1,1,80,73,1,4,5,,3,,2,,,,,10,2,1,10,73,164.605.309.569.662
2797285,1,3,1,80,73,2,,,,2,,2,,2,,.,,,1,10,73,19.678.285.772.019
2797285,1,4,1,80,73,2,,,,2,,2,,2,,.,,,1,10,73,19.678.285.772.019
2797287,1,2,1,80,73,1,4,5,,3,,2,,,,,10,2,1,10,73,234.703.140.702.457
2797288,1,1,1,80,73,1,4,5,,3,,2,,,,,10,2,1,10,73,258.972.911.173.235
2797289,1,1,1,80,73,1,4,5,,3,,2,,,,,10,2,1,10,73,455.862.123.469.344
2797289,1,2,1,80,73,1,4,3,,2,,2,,,,,9,2,1,10,73,455.862.123.469.344
2797289,1,4,1,80,73,2,,,,2,,2,,2,,.,,,1,10,73,455.862.123.469.344
2797291,1,1,1,80,73,2,,,,2,,2,,2,,.,,,1,10,73,155.328.550.365.258
2797292,1,2,1,80,73,1,2,3,,2,,2,,,,,9,2,1,10,73,249.788.450.754.326
2797293,1,2,1,80,73,1,1,4,,2,,2,,,,,4,2,1,10,73,226.303.935.406.022
2797295,1,2,1,80,73,1,2,5,,3,,2,,,,,10,2,1,10,73,217.554.115.359.699
2797295,1,3,1,80,73,2,,,,2,,2,,2,,.,,,1,10,73,217.554.115.359.699
2797295,1,4,1,80,73,2,,,,2,,2,,2,,.,,,1,10,73,217.554.115.359.699
2797296,1,1,1,80,73,1,4,5,,3,,2,,,,,10,2,1,10,73,389.822.942.435.145
2797296,1,2,1,80,73,1,4,3,,2,,2,,,,,9,2,1,10,73,389.822.942.435.145
2797297,1,2,1,80,73,2,,,,2,,2,,2,,.,,,1,10,73,443.092.008.794.609
2797308,1,1,1,80,66,1,4,5,,3,,2,,,,,10,2,1,10,66,258.995.850.813.927
2797308,1,2,1,80,66,1,4,5,,3,,2,,,,,10,2,1,10,66,258.995.850.813.927
2797309,1,1,1,80,66,1,3,5,,3,,2,,,,,10,2,1,10,66,264.902.010.572.051
2797309,1,2,1,80,66,1,4,4,,2,,2,,,,,4,2,1,10,66,264.902.010.572.051
2797311,1,1,1,80,66,1,4,4,,2,,2,,,,,4,2,1,10,66,258.995.850.813.927
2797313,1,2,1,80,66,1,4,3,,2,,2,,,,,9,2,1,10,66,34.264.301.592.798
2797314,1,1,1,80,66,1,4,3,,2,,2,,,,,9,2,1,10,66,261.266.186.321.518
2797319,1,2,1,80,66,1,4,3,,2,,2,,,,,9,2,1,10,66,29.563.923.890.645
2797320,1,2,1,80,66,1,4,3,,2,,2,,,,,8,2,1,10,66,251.140.250.374.595
2797322,1,1,1,80,66,1,4,5,,3,,2,,,,,11,2,1,10,66,222.092.054.921.816
2797322,1,2,1,80,66,1,4,3,,2,,2,,,,,9,2,1,10,66,222.092.054.921.816
2797324,1,2,1,80,66,1,4,8,,2,,2,,,,,9,2,1,10,66,343.690.870.749.281
2797326,1,1,1,80,66,2,,,,2,,2,,2,,.,,,1,10,66,302.933.615.982.933
2797329,1,1,1,80,66,1,4,8,,2,,2,,,,,9,2,1,10,66,388.152.666.116.176
2797329,1,4,1,80,66,2,,,,2,,2,,2,,.,,,1,10,66,388.152.666.116.176
2797330,1,2,1,80,66,2,,,,2,,2,,2,,.,,,1,10,66,318.414.957.286.543
2797330,1,3,1,80,66,2,,,,2,,2,,2,,.,,,1,10,66,318.414.957.286.543
2797334,1,2,1,80,66,1,4,3,,2,,2,,,,,9,2,1,10,66,248.635.461.884.919
2797336,1,1,1,80,66,2,,,,2,,2,,2,,.,,,1,10,66,267.172.346.079.642
2797336,1,3,1,80,66,1,1,9,SE CAMBIO DE PAIS DE RESIDENCIA,2,,2,,,,,2,2,1,10,66,267.172.346.079.642
2797336,1,4,1,80,66,1,1,8,,2,,2,,,,,8,2,1,10,66,267.172.346.079.642
2797337,1,1,1,80,66,1,1,6,,2,,2,,,,,1,2,1,10,66,255.360.026.563.395
2797340,1,1,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,113.038.120.430.486
2797340,1,2,1,80,5,1,4,6,,1,2,2,,,,,8,2,1,10,5,113.038.120.430.486
2797341,1,1,1,80,5,1,1,8,,3,,2,,,,,11,2,1,10,5,134.246.086.140.705
2797341,1,2,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,134.246.086.140.705
2797344,1,1,1,80,5,1,4,5,,3,,2,,,,,11,2,1,10,5,101.971.277.309.766
2797344,1,3,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,101.971.277.309.766
2797346,1,1,1,80,5,1,4,3,,2,,2,,,,,9,2,1,10,5,124.364.523.349.007
2797349,1,1,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,103.156.557.638.787
2797358,1,2,1,80,68,2,,,,2,,2,,2,,.,,,1,10,68,492.803.314.963.468
2797360,1,1,1,80,68,1,3,4,,2,,2,,,,,4,2,1,10,68,630.066.880.373.904
2797373,1,3,1,80,68,2,,,,2,,2,,2,,.,,,1,10,68,562.249.047.885.577
2797381,1,3,1,80,68,2,,,,2,,2,,2,,.,,,1,10,68,517.413.523.005.222
