Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
2924970;1;3;1;80;17;1;4;5; ;3; ;2; ; ; ; ;8;2;1;04;17;176,056103364274
2924972;1;1;1;80;17;1;3;4; ;3; ;2; ; ; ; ;4;2;1;04;17;155,746718632984
2924974;1;1;1;80;17;1;4;4; ;3; ;2; ; ; ; ;10;2;1;04;17;137,036722893819
2924974;1;2;1;80;17;1;4;4; ;2; ;2; ; ; ; ;4;2;1;04;17;137,036722893819
2924979;1;1;1;80;17;1;4;4; ;2; ;2; ; ; ; ;4;2;1;04;17;172,64421935781
2924979;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;172,64421935781
2924979;1;5;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;172,64421935781
2924980;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;159,244512273573
2924982;1;1;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;164,714164249318
2924983;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;183,693540209794
2924983;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;183,693540209794
2924986;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;11;2;1;04;17;145,895489070386
2924986;1;2;1;80;17;1;4;6; ;3; ;2; ; ; ; ;11;2;1;04;17;145,895489070386
2924987;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;157,538570270342
2924987;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;157,538570270342
2924989;1;1;1;80;17;1;2;2; ;2; ;2; ; ;1; ;2;1;1;04;17;157,561340075983
2924992;1;2;1;80;17;1;3;4; ;3; ;2; ; ; ; ;4;2;1;04;17;175,342624747074
2924992;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;17;175,342624747074
2924994;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;04;17;145,895489070386
2924994;1;2;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;04;17;145,895489070386
2924995;1;2;1;80;73;1;4;3; ;2; ;2; ; ; ; ;9;2;1;04;73;254,950753995918
2925006;1;2;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;73;308,114415566059
