Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3012331;1;2;1;70;2;48;25;4; ;2;48;3; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;2;9500;08;63;719,599163494944
3012335;1;2;1;70;2;4;45;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0117;08;63;405,371347831934
3012336;1;2;1;70;2;16;30;4; ;2;16;4; ;1;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5529;08;63;664,723356646401
3012343;1;2;1;70;2;8;30;4; ;2;72;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;1;7493;08;63;502,601850373558
3012344;1;5;1;70;2;16;40;1; ;2;96;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;01;1;2;0117;08;63;295,031525584696
3012365;1;3;1;70;2;12;50;4; ;2;12;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;45;52;1;1;5261;08;63;1045,34313777447
3012379;1;2;1;70;2;84;48;4; ;2;84;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;2;7493;08;63;496,681398816936
3012379;1;3;1;70;2;12;50;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;08;63;496,681398816936
3012410;1;1;1;70;2;3;48;8; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;80000;2;62;61;01;1;1;0140;08;63;509,870090090557
3018367;1;1;1;70;2;30;20;1; ;2;6;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;5000;2;54;79;52;1;2;5271;08;73;2248,91657513381
3018373;1;1;1;70;2;96;40;2; ;2;96;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;05;05;75;1;2;7514;08;73;1314,64975833216
3018419;1;7;1;70;2;12;48;4; ;2;12;1; ;3;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;58;63;1;1;6331;08;73;827,692932598122
3021688;1;4;1;70;2;4;48;4; ;2;5;4; ;1;1; ; ; ; ;1; ; ; ; ; ; ;1;35000;2;61;61;01;1;1;0140;08;19;2118,4151475337
3021700;1;3;1;70;2;3;48;4; ;2;4;4; ;2;8; ; ; ; ; ; ; ; ; ;1; ;1;220000;2;45;45;52;1;1;5262;08;19;1843,61379981036
3021716;1;2;1;70;2;1;40;4; ;2;2;4; ;1;1; ; ; ; ; ;1; ; ; ; ; ;1;98000;2;61;61;01;1;1;0140;08;19;1029,69848477404
3021745;1;3;1;70;2;12;40;1; ;2;12;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;00;54;95;1;1;9500;08;19;1995,97867099901
3021748;1;2;1;70;2;2;40;3; ;2;100;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;08;19;1792,0388719368
3021748;1;3;1;70;2;12;40;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5211;08;19;1792,0388719368
3021748;1;4;1;70;2;2;40;4; ;2;20;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;97;52;1;1;5211;08;19;1792,0388719368
3021772;1;1;1;70;2;50;50;1; ;2;50;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;60;01;1;2;0125;08;19;1526,87728370762
3021775;1;1;1;70;2;50;40;4; ;2;50;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;99;60;1;2;6039;08;19;1858,52915867124
3021775;1;6;1;70;2;8;40;3; ;2;100;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;08;19;1858,52915867124
3021800;1;4;1;70;2;8;40;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;08;19;3165,68538573377
3021824;1;2;1;70;2;8;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;1; ;08;19;3705,82685079901
3021966;1;5;1;70;2;48;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;08;17;753,550895632218
3022061;1;5;1;70;2;2;50;8; ;2;2;8; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0111;08;17;1307,48915591208
3022107;1;1;1;70;2;4;60;8; ;2;4;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;62;62;01;1;1;0111;08;17;1451,57096454726
3022431;1;2;1;70;2;4;40;3; ;2;1;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;00;00;1;1;0000;08;19;602,299790568336
3022438;2;2;2;70;2;4;40;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;08;19;602,299790568336
3022440;1;1;1;70;2;2;40;8; ;2;2;8; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;90000;2;62;62;01;1;1;0111;08;19;808,75765178764
3022441;1;2;1;70;2;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;08;19;990,841197223504
3022461;1;1;1;70;2;2;48;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;61;61;01;1;1;0140;08;19;1041,55535142463
3022467;1;1;1;70;2;2;48;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;30000;2;61;61;01;1;1;0140;08;19;800,299695060442
3022469;1;6;1;70;2;2;48;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;60000;2;61;61;01;1;1;0140;08;19;1891,22948012389
3022469;1;7;1;70;2;2;48;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;61;61;01;1;1;0140;08;19;1891,22948012389
3022472;1;2;1;70;2;3;48;4; ;2;3;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;1;40000;2;61;61;01;1;1;0140;08;19;1096,82267691078
3022473;1;1;1;70;2;8;48;4; ;2;8;4; ;1;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0140;08;19;969,060830406556
3022486;1;1;1;70;2;8;48;1; ;2;8;1; ;9;5; ; ; ; ; ; ; ;1; ; ; ;2; ;2;70;70;45;1;1;4530;08;19;1200,58500770339
3022493;1;1;1;70;2;4;48;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;96000;2;61;61;01;1;1;0140;08;19;1374,61762511482
3022494;1;2;1;70;2;20;48;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;2; ;08;19;999,299153950702
3022538;1;5;1;70;2;4;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;08;19;995,284580517419
3023055;1;3;1;70;2;32;48;1; ;2;32;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;36;60;1;2;6021;08;50;712,390139262609
3023095;1;2;1;70;2;5;22;1; ;2;40;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;08;50;792,816478304294
3023105;1;1;1;70;2;4;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;61;61;01;1;1;0140;08;50;663,825606566914
3023107;1;3;1;70;2;16;48;2; ;2;16;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;36;60;1;2;6021;08;50;1132,92337557778
3023107;1;4;1;70;2;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;95; ; ;1;1; ;08;50;1132,92337557778
3023137;1;2;1;70;2;4;48;8; ;2;156;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;54;95;1;1;9500;08;50;1213,18025081502
3023155;1;4;1;70;2;32;48;1; ;2;32;1; ;9;9;LA ATIENDEN CON EL S; ; ; ; ; ; ; ; ;1; ;2; ;2;59;03;11;1;2;1110;08;50;884,687026490187
3023157;1;1;1;70;2;104;36;3; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;55;1;2;5521;08;50;717,788286003048
3023164;1;1;1;70;2;28;48;8; ;2;28;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;95;11;1;2;1120;08;50;772,585635308088
3023165;2;3;2;70;2;12;48;1; ;2;12;8; ;5;9;LA ATIENDEN CON EL S; ; ; ; ; ; ; ; ;1; ;2; ;2;53;62;01;1;1;0121;08;50;1713,15797401782
3023173;1;3;1;70;2;3;48;1; ;2;3;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;1300000;2;03;39;00;1;1;0000;08;50;446,521343323603
3023187;1;2;1;70;2;4;48;8; ;2;4;8; ;9;6; ; ; ; ; ; ; ; ; ;1; ;1;566700;2;62;62;01;1;1;0140;08;50;1076,0945132854
3023238;1;3;1;70;2;12;40;1; ;2;12;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;30;54;95;1;1;9500;08;50;446,521343323603
3023269;1;3;1;70;2;2;48;1; ;2;1;1; ;3;7; ; ; ; ; ; ; ; ; ;1; ;1;750000;2;77;77;52;1;1;5223;08;50;637,812737218811
3023271;1;3;1;70;2;52;48;4; ;2;25;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6042;08;50;622,351877875455
