Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3096351;1;2;1;70;1;4;20;1; ;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;230000;2;45;36;60;1;1;6021;12;15;161,640818459686;15
3096352;1;1;1;70;1;52;60;4; ;2;52;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;60;1;2;6041;12;15;89,9722348473328;15
3096352;1;3;1;70;1;1;40;1; ;2;52;1; ;3;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5234;12;15;89,9722348473328;15
3096369;1;1;1;70;1;4;48;2; ;2;8;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;74;1;1;7411;12;17;338,891804489582;17
3096381;1;2;1;70;1;8;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;38; ; ;1;1; ;12;17;272,918342053067;17
3096381;1;4;1;70;1;4;48;1; ;2;4;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;38;64;1;1;6421;12;17;272,918342053067;17
3096382;1;3;1;70;1;1;48;1; ;2;8;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;87;45;52;1;1;5235;12;17;241,117290734887;17
3096402;1;2;1;70;1;72;40;1; ;2;72;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;91;1;2;9199;12;66;297,011574544873;66
3096410;1;2;1;70;1;13;40;4; ;2;13;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;1;7493;12;66;267,746900242267;66
3096419;1;2;1;70;1;54;50;1; ;2;54;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;2;1810;12;66;223,183572626968;66
3096425;1;2;1;70;1;144;48;1; ;2;144;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;52;1;2;5241;12;47;126,899582256816;47
3096433;1;2;1;70;1;4;48;1; ;2;28;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;12;47;259,820917626028;47
3096445;1;1;1;70;1;24;48;1; ;2;400;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;12;20;143,032369995783;20
3096446;1;3;1;70;1;6;40;1; ;2;6;4; ;2;7; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;99;99;50;1;1;5020;12;20;142,246181684541;20
3096454;1;1;1;70;1;3;48;1; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;98;98;60;1;1;6021;12;20;165,959895617862;20
3096472;1;2;1;70;1;73;73;1; ;2;73;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;2;8512;12;18;93,5991401837977;18
3096473;1;1;1;70;1;40;50;4; ;2;48;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;53;55;1;2;5529;12;18;81,4688511560581;18
3096474;1;5;1;70;1;10;48;1; ;2;10;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;12;18;66,7129843310959;18
3096480;1;1;1;70;1;4;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;74;1;1;7493;12;18;70,0266549252433;18
3096501;1;1;1;70;1;4;48;1; ;2;35;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;34;74;1;1;7412;12;73;279,248984628739;73
3096508;1;5;1;70;1;4;60;1; ;2;51;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;12;70;123,334851533851;70
3096508;1;8;1;70;1;4;54;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;95;98;60;1;1;6031;12;70;123,334851533851;70
3096514;1;2;1;70;1;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;12;70;83,8725456509401;70
3096516;1;2;1;70;1;16;48;3; ;2;40;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;55;74;1;2;7493;12;73;294,509076914444;73
3096519;1;4;1;70;1;24;48;1; ;2;7;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;38;74;1;2;7499;12;73;236,761315718553;73
3096528;1;2;1;70;1;12;48;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;17;55;1;1;5530;12;52;182,232895339484;52
3096539;1;1;1;70;1;13;40;1; ;2;88;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;45;39;45;1;1;4530;12;52;137,989310290342;52
3096540;1;1;1;70;1;2;24;1; ;2;208;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;37;74;1;1;7491;12;52;187,139511782547;52
3096541;1;3;1;70;1;12;40;4; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;19;19;85;1;1;8515;12;52;109,790967062066;52
3096554;1;3;1;70;1;4;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;1; ;12;76;1083,68013430643;76
3096556;1;2;1;70;1;104;48;1; ;2;2;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;60000;2;95;95;45;1;2;4521;12;76;947,152919727028;76
3096565;1;2;1;70;1;14;48;1; ;2;14;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;52;1;2;5231;12;76;1092,19784752175;76
3096579;1;2;1;70;1;24;48;1; ;2;4;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;1;25000;2;55;55;95;1;2;9500;12;76;555,114360558329;76
3096579;1;3;1;70;1;4;48;1; ;2;4;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;1;565000;2;45;32;51;1;1;5141;12;76;555,114360558329;76
3096580;1;1;1;70;1;156;40;1; ;2;208;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;95;93;45;1;2;4552;12;76;1106,59690976305;76
3096587;1;3;1;70;1;2;30;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;12;68;528,699802347992;68
3096588;1;3;1;70;1;1;48;1; ;2;10;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;45;16;1;1;1600;12;68;570,12832937334;68
3096617;1;3;1;70;1;1;48;1; ;2;104;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;63;1;1;6331;12;50;139,853256120019;50
3096617;1;4;1;70;1;3;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;12;50;139,853256120019;50
3096638;1;1;1;70;1;3;60;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;12;50;200,678712488958;50
3096652;1;2;1;70;1;8;24;4; ;2;104;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;51;45;92;1;1;9242;12;17;238,516217862866;17
