Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
2861557;1;1;1;70;73;4;48;1; ;2;10;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;60;01;1;1;0121;01;73;330,321787546614
2861561;1;4;1;70;73;52;48;1; ;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;250000;2;45;45;52;1;2;5233;01;73;181,826833756138
2861570;1;3;1;70;73;8;48;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;1; ;01;73;591,16932786698
2861571;1;3;1;70;73;4;48;1; ;2;4;1; ;5;6; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;34;03;72;1;1;7250;01;73;219,383409761707
2861576;1;3;1;70;73;2;50;1; ;2;3;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;95;95;45;1;1;4521;01;73;571,218448402692
2861606;1;1;1;70;23;12;42;4; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5262;01;23;144,477955338655
2861626;1;1;1;70;17;5;48;1; ;2;5;1; ;8;3; ; ; ; ;1; ; ; ; ; ; ;1;2500000;2;02;02;45;1;1;4521;01;17;157,645845077471
2861635;1;1;1;70;17;8;60;4; ;2;8;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;55;1;1;5519;01;17;123,002062335283
2861641;1;2;1;70;73;3;48;5; ;2;3;5; ;2;1; ; ; ;1; ; ; ; ; ; ; ;1;650000;2;95;95;45;1;1;4521;01;73;381,097221593314
2861641;1;3;1;70;73;42;48;2; ;2;2;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;535600;2;58;45;52;1;2;5234;01;73;381,097221593314
2861646;1;2;1;70;73;52;60;4; ;2;52;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;45;52;1;2;5261;01;73;225,587775072932
2861647;1;2;1;70;73;2;60;1; ;2;2;1; ;7;7; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;95;95;45;1;1;4521;01;73;195,080302171806
2861658;1;2;1;70;73;2;60;1; ;2;2;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;360000;2;53;53;55;1;1;5521;01;73;303,404220903043
2861661;1;6;1;70;73;3;30;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;01;73;349,671590495592
2861663;1;2;1;70;73;52;30;1; ;2;3;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;45;45;52;1;2;5233;01;73;160,801574711824
2861664;1;2;1;70;73;24;40;1; ;2;56;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;2;8511;01;73;227,014233185094
2861674;1;3;1;70;73;1;40;1; ;2;1;4; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;1160000;2;32;38;74;1;1;7413;01;73;144,244302576122
2861674;1;6;1;70;73;52;40;1; ;2;6;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;1;256000;2;53;53;55;1;2;5521;01;73;144,244302576122
2861682;1;1;1;70;73;8;50;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5530;01;73;287,305344920482
2861684;1;5;1;70;73;8;50;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;01;73;317,545950506417
