Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
2974772;1;3;1;70;2;2;40;4; ;2;24;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;41;52;1;1;5234;06;63;867,970109908511
2978536;1;4;1;70;2;8;45;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;06;13;2790,77621742277
2978554;1;1;1;70;2;12;48;1; ;2;16;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;81;81;36;1;1;3619;06;13;1341,66119509135
2978554;1;5;1;70;2;4;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;21; ; ;1;1; ;06;13;1341,66119509135
2978559;1;1;1;70;2;6;40;3; ;2;22;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;06;13;3376,7779295825
2979264;1;1;1;70;2;12;55;4; ;2;12;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;58;95;1;1;9500;06;63;609,134607782704
2979276;1;4;1;70;2;8;50;8; ;2;8;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0117;06;63;810,4641958983
2979281;1;2;1;70;2;5;50;8; ;2;5;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;140000;2;61;61;01;1;1;0111;06;63;599,153737580832
2979283;1;2;1;70;2;2;10;4; ;2;40;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5261;06;63;364,721064847563
2979284;1;1;1;70;2;2;50;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;41;95;45;1;1;4521;06;63;627,911618327352
2979291;1;3;1;70;2;1;50;1; ;2;1;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;160000;2;54;54;55;1;1;5519;06;63;839,840549197423
2979293;1;7;1;70;2;40;50;1; ;2;40;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5237;06;63;903,411114041966
2979792;1;7;1;70;2;24;48;1; ;2;24;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;55;1;2;5511;06;47;1897,75768399715
2979909;1;1;1;70;2;2;48;8; ;2;2;1; ;5;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;95;45;1;1;4530;06;47;2830,68960740066
2981001;1;3;1;70;2;4;48;1; ;2;4;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;788000;2;59;59;85;1;1;8512;06;23;3316,94067386309
2981001;1;5;1;70;2;16;40;1; ;2;16;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8011;06;23;3316,94067386309
2981055;1;3;1;70;2;8;30;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;06;73;828,416633948526
2981073;1;5;1;70;2;1;40;1; ;2;1;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;36000;2;45;53;55;1;1;5522;06;73;1072,25458601706
2981134;1;4;1;70;2;1;72;3; ;2;5;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;06;73;821,174887196052
2981137;1;6;1;70;2;2;48;3; ;2;4;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;40000;2;53;62;01;1;1;0111;06;73;497,84992785949
2981141;1;2;1;70;2;2;20;4; ;2;26;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;41;41;52;1;1;5224;06;73;567,388490213624
2981170;1;2;1;70;2;8;36;1; ;2;8;3; ;1;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;1;9500;06;73;1071,67178610008
2981185;1;4;1;70;2;1;45;8; ;2;1;8; ;2;1; ; ; ; ;1; ; ; ; ; ; ;1;80000;2;62;62;01;1;1;0111;06;73;459,562310263076
2981192;1;1;1;70;2;52;40;1; ;2;52;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;45;1;2;4530;06;73;702,219881740833
2981225;1;1;1;70;2;6;20;3; ;2;6;8; ;3;4; ; ; ; ; ; ; ;1; ; ; ;1;160000;2;54;62;01;1;1;0111;06;73;701,511102099841
2982602;1;2;1;70;2;12;40;1; ;2;12;1; ;4;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;06;17;1749,01149300444
2982640;1;1;1;70;2;4;50;8; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;62;45;52;1;1;5262;06;17;4893,73308907299
