Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3040032;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;63;1196,14406423891
3040032;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;63;1196,14406423891
3040032;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;63;1196,14406423891
3040033;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;63;938,187981036626
3040033;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;63;938,187981036626
3040034;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;63;857,746894626213
3040058;1;1;1;80;2;1;4;5; ;3; ;2; ; ; ; ;10;2;1;09;63;1219,5740183948
3040058;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;63;1219,5740183948
3040060;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;63;891,510912866464
3040061;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;63;1094,64159982586
3040062;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;63;1067,11298851113
3040089;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;63;1185,56034111096
3040090;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;63;1067,11298851113
3040093;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;63;1285,61209406105
3041884;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;9;2;1;09;73;3000,36875512536
3041885;1;2;1;80;2;1;1;8; ;2; ;1;10000; ; ; ;9;2;1;09;73;2544,65020908204
3041886;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;2613,28283130992
3041887;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;2383,43477830992
3041888;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;2507,29876279017
3041891;1;1;1;80;2;1;3;4; ;2; ;2; ; ; ; ;9;2;1;09;73;1743,55487451539
3041897;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;1979,90512691923
3041898;1;2;1;80;2;1;4;5; ;3; ;2; ; ; ; ;10;2;1;09;73;2479,04625236936
3041899;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;2216,25537932308
3041911;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;1932,78619616127
3041914;1;2;1;80;2;1;1;4; ;2; ;2; ; ; ; ;4;2;1;09;73;2504,76378084284
3041916;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;2129,25002032591
3041916;1;3;1;80;2;1;2;4; ;2; ;2; ; ; ; ;4;2;1;09;73;2129,25002032591
3041916;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;2129,25002032591
3041918;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;8;2;1;09;73;2266,63238419733
3041920;1;1;1;80;2;1;1;4; ;2; ;2; ; ; ; ;4;2;1;09;73;2048,53774914711
3041921;1;2;1;80;2;2; ; ; ;2; ;2; ;1;3; ;9; ;1;09;73;1998,88383644182
3041927;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;2409,90614448907
3041928;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;1979,90512691923
3041928;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;1979,90512691923
3041929;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;8;2;1;09;73;2504,76378084284
3041929;1;2;1;80;2;1;4;7; ;3; ;2; ; ; ; ;8;2;1;09;73;2504,76378084284
3041932;1;2;1;80;2;1;4;6; ;2; ;2; ; ; ; ;9;2;1;09;73;2504,76378084284
3041933;1;1;1;80;2;1;1;7; ;2; ;2; ; ; ; ;4;2;1;09;73;2927,81037294524
3041933;1;3;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;09;73;2927,81037294524
3041933;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;2927,81037294524
3041944;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;09;73;2103,53249185244
3041944;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;09;73;2103,53249185244
3041944;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;2103,53249185244
3041945;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;73;2504,76378084284
3041947;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;2292,34991267081
3041948;1;1;1;80;2;1;1;4; ;2; ;2; ; ; ; ;4;2;1;09;73;2731,34654878059
3041949;1;1;1;80;2;1;4;5; ;3; ;2; ; ; ; ;4;2;1;09;73;2479,04625236936
3041949;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;09;73;2479,04625236936
3041950;1;2;1;80;2;1;4;7; ;2; ;2; ; ; ; ;8;2;1;09;73;1914,30117020655
3041950;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;1914,30117020655
3041954;1;2;1;80;2;1;1;8; ;2; ;1;75000; ; ; ;9;2;1;09;73;2308,71385750571
3041954;1;4;1;80;2;1;2;8; ;2; ;2; ; ; ; ;4;2;1;09;73;2308,71385750571
3041954;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;2308,71385750571
3041960;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;1979,90512691923
3041961;1;1;1;80;2;1;4;5; ;3; ;2; ; ; ; ;10;2;1;09;73;2355,83278826367
