Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Area;Mes;Dpto;Fex_c_2011
3267776;1;4;3;1;1;1;1;1;3;3; ; ; ; ;670000;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;1;1;1;2;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;4;3;1;01;76;08;76;930,220057933433
3267777;1;4;2;1;1;1;1;1;3;3; ; ; ; ;650000;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;4;3;1;01;76;08;76;710,442847957064
3267778;1;4;2;1;1;1;1;1;3;3; ; ; ; ;470000;2;2;1;1;2;1;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;3;2;2; ;3;1;2;1;4;1;1;1;1;1;3;3;1;01;76;08;76;996,761007663588
3267779;1;1;1;1;1;1;1;1;3;3; ; ; ; ;550000;1;2;1;1;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;1;2;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;3;3;1;01;76;08;76;979,461382861536
3267780;1;1;1;1;1;1;1;1;4;3; ; ; ; ;330000;2;2;1;1;2;1;2;2;1;1;2;2;2;2;1;2;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;2;1;1;1;3;3;1;01;76;08;76;908,896844013626
3267781;1;3;2;1;1;1;1;1;4;3; ; ; ; ;350000;2;2;1;1;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2; ;4;1;2;1;4;1;2;1;1;1;3;3;1;01;76;08;76;1077,90520392929
3267808;1;5;1;1;1;1;1;1;3;3; ; ; ; ;380000;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1;1;2;1;1;1;1;2;1;3;1;1;1;1;1;3;2;1;01;17;08;17;140,309588428077
3267809;1;5;2;1;1;1;1;1;3;1; ; ;120000000;400000; ;1;2;1;2;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;2;1;3;2;2; ;3;1;2;1;4;1;1;1;1;1;3;2;1;01;17;08;17;181,187372834679
3267812;1;2;2;1;1;1;1;1;3;3; ; ; ; ;250000;2;2;1;2;2;1;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;3;2;1;01;17;08;17;157,391683700442
3267813;1;5;3;1;1;1;1;1;3;4; ; ; ;350000; ;2;1;1;2;1;1;1;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;4;1;2;1;3;1;1;1;1;1;3;2;1;01;17;08;17;171,973773670173
