Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3362068;1;1;1;70;2;12;44;1; ;2;20;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;62;01;1;1;0117;12;73;4020,89352416191
3362107;1;2;1;70;2;4;48;1; ;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;12;73;4588,27182917978
3362134;1;2;1;70;2;3;48;1; ;2;4;1; ;1;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2;55;53;01;1;1;0121;12;73;4985,74959410332
3363011;1;6;1;70;2;4;48;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;74;1;1;7493;12;18;521,675103252247
3363052;1;2;1;70;2;4;40;4; ;2;4;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;12;18;720,410916172965
3363234;1;1;1;70;2;12;48;5; ;2;24;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;51;53;55;1;1;5522;12;73;1138,5776141602
3363297;1;2;1;70;2;4;48;1; ;2;36;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;55;74;1;1;7493;12;73;987,435237558926
3363297;1;3;1;70;2;2;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;1; ;12;73;987,435237558926
3363602;1;3;1;70;2;1;48;1; ;2;1;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;62;62;01;1;1;0115;12;05;4747,33485206808
3363610;1;2;1;70;2;2;48;1; ;2;16;1; ;3;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;12;05;2770,17935055762
3363629;1;4;1;70;2;20;48;1; ;2;999;8; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;62;01;1;2;0115;12;05;1567,89075631561
3363668;1;2;1;70;2;12;48;1; ;2;96;3; ;1;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2;53;54;95;1;1;9500;12;68;1298,14930504044
3364062;1;3;1;70;2;1;24;8; ;2;4;6; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0111;12;05;2170,67970571765
3364169;1;2;1;70;2;8;48;8; ;2;8;1; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;60;92;1;1;9249;12;05;2149,63564791758
3364205;1;3;1;70;2;8;48;4; ;2;8;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;51;79;18;1;1;1810;12;05;1915,96449622191
3364216;1;2;1;70;2;12;48;1; ;2;144;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;59;52;1;1;5239;12;05;3647,57563224884
3364218;1;4;1;70;2;12;48;1; ;2;12;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;39;01;1;1;0112;12;05;2703,73784877667
3364220;1;4;1;70;2;12;48;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;55;1;1;5529;12;05;1567,89075631561
3364221;1;1;1;70;2;4;48;1; ;2;4;1; ;9;3; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;58;90;25;1;1;2529;12;05;1245,72591868269
3364818;1;2;1;70;2;2;40;4; ;2;4;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;85;1;1;8532;12;47;1410,85649469246
3364861;1;2;1;70;2;6;48;1; ;2;208;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;1;9500;12;47;1409,60683093391
3364963;1;3;1;70;2;1;54;1; ;2;1;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;1;589000;2;53;55;85;1;1;8532;12;66;890,544439726826
3364965;1;1;1;70;2;48;54;3; ;2;5;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;61;01;1;2;0111;12;66;1234,81233057536
3364976;1;2;1;70;2;42;45;3; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;12;66;954,222796466868
3364989;1;2;1;70;2;12;54;1; ;2;6;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;1;9500;12;66;864,617095643214
3364993;1;3;1;70;2;52;54;1; ;2;52;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5219;12;66;1167,31462572028
3365007;1;3;1;70;2;54;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;2; ;12;66;717,987242098151
3365024;1;1;1;70;2;16;48;1; ;2;16;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;2;9500;12;66;824,617253056302
3365034;1;3;1;70;2;4;50;8; ;2;12;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0111;12;66;1058,88028442908
3365069;1;1;1;70;2;3;50;8; ;2;3;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;240000;2;62;62;01;1;1;0111;12;66;999,629179533878
3365077;1;1;1;70;2;3;12;3; ;2;200;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;25000;2;54;55;85;1;1;8512;12;66;1461,02779915477
3365079;1;1;1;70;2;4;40;8; ;2;4;8; ;2;1; ; ; ; ; ; ; ; ;1; ;YA ES PENSIONADO;1;80000;2;62;62;01;1;1;0116;12;66;886,191022358152
