Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Mes;Dpto;Fex_c_2011
3144124;1;3;2;3;1;1;1;1;4;3; ; ; ; ;170000;2;2;1;2;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;4;1;2;1;2;1;2;2;1;1;2;3;1;01;2;02;63;5005,84988466882
3144125;1;4;3;3;1;1;1;1;4;3; ; ; ; ;220000;1;2;1;2;1;1;2;2;1;1;2;1;2;2;1;1;1;1;1;2;1;1;4;2;2; ;5;1;2;1;4;1;2;2;1;1;2;3;1;01;2;02;63;3521,94919575317
3144126;1;5;3;3;1;1;1;1;4;5; ; ; ;200000; ;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;2;1;2;2;1;2;2;2; ;6;1;2;1;4;1;2;2;1;1;2;3;1;01;2;02;63;1866,17680527397
3144141;1;4;3;1;1;1;1;1;4;5; ; ; ;200000; ;2;2;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;3;2;2; ;4;1;1;4;3;1;2;1;1;1;1;3;1;01;2;02;63;2324,32520217715
3144142;1;3;1;3;1;1;1;1;4;1; ; ;4000000;200000; ;1;2;1;1;1;2;2;2;2;1;2;1;2;2;1;1;1;1;1;2;2;1;2;2;2; ;2;1;2;1;4;1;2;2;1;1;2;3;1;01;2;02;63;3781,39480969705
3144143;1;5;2;3;1;1;1;1;4;1; ; ;98;300000; ;1;2;1;1;1;1;2;2;2;1;2;1;2;2;1;1;1;1;1;2;2;1;3;2;2; ;3;1;2;1;4;1;2;2;1;1;2;3;1;01;2;02;63;2933,9471637818
3144144;1;3;1;3;1;1;1;1;4;4; ; ; ;120000; ;2;2;1;1;1;2;2;2;2;1;2;1;2;2;1;1;1;1;1;2;2;1;1;2;2; ;1;1;1;1;2;1;2;2;1;1;2;3;1;01;2;02;63;3222,6630575868
3144145;1;5;2;1;1;1;1;1;4;5; ; ; ;200000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;2;1;4;1;2;1;1;1;1;3;1;01;2;02;63;3297,14936148311
3144146;1;2;1;1;1;1;1;1;4;3; ; ; ; ;120000;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;3;1;2;1;4;1;2;1;1;1;2;3;1;01;2;02;63;3982,6210765989
3144147;1;1;1;3;1;1;1;6; ;4; ; ; ;80000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;1;2;1;2;1;2;2;1;1;1;3;1;01;2;02;63;3806,83991444425
3144148;1;3;2;3;1;1;1;1;4;3; ; ; ; ;170000;2;2;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;1;2;2;2; ;3;1;2;1;2;1;2;2;1;1;2;3;1;01;2;02;63;2281,49363038135
3144149;1;3;2;3;1;1;1;1;4;3; ; ; ; ;180000;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;2;1;4;1;2;2;1;1;2;3;1;01;2;02;63;3008,43346767811
3144521;1;3;2;3;1;1;1;3;4;5; ; ; ;200000; ;2;2;1;2;1;2;2;2;2;1;1;2;2;2;2;1;1;2;1;2;2;1;4;2;2; ;5;1;1;1;2;1;2;2;1;1;2;3;1;01;2;02;63;3525,94793747544
3144522;1;3;2;3;1;1;1;1;4;4; ; ; ;180000; ;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;4;2;2; ;5;1;2;1;4;1;2;2;1;1;2;3;1;01;2;02;63;3322,08637846616
3144523;1;3;2;3;1;1;1;1;4;5; ; ; ;150000; ;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;5;2;2; ;5;1;2;1;2;1;2;2;1;1;2;3;1;01;2;02;63;2646,20606703053
3147054;1;3;1;3;1;1;1;6; ;5; ; ; ;120000; ;2;2;1;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;1;4;4;1;2;2;1;1;2;3;1;01;2;02;63;4054,23447540131
3148583;1;3;1;2;1;4;1;1;5;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;2;1;1;1;3;1;2;2;2;1;1; ;1;01;2;02;63;2959,39226852899
3148584;1;3;2;2;1;4;1;1;4;4; ; ; ;150000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;4;2;1;2;2;2;1;1; ;1;01;2;02;63;3203,42758019292
3148585;1;3;2;2;1;4;1;1;5;4; ; ; ;150000; ;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;1;1;1;2;2;2;1;2;2;2; ;5;1;1;1;2;1;1;2;2;1;1; ;1;01;2;02;63;3309,46240786828
3148586;1;5;2;2;1;4;1;1;5;4; ; ; ;200000; ;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;3;1;1;1;2;1;2;2;2;1;1; ;1;01;2;02;63;3755,94970494986
3148587;1;4;2;2;1;5;1;1;5;4; ; ; ;150000; ;2;2;1;1;1;2;2;2;2;2;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2; ;3;1;1;1;4;1;2;2;2;1;2; ;1;01;2;02;63;3982,6210765989
3148588;1;5;4;1;1;4;1;1;5;4; ; ; ;400000; ;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;2;2;2; ;7;1;1;1;4;1;1;1;2;1;1; ;1;01;2;02;63;3528,05261478502
3148589;1;3;1;2;1;4;1;1;5;4; ; ; ;98; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;2;1;1;1;2;1;2;2;2;1;1; ;1;01;2;02;63;2959,39226852899
