Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011;Area
3246647;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;17;145,443802554383;17
3246647;1;2;1;80;1;1;3;8; ;1;1;2; ; ; ; ;9;2;1;07;17;145,443802554383;17
3246647;1;3;1;80;1;1;2;3; ;1;2;2; ; ; ; ;9;2;1;07;17;145,443802554383;17
3246647;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;145,443802554383;17
3246648;1;2;1;80;1;1;2;3; ;2; ;2; ; ; ; ;9;2;1;07;17;177,863164872192;17
3246649;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;07;17;201,365308849421;17
3246652;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;162,191172060819;17
3246652;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;162,191172060819;17
3246653;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;129,030264574589;17
3246657;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;219,215314763525;17
3246657;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;219,215314763525;17
3246659;1;3;1;80;1;1;1;8; ;2; ;2; ; ; ; ;2;2;1;07;17;172,099368545418;17
3246660;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;123,8873746797;17
3246660;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;123,8873746797;17
3246660;1;3;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;17;123,8873746797;17
3246661;1;2;1;80;1;1;1;8; ;2; ;1;4000000; ; ; ;9;2;1;07;17;174,709742858385;17
3246663;1;1;1;80;1;1;4;7; ;3; ;2; ; ;4; ;5;1;1;07;17;191,457112364822;17
3246663;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;191,457112364822;17
3246664;1;1;1;80;1;1;4;6; ;1;2;2; ; ; ; ;9;2;1;07;17;320,90227431067;17
3246667;2;1;2;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;07;17;244,250064944427;17
3246668;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;160,451137155335;17
3246672;1;5;1;80;1;2; ; ; ;2; ;1;20000;2; ;.; ; ;1;07;17;177,081334905097;17
3246673;1;1;1;80;1;1;4;8; ;3; ;2; ; ; ; ;11;2;1;07;17;160,484238224528;17
3246673;1;2;1;80;1;1;4;7; ;2; ;2; ; ; ; ;9;2;1;07;17;160,484238224528;17
3246674;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;17;201,365308849421;17
3246675;1;4;1;80;1;1;3;2; ;2; ;2; ; ; ; ;2;2;1;07;17;224,631992274689;17
3246679;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;41;287,355965844959;41
3246679;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;41;287,355965844959;41
3246679;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;41;287,355965844959;41
3246681;1;2;1;80;1;1;1;9;SENRTENCIA DE 12 MESES EN HOGARES CLARET;2; ;2; ; ; ;SENTENCIA EN HOGAR CLARET;12;2;1;07;41;198,975548349393;41
3246681;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;41;198,975548349393;41
3246681;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;41;198,975548349393;41
3246682;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;41;119,283684135422;41
3246682;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;41;119,283684135422;41
3246683;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;41;99,705820260396;41
3246683;1;2;1;80;1;1;4;5; ;3; ;2; ; ; ; ;4;2;1;07;41;99,705820260396;41
3246683;1;3;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;41;99,705820260396;41
3246685;1;1;1;80;1;1;3;5; ;3; ;2; ; ; ; ;10;2;1;07;15;114,479974719969;15
3246685;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;15;114,479974719969;15
3246687;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;15;89,6179507344866;15
3246688;1;1;1;80;1;1;3;5; ;3; ;2; ; ; ; ;10;2;1;07;15;85,1269944835849;15
3246688;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;15;85,1269944835849;15
3246688;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;15;85,1269944835849;15
3246688;1;4;1;80;1;1;1;1; ;2; ;2; ; ;1; ;2;1;1;07;15;85,1269944835849;15
3246688;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;15;85,1269944835849;15
3246689;1;1;1;80;1;2; ; ; ;3; ;2; ;2; ;.; ; ;1;07;15;112,47362788099;15
3246691;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;15;94,3786238068172;15
3246693;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;11;2;1;07;15;103,367706091043;15
