Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3167939;1;2;1;70;2;4;48;1; ;2;4;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;1;330000;2;97;97;52;1;1;5211;03;63;1579,483601141
3167940;1;1;1;70;2;200;48;4; ;2;8;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;70000;2;61;95;45;1;2;4521;03;63;1553,71332187066
3167969;1;6;1;70;2;24;48;4; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;2;0116;03;63;1301,4171032663
3169204;1;2;1;70;2;52;30;3; ;2;52;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;03;47;1748,02481546672
3169244;1;3;1;70;2;4;40;1; ;2;4;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;280000;2;97;45;52;1;1;5211;03;47;1586,89080109359
3169333;1;3;1;70;2;10;48;8; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;62; ; ;1;1; ;03;47;1086,9096323905
3169369;1;1;1;70;2;18;40;4; ;2;78;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;2;8511;03;47;1065,67856821024
3169374;1;1;1;70;2;12;40;8; ;2;12;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;61;01;1;1;0140;03;47;886,870905706948
3169378;1;3;1;70;2;4;40;4; ;2;4;8; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;62;01;1;1;0121;03;47;1227,46637396771
3169397;1;2;1;70;2;4;40;1; ;2;4;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;62;62;01;1;1;0113;03;47;2124,57967562027
3172412;1;3;1;70;2;2;12;8; ;2;2;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;6000;2;62;62;01;1;1;0121;03;73;1194,56920735603
3172429;1;3;1;70;2;3;65;1; ;2;11;3; ;1;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;1;9500;03;73;1442,68272820358
