Directorio;Secuencia_p;Orden;Hogar;Regis;P7495;P7500;P7500s1;P7500s2;P7500s3a1;P7500s2a1;P7500s1a1;P7500s3;P7505;P7510s3;P7510s6;P7510s2a1;P7510s6a1;P7510s5a1;P7510s3a1;P7510s1a1;P7510s5;P7510s1;P7510s2;P7510s7a1;P7510s7;P750s1;P750s1a1;P750s2;P750s2a1;P750s3;P750s3a1;P750s4;Area;Mes;Dpto;Fex_c_2011
3310576;1;1;1;95;1; ;2;1; ;1900000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;188,055295473917
3310576;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;188,055295473917
3310576;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;188,055295473917
3310576;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;188,055295473917
3310577;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;1140000; ;2;2;2; ;2; ; ;1;1140000; ; ; ;17;10;17;202,285747750444
3310577;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;202,285747750444
3310578;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;168,609424050447
3310578;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;168,609424050447
3310578;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;168,609424050447
3310578;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;168,609424050447
3310578;1;5;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;900000; ;2;2;2; ;2; ; ;1;900000; ; ; ;17;10;17;168,609424050447
3310579;1;1;1;95;1; ;1;2; ; ;200000;2;1;1;2; ; ; ;900000; ;2;2;2; ;2; ; ;1;900000; ; ; ;17;10;17;184,074993976875
3310580;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;184,618711658389
3310580;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;184,618711658389
3310580;1;3;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;780000;1; ; ; ; ; ; ; ;17;10;17;184,618711658389
3310580;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;184,618711658389
3310581;1;1;1;95;1; ;1;2; ; ;150000;2;1;2;2; ; ; ; ;900000;2;1;2; ;2; ; ; ; ; ; ; ;17;10;17;212,10528266115
3310581;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;212,10528266115
3310582;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;720000; ;2;2;2; ;2; ; ;1;720000; ; ; ;17;10;17;159,167311324612
3310582;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;159,167311324612
3310582;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;159,167311324612
3310582;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;159,167311324612
3310583;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;184,048635249073
3310584;1;1;1;95;1; ;2;1; ;589500; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;185,305642329958
3310584;1;2;1;95;1; ;2;1; ;589500; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;185,305642329958
3310585;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;169,269995994214
3310585;1;2;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;360000; ;2;2;2; ;2; ; ;1;360000; ; ; ;17;10;17;169,269995994214
3310585;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;10;17;169,269995994214
