Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3289435;1;1;1;80;17;1;2;8; ;2; ;2; ; ; ; ;9;2;1;09;17;158,024428409838
3289435;1;4;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;158,024428409838
3289435;1;5;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;17;158,024428409838
3289436;1;1;1;80;17;1;4;8; ;2; ;2; ; ; ; ;8;2;1;09;17;187,583072479539
3289437;1;2;1;80;17;1;4;8; ;2; ;2; ; ;4; ;8;1;1;09;17;185,279147955317
3289437;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;185,279147955317
3289439;1;1;1;80;17;1;2;5; ;3; ;2; ; ; ; ;11;2;1;09;17;176,338516626234
3289439;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;176,338516626234
3289441;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;11;2;1;09;17;156,322329095424
3289442;1;2;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;17;124,231250655698
3289444;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;4;2;1;09;17;146,124333321572
3289444;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;146,124333321572
3289445;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;129,515581945384
3289445;1;3;1;80;17;1;2;3; ;2; ;2; ; ; ; ;9;2;1;09;17;129,515581945384
3289446;1;4;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;169,219854086091
3289447;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;4;2;1;09;17;134,429246429549
3289447;1;2;1;80;17;1;4;5; ;3; ;2; ; ; ; ;9;2;1;09;17;134,429246429549
3289451;1;2;1;80;17;1;1;7; ;2; ;2; ; ; ; ;2;2;1;09;17;117,086959588064
3289451;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;117,086959588064
3289457;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;09;17;197,78106825339
3289458;1;2;1;80;17;2; ; ; ;2; ;2; ;1;2; ;2; ;1;09;17;107,964833470201
3289460;1;1;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;17;127,761114928125
3289460;1;3;1;80;17;1;1;5; ;3; ;2; ; ; ; ;4;2;1;09;17;127,761114928125
3289464;1;1;1;80;17;1;3;5; ;3; ;2; ; ; ; ;10;2;1;09;17;162,886404073673
3289468;1;1;1;80;17;1;3;8; ;2; ;2; ; ; ; ;11;2;1;09;17;156,322329095424
3289469;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;173,353436097463
3289470;1;5;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;73;249,041486865768
3289471;1;2;1;80;73;1;1;6; ;2; ;2; ; ; ;EL ESPOSO NO LA DEJA TRABAJAR;12;2;1;09;73;358,732173644915
3289476;1;2;1;80;73;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;73;238,550035379665
3289477;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;204,146189747821
3289477;2;2;2;80;73;1;1;2; ;2; ;2; ; ; ; ;2;2;1;09;73;204,146189747821
3289477;2;3;2;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;73;204,146189747821
3289478;1;1;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;260,315642885993
3289479;1;1;1;80;73;1;4;6; ;3; ;2; ; ; ; ;10;2;1;09;73;178,325259206475
3289480;1;2;1;80;73;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;73;214,65535078224
3289484;1;1;1;80;73;1;3;3; ;2; ;2; ; ; ; ;9;2;1;09;73;474,501686391302
3289484;1;2;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;73;474,501686391302
3289484;1;3;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;73;474,501686391302
3289485;1;2;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;404,06074489164
3289486;1;3;1;80;73;1;1;8; ;2; ;2; ; ; ; ;2;2;1;09;73;227,927946432463
3289488;1;3;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;73;669,67497809498
3289489;1;2;1;80;73;1;4;7; ;2; ;2; ; ; ; ;9;2;1;09;73;425,886224246325
3289489;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;73;425,886224246325
3289489;1;4;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;73;425,886224246325
3289491;1;1;1;80;73;1;4;4; ;3; ;2; ; ; ; ;10;2;1;09;73;413,981222509237
3289509;1;1;1;80;76;1;4;5; ;3; ;2; ; ; ; ;10;2;1;09;76;767,837372260113
3289510;1;1;1;80;76;1;4;7; ;3; ;2; ; ; ; ;10;2;1;09;76;1176,56536325115
3289518;1;4;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;76;1306,92044261254
3289519;1;2;1;80;76;1;2;3; ;2; ;2; ; ; ; ;9;2;1;09;76;1109,55721899482
3289521;1;1;1;80;76;1;3;9;ESTABA CANSADA DE TRABAJAR;3; ;2; ; ; ; ;11;2;1;09;76;860,143812327875
3289522;1;3;1;80;76;1;1;8; ;2; ;1;45000; ; ;NO TIENE CEDULA;12;2;1;09;76;1026,08387255997
3289523;1;4;1;80;76;1;4;9;LOS HIJOS LO HICIERON RETIRAR;2; ;2; ; ; ; ;4;2;1;09;76;1034,71497225824
3289526;1;1;1;80;76;1;4;7; ;2; ;2; ; ; ; ;11;2;1;09;76;860,143812327875
3289573;1;1;1;80;66;1;4;7; ;2; ;2; ; ; ; ;4;2;1;09;66;317,914481232292
3289573;1;3;1;80;66;1;1;8; ;2; ;2; ; ; ; ;2;2;1;09;66;317,914481232292
3289574;1;2;1;80;66;1;4;4; ;2; ;2; ; ; ; ;4;2;1;09;66;306,231537097207
3289575;1;2;1;80;66;1;1;2; ;2; ;2; ; ; ; ;2;2;1;09;66;337,909388762834
3289577;1;2;1;80;66;1;2;2; ;2; ;2; ; ; ; ;2;2;1;09;66;291,414697785369
3289577;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;66;291,414697785369
3289579;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;66;325,099690501134
3289579;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;66;325,099690501134
3289580;1;1;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;09;66;250,369281293444
3289580;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;66;250,369281293444
3289581;1;3;1;80;66;1;3;2; ;2; ;2; ; ; ; ;2;2;1;09;66;344,793655633641
3289581;1;5;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;66;344,793655633641
3289582;1;1;1;80;66;1;3;4; ;2; ;2; ; ; ; ;4;2;1;09;66;293,743998714184
3289583;1;1;1;80;66;1;4;3; ;2; ;2; ; ; ; ;8;2;1;09;66;235,244203722955
3289585;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;66;254,112357126882
3289586;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;66;244,579562616328
3289586;1;4;1;80;66;1;4;3; ;2; ;2; ; ; ; ;8;2;1;09;66;244,579562616328
3289588;1;2;1;80;66;1;3;3; ;2; ;2; ; ; ; ;9;2;1;09;66;288,317840148239
3289589;1;1;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;66;148,79571127951
3289589;1;2;1;80;66;1;4;4; ;2; ;2; ; ; ; ;4;2;1;09;66;148,79571127951
3289590;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;66;317,914481232292
3289593;1;1;1;80;52;1;4;4; ;2; ;2; ; ; ; ;8;2;1;09;52;137,483779150218
3289593;1;4;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;52;137,483779150218
3289598;1;2;1;80;52;1;2;1; ;2; ;2; ; ;1; ;9;1;1;09;52;168,725774007577
3289598;1;5;1;80;52;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;52;168,725774007577
3289600;1;3;1;80;52;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;52;193,079350757931
3289603;1;2;1;80;52;1;1;3; ;2; ;2; ; ; ; ;9;2;1;09;52;190,919110415533
3289607;1;1;1;80;52;1;1;2; ;2; ;2; ; ; ; ;2;2;1;09;52;183,21596611523
3289608;1;4;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;52;201,431320741842
3289608;1;5;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;52;201,431320741842
3289609;1;1;1;80;52;1;1;2; ;2; ;2; ; ;1; ;2;1;1;09;52;170,517569779197
3289611;1;3;1;80;50;1;4;8; ;2; ;2; ; ; ; ;4;2;1;09;50;206,180768992401
3289612;1;3;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;50;193,823186901049
3289612;1;4;1;80;50;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;50;193,823186901049
3289613;1;1;1;80;50;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;50;295,90484619712
3289615;1;2;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;50;214,906268749708
3289615;1;3;1;80;50;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;50;214,906268749708
3289615;1;4;1;80;50;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;50;214,906268749708
3289617;2;1;2;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;50;217,42590664043
3289630;1;1;1;80;17;1;1;5; ;3; ;2; ; ; ; ;10;2;1;09;17;195,953303295378
3289630;1;2;1;80;17;1;1;5; ;3; ;2; ; ; ; ;10;2;1;09;17;195,953303295378
3289630;1;4;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;17;195,953303295378
3289632;1;4;1;80;17;1;1;8; ;2; ;2; ; ; ;POR NO TENER EL BACHILLERATO;12;2;1;09;17;181,402941843033
3289633;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;09;17;156,322329095424
3289634;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;121,197039949875
3289635;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;11;2;1;09;17;89,1077058806491
3289635;1;2;1;80;17;2; ; ; ;2; ;2; ;1;1; ;1; ;1;09;17;89,1077058806491
3289635;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;89,1077058806491
3289636;1;1;1;80;17;1;1;8; ;1;4;1;480000; ; ; ;4;2;1;09;17;146,124333321572
3289636;1;2;1;80;17;1;4;4; ;2; ;2; ; ; ; ;4;2;1;09;17;146,124333321572
3289637;1;5;1;80;17;1;2;4; ;2; ;2; ; ; ; ;4;2;1;09;17;208,087260875268
3289638;1;2;1;80;17;1;4;1; ;2; ;2; ; ;4; ;8;1;1;09;17;215,042800221261
3289638;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;215,042800221261
3289640;1;1;1;80;17;1;4;7; ;2; ;2; ; ;1; ;9;1;1;09;17;222,161462761404
3289640;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;222,161462761404
3289642;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;168,170735363359
3289643;1;3;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;17;149,654197593999
3289646;1;1;1;80;17;1;1;9;DE  VIAJE;2; ;2; ; ; ;DE VIAJE;12;2;1;09;17;108,195458436032
3289646;1;2;1;80;17;1;1;8; ;2; ;2; ; ; ; ;2;2;1;09;17;108,195458436032
3289647;1;3;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;17;168,170735363359
3289648;1;2;1;80;17;1;1;8; ;2; ;2; ; ;1; ;2;1;1;09;17;120,364589774237
3289648;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;120,364589774237
3289648;1;4;1;80;17;2; ; ; ;2; ;2; ;1;1; ;2; ;1;09;17;120,364589774237
3289648;1;5;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;120,364589774237
3289648;1;6;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;120,364589774237
3289650;1;1;1;80;17;1;3;2; ;2; ;2; ; ; ; ;2;2;1;09;17;143,09012261575
3289652;1;3;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;17;233,559337990621
3289653;1;3;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;17;185,279147955317
3289654;1;1;1;80;17;1;1;8; ;1;2;2; ; ; ; ;8;2;1;09;17;117,086959588064
3289654;1;2;1;80;17;1;1;2; ;1;1;2; ; ; ; ;2;2;1;09;17;117,086959588064
3289654;1;3;1;80;17;1;1;8; ;2; ;2; ; ; ; ;2;2;1;09;17;117,086959588064
3289655;1;3;1;80;17;2; ; ; ;2; ;2; ;1;2; ;9; ;1;09;17;139,456201820148
3289655;1;4;1;80;17;1;4;5; ;3; ;2; ; ; ; ;4;2;1;09;17;139,456201820148
3289656;1;1;1;80;17;1;4;8; ;2; ;2; ; ; ; ;8;2;1;09;17;156,322329095424
3289657;1;2;1;80;17;1;3;7; ;2; ;2; ; ; ; ;4;2;1;09;17;133,122751807729
3289660;1;1;1;80;17;1;3;4; ;2; ;2; ; ; ; ;4;2;1;09;17;142,014252959761
3289661;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;130,088541101907
3289663;1;3;1;80;17;1;1;2; ;2; ;2; ; ; ; ;2;2;1;09;17;215,042800221261
3289685;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;66;246,927147858041
3289686;1;1;1;80;66;2; ; ; ;3; ;2; ;2; ;.; ; ;1;09;66;235,244203722955
3289687;1;2;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;66;326,65749792467
3289688;1;1;1;80;66;1;4;4; ;2; ;2; ; ; ; ;4;2;1;09;66;203,552430437301
3289688;1;2;1;80;66;1;4;4; ;2; ;2; ; ; ; ;4;2;1;09;66;203,552430437301
3289688;1;3;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;09;66;203,552430437301
3289689;1;1;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;66;391,124124539285
3289689;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;66;391,124124539285
3289690;1;2;1;80;66;1;4;8; ;2; ;2; ; ; ; ;1;2;1;09;66;245,8715464272
3289691;1;1;1;80;66;1;3;4; ;2; ;2; ; ; ; ;4;2;1;09;66;235,244203722955
3289692;1;1;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;09;66;238,686337158358
3289693;1;2;1;80;66;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;66;313,416746366048
3289694;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;66;238,686337158358
3289696;1;1;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;66;235,244203722955
3289697;1;2;1;80;66;1;4;4; ;2; ;2; ; ; ; ;4;2;1;09;66;227,917895102947
3289761;1;1;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;76;740,569549676715
3289762;1;6;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;76;1091,62315473656
3289763;1;1;1;80;76;1;4;5; ;3; ;2; ; ; ; ;10;2;1;09;76;945,150040743474
3289764;1;3;1;80;76;1;3;7; ;2; ;1;113000; ;1; ;2;1;1;09;76;1053,35169514337
3289766;1;1;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;76;718,242971492155
3289767;1;5;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;76;920,334397783365
3289768;1;2;1;80;76;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;76;812,569388174688
3289768;1;3;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;76;812,569388174688
3289769;1;3;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;76;1369,2175515439
3289770;1;1;1;80;76;1;4;7; ;3; ;2; ; ; ; ;9;2;1;09;76;506,129542342708
3289770;1;2;1;80;76;1;4;4; ;2; ;2; ; ; ; ;4;2;1;09;76;506,129542342708
3289773;1;2;1;80;76;1;4;6; ;2; ;2; ; ; ; ;8;2;1;09;76;679,552090814685
3289773;1;4;1;80;76;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;76;679,552090814685
3289774;1;1;1;80;76;1;4;9;NO TUVO NECESIDAD DE TRABAJAR MAS;2; ;2; ; ; ; ;8;2;1;09;76;506,129542342708
3289776;1;3;1;80;76;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;76;1026,08387255997
3289808;1;1;1;80;73;1;4;4; ;2; ;2; ; ; ; ;8;2;1;09;73;643,966052346721
3289808;1;2;1;80;73;1;4;3; ;2; ;2; ; ; ; ;4;2;1;09;73;643,966052346721
3289811;1;2;1;80;73;1;1;8; ;2; ;2; ; ; ; ;2;2;1;09;73;788,221166340454
3289813;2;2;2;80;73;1;1;7; ;2; ;2; ; ;1; ;9;1;1;09;73;700,417256696593
3289814;1;2;1;80;73;1;2;3; ;2; ;2; ; ; ; ;9;2;1;09;73;677,965322098336
3289815;1;2;1;80;73;1;1;8; ; ; ;2; ; ; ; ;2;2;1;09;73;1062,55494393354
3289815;1;3;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;73;1062,55494393354
3289825;1;3;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;68;319,306636335501
3289825;1;4;1;80;68;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;68;319,306636335501
3289828;1;3;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;68;444,706425037244
3289829;1;1;1;80;68;1;2;9;CAMBIO DE RESIDENCIA;2; ;2; ; ; ; ;2;2;1;09;68;374,103039798224
3289829;1;3;1;80;68;1;1;2; ;2; ;2; ; ; ; ;2;2;1;09;68;374,103039798224
3289829;1;4;1;80;68;1;1;2; ;2; ;2; ; ; ; ;2;2;1;09;68;374,103039798224
3289830;1;3;1;80;68;1;3;4; ;2; ;2; ; ; ; ;4;2;1;09;68;494,358924110095
3289832;1;2;1;80;68;1;4;7; ;2; ;2; ; ; ; ;9;2;1;09;68;464,682789904841
3289833;1;3;1;80;68;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;68;429,997739824136
3289834;1;2;1;80;68;1;4;7; ;2; ;2; ; ;1; ;9;1;1;09;68;469,882552496945
3289835;1;1;1;80;68;1;4;5; ;3; ;2; ; ; ; ;8;2;1;09;68;430,831498633002
3289837;1;2;1;80;68;1;2;5; ;3; ;2; ; ; ; ;8;2;1;09;68;601,856451894862
3289838;1;1;1;80;68;1;4;5; ;3; ;2; ; ; ; ;4;2;1;09;68;567,683338349015
3289838;1;2;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;68;567,683338349015
3289841;1;3;1;80;68;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;68;834,535649504157
3289843;1;2;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;68;880,75406479142
3289843;1;3;1;80;68;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;68;880,75406479142
3289913;1;1;1;80;52;1;1;3; ;2; ;2; ; ; ; ;9;2;1;09;52;170,911960017301
3289927;1;2;1;80;52;1;3;2; ;2; ;2; ; ; ; ;2;2;1;09;52;174,43657310861
3289928;1;2;1;80;52;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;52;190,919110415533
3289929;1;1;1;80;52;1;4;5; ;3; ;2; ; ; ; ;10;2;1;09;52;177,955171972636
3289929;1;2;1;80;52;1;3;4; ;2; ;2; ; ; ; ;4;2;1;09;52;177,955171972636
3289931;1;3;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;52;217,924768171902
3289931;1;4;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;52;217,924768171902
3289932;1;3;1;80;52;1;1;2; ;2; ;2; ; ;1; ;2;1;1;09;52;193,079350757931
3289932;1;5;1;80;52;1;4;3; ;2; ;2; ; ; ; ;4;2;1;09;52;193,079350757931
3289935;1;3;1;80;52;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;52;231,478010553352
3289937;1;1;1;80;52;1;4;4; ;2; ;2; ; ; ; ;4;2;1;09;52;148,617253309689
3289937;1;2;1;80;52;1;4;4; ;2; ;2; ; ; ; ;4;2;1;09;52;148,617253309689
3289938;1;1;1;80;52;1;1;3; ;2; ;2; ; ; ; ;9;2;1;09;52;146,701505302683
3289939;1;2;1;80;52;1;4;7; ;2; ;2; ; ; ; ;4;2;1;09;52;148,617253309689
3289945;1;3;1;80;76;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;76;1258,47638252565
3289946;1;1;1;80;76;1;4;5; ;3; ;2; ; ; ; ;11;2;1;09;76;785,301565591291
