Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P6440;P6450;P6460;P6460s1;P6400;P6422;P6424;P6424s2;P6424s3;P6424s1;P6426;P6430s1;P6480;P6480s1;P6500;P6510;P6510s1;P6510s2;P6590;P6590s1;P6600;P6600s1;P6610;P6610s1;P6620;P6620s1;P6585;P6585s2a1;P6585s3a1;P6585s4a1;P6585s3a2;P6585s2a2;P6585s1a2;P6585s2;P6585s3;P6585s1a1;P6585s4;P6585s1;P6580;P6580s1;P6580s2;P6630;P6630s3;P6630s4a1;P6630s3a1;P6630s2a1;P6630s1a1;P6630s4;P6630s2;P6630s1;P6640;P6765;P6765s1;P6772;P6750;P6760;P550;P6780;P6780s1;P6790;P6410;P6640s1;P9440;P6630s6;P6630s6a1;P6410s1;P6545s1;P6545;P6545s2;P6585s4a2;P6773s1;P6775;P6772s1;P388;P6800;P6810;P6810s1;P6850;P6830;P6830s1;P6870;P6880;P6880s1;P6920;P6930;P6940;P6960;P6980;P6980s1;P6980s2;P6980s3;P6980s4;P6980s5;P6980s6;P6980s7;P6980s8;P6980s7a1;P6990;P7020;P7026;P7028;P7028s1;P7040;P7045;P7050;P7050s1;P7070;P760;P9450;P6915s1;P6915;P6773;P7075;P7077;P390;P7090;P7100;P7110;P7120;P7130;P7140;P7140s1;P7140s2;P7140s3;P7140s4;P7140s5;P7140s6;P7140s7;P7140s8;P7140s9;P7140s9a1;P7150;P7160;P7170;P7170s1;P7170s5;P7170s6;P7180;P7240;P7240s1;P514;P515;Oficio;Rama2d;Oci;P6430;Rama4d;Rama4dp8;Rama2dp8;Inglabo;Mes;Dpto;Fex_c_2011
3405429;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;480; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;280000;1;3360000;1; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;63;54; ;.;36;1; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;8; ;1;2;61;01;1;4;0111; ; ;280000;02;63;5621,25881514974
3405430;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;160000;1;2100000;1; ;7; ; ; ; ; ; ; ; ; ; ; ;3; ;63;25;1; ;3;6; ;1;4; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;11;4; ;2; ; ; ; ;5;2; ;2; ; ; ; ;1;20;1;1;1;1;1;1;2;1;2;2;2;2;2; ;1;1; ;2;2;2;2;8; ;2;1;59;93;1;4;9309; ; ;160000;02;63;4014,06484142137
3405432;1;1;1;60;2;1;2;1; ;2;1; ;1;1;1;60; ;2; ;616000;2; ; ;2; ;2; ;2; ;2; ; ;72000;60000; ;2;2; ;1;1; ;2;2;2; ; ; ;2; ; ;295000;295000;2;1;1;2; ;.; ; ; ; ; ;.;12;4; ;2;2; ;SERVI CIO DE  VIGILANCIA APRAS; ;2; ; ; ; ; ;63;120; ;.;120; ; ;9;8; ;1;1;1;10;1;1; ; ; ; ; ; ; ; ;1;1;18;1; ;2; ; ; ; ;0;1; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;2;5; ;1;2;58;64;1;1;6421;7492;74;616000;02;63;3873,20386591092
3405433;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;144; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;300000;1;3600000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;63;54; ;.;54; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;24;4; ;2; ; ; ; ;0;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;8; ;1;1;61;01;1;4;0111; ; ;300000;02;63;2402,71634905586
3405433;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;132; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ; ; ; ; ; ;63;20;2; ;20; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;3; ;1;1;62;01;1;6;0111; ; ; ;02;63;2402,71634905586
3405434;1;1;1;60;2;1;2;2;99;1;1; ;2;2;2;36; ;1; ;480000;2; ; ;2; ;1;100000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;45; ;.;45; ; ;4;8; ;1;4;2;24;1; ;1; ; ; ; ; ; ; ;2;1;12;4; ;1;10;4; ;80000;1;2; ;2; ;2;1;63;2; ; ; ;1;1;2;1;2;2;2;2;2;2;2; ;2;2; ;1;2;1;2;8; ;1;1;60;01;1;1;0111; ; ;660000;02;63;3809,67790480218
3405434;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ; ; ; ; ; ;63;20;2; ;20; ; ;2;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;12;6; ;2; ; ; ; ;5;2; ;2; ; ; ; ;2; ; ; ;1;1;2;1;2;1;2;2;2;2;2; ;2;1; ;1;2;1;2;3; ;2;1;53;55;1;6;5529; ; ; ;02;63;3809,67790480218
3405434;1;3;1;60;2;2; ; ; ; ; ; ; ; ; ;48; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;300000;1;3600000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;63;45; ;.;45; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;3; ;2;1;61;01;1;4;0111; ; ;300000;02;63;3809,67790480218
3405435;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;300000;1;4656000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;63;54; ;.;54; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;96;8; ;2; ; ; ; ;0;2; ;10; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;5; ;1;2;63;02;1;4;0201; ; ;300000;02;63;1946,77417877736
3405435;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;20000;1;40000;1; ;2; ; ; ; ; ; ; ; ; ; ; ;3; ;63;40; ;.;40; ; ;2;6; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;108;6; ;2; ; ; ; ;12;2; ;5; ; ; ; ;2; ; ; ;1;1;2;2;2;1;2;2;2;2;2; ;2;1; ;2;2;2;2;3; ;2;1;53;55;1;4;5529; ; ;20000;02;63;1946,77417877736
