Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3417656;1;4;1;70;17;1;25;1; ;2;32;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;84;53;55;1;1;5521;03;17;177,080423609405
3417663;1;3;1;70;17;84;50;1; ;2;21;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;03;17;146,212156627963
3417669;1;1;1;70;17;12;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;1; ;03;17;169,249647744648
3417673;1;3;1;70;17;216;48;1; ;2;216;1; ;9;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;38;64;1;2;6421;03;17;194,8890373615
3417687;1;2;1;70;17;156;48;1; ;2;60;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;45;50;1;2;5030;03;17;167,829579928119
3417719;1;1;1;70;76;8;48;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;93;45;1;1;4552;03;76;980,679659461758
3417721;1;2;1;70;76;24;48;1; ;2;24;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8060;03;76;919,172861780072
3417738;1;2;1;70;73;1;48;4; ;2;240;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;41;52;1;1;5233;03;73;294,574866049171
3417758;1;4;1;70;52;17;48;1; ;2;17;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4530;03;52;98,5313186813214
3417760;1;3;1;70;52;12;48;1; ;2;12;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;03;52;238,473834069222
3417767;1;1;1;70;52;33;30;4; ;2;33;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;41;52;1;2;5225;03;52;222,588924104932
3417767;1;2;1;70;52;14;48;1; ;2;14;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;87;45;51;1;2;5155;03;52;222,588924104932
3417773;1;1;1;70;52;52;48;1; ;2;17;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;03;52;183,927349678958
3417773;1;3;1;70;52;78;48;2; ;2;156;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;58;75;1;2;7524;03;52;183,927349678958
3417775;1;1;1;70;52;36;40;1; ;2;36;4; ;1;1; ; ;1; ; ; ; ; ;1; ;YA ES PENSIONADO;2; ;2;98;98;60;1;2;6042;03;52;191,519571166186
3417780;1;2;1;70;66;2;48;1; ;2;2;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;616000;2;45;39;64;1;1;6421;03;66;764,359707114398
3417784;1;5;1;70;66;13;48;4; ;2;13;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;1;6021;03;66;253,178163548082
3417788;1;1;1;70;66;8;48;2; ;2;12;4; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;59;85;1;1;8513;03;66;261,388737801144
3417791;1;1;1;70;66;12;48;4; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4552;03;66;847,061623158851
3417795;1;2;1;70;66;8;48;1; ;2;16;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;17;17;92;1;1;9214;03;66;264,23586549753
3417796;1;5;1;70;66;12;48;1; ;2;12;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;52;1;1;5211;03;66;226,623239549828
3417797;1;2;1;70;66;8;48;1; ;2;8;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;74;1;1;7492;03;66;267,343683706203
3417799;1;4;1;70;66;12;24;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;03;66;360,854170420056
3417805;1;2;1;70;66;6;24;1; ;2;6;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;19;19;85;1;1;8511;03;66;332,255816908821
3417812;1;1;1;70;50;6;48;1; ;2;6;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;03;50;160,584560550991
3417822;1;2;1;70;17;24;48;1; ;2;144;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;54;95;1;2;9500;03;17;186,58592412618
3417845;1;3;1;70;17;144;48;1; ;2;144;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;2;8511;03;17;130,675575618834
3417918;1;2;1;70;73;8;24;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;03;73;286,546341588273
3417918;1;6;1;70;73;4;24;3; ;2;112;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;55;1;1;5521;03;73;286,546341588273
3417963;1;1;1;70;73;258;48;1; ;2;576;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;02;10;1;2;1010;03;73;467,073115522463
3417965;1;2;1;70;73;48;55;4; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;03;73;295,712010505647
3418083;1;3;1;70;52;9;45;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;03;52;208,66441063549
3418093;1;1;1;70;52;8;42;3; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;55;74;1;1;7493;03;52;191,903771520159
