Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3572994;1;1;1;70;52;52;20;1; ;2;156;1; ;2;5; ; ; ; ; ; ; ; ;1; ;ESTA ESTUDIANDO;2; ;2;44;45;52;1;2;5233;10;52;107,384636547874
3573008;1;2;1;70;66;4;48;3; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;40000;2;54;55;74;1;1;7493;10;66;328,236852239788
3573009;1;2;1;70;66;104;48;1; ;2;52;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;60;45;52;1;2;5223;10;66;303,714820473732
3573022;1;1;1;70;17;84;24;1; ;2;250;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;2;9500;10;17;419,022209540674
3573022;1;2;1;70;17;4;48;1; ;2;52;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;82;52;1;1;5272;10;17;419,022209540674
3573024;1;2;1;70;17;8;48;1; ;2;8;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1;55;55;80;1;1;8050;10;17;143,131206453067
3573025;1;2;1;70;17;150;48;1; ;2;24;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;99;55;55;1;2;5521;10;17;235,483259018767
3573237;1;2;1;70;76;2;48;4; ;2;16;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;15;59;92;1;1;9219;10;76;1163,35325889147
3573239;1;4;1;70;76;4;48;2; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;1; ;10;76;1234,51431088338
3573251;1;4;1;70;76;36;60;1; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;57;93;1;2;9302;10;76;1168,1372813562
3573266;1;2;1;70;76;4;48;1; ;2;12;1; ;4;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;10;76;1095,58395201676
3573274;1;1;1;70;66;52;24;4; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;2;7493;10;66;293,478719169026
3573274;1;2;1;70;66;2;48;1; ;2;2;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;79;97;18;1;1;1810;10;66;293,478719169026
3573276;1;2;1;70;66;8;48;1; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;59;85;1;1;8519;10;66;298,945142712297
3573279;1;5;1;70;66;20;48;1; ;2;20;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5211;10;66;366,82875191717
3573282;1;1;1;70;66;2;48;1; ;2;2;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;360000;2;53;53;92;1;1;9249;10;66;310,893220424558
3573291;1;3;1;70;66;4;48;1; ;2;4;4; ;9;1; ; ; ;1; ; ; ; ; ; ; ;1;3600000;2;02;02;80;1;1;8060;10;66;264,974202109904
3573297;1;3;1;70;66;28;48;1; ;2;28;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;10;66;312,30566939663
3573302;1;4;1;70;66;100;48;1; ;2;100;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5235;10;66;306,779365525231
3573314;1;2;1;70;68;16;48;1; ;2;16;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;40;55;1;2;5530;10;68;926,114777349609
3573323;1;2;1;70;68;3;48;1; ;2;4;1; ;7;3; ; ; ; ; ; ; ; ; ;1; ;1;900000;2;59;59;85;1;1;8519;10;68;1224,69397767679
3573324;1;2;1;70;68;24;48;1; ;2;60;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;12;12;74;1;2;7411;10;68;887,180368154091
3573331;1;2;1;70;50;78;48;1; ;2;78;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;30;75;1;2;7512;10;50;165,938634666454
3573346;1;2;1;70;50;28;48;1; ;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;240000;2;59;45;52;1;2;5231;10;50;141,51152431277
3573349;1;1;1;70;50;36;48;3; ;2;8;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;10;50;343,825378901893
3573352;1;2;1;70;50;8;48;1; ;2;98;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;45;52;1;1;5233;10;50;155,649920904555
3573353;1;2;1;70;73;104;48;1; ;2;98;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;45;52;1;2;5233;10;73;214,525174211263
3573371;1;1;1;70;73;16;24;3; ;2;104;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;55;1;2;5529;10;73;340,319950611401
3573371;1;2;1;70;73;52;70;1; ;2;672;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;60;98;60;1;2;6042;10;73;340,319950611401
3573372;1;2;1;70;73;8;48;1; ;2;9;4; ;9;1; ; ; ;1; ; ; ; ; ; ; ;2; ;2;08;08;74;1;1;7413;10;73;207,473826100484
3573383;1;1;1;70;73;250;48;1; ;2;45;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;45;52;1;2;5231;10;73;254,490824120443
3573386;1;1;1;70;73;56;48;1; ;2;58;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;72;36;1;2;3691;10;73;344,026513903271
3573397;1;3;1;70;73;4;35;1; ;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;58;63;1;1;6331;10;73;316,957071521927
