Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3704584;1;4;1;70;1;104;48;2; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;12; ; ;1;2; ;04;47;86,6835820895484;47
3704585;1;2;1;70;1;26;30;1; ;2;64;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;04;47;139,722436787192;47
3704589;1;1;1;70;1;16;48;1; ;2;16;1; ;4;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1;11;33;74;1;2;7499;04;15;108,287067608053;15
3704590;1;2;1;70;1;3;24;3; ;2;3;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;40000;2;54;54;95;1;1;9500;04;15;94,3226020695098;15
3704595;1;2;1;70;1;8;40;1; ;2;365;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;44;63;1;1;6340;04;15;59,049109777889;15
3704608;1;2;1;70;1;12;24;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5522;04;17;195,139833093231;17
3704610;1;2;1;70;1;52;40;1; ;2;24;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;39;91;1;2;9192;04;17;131,715229838206;17
3704610;1;3;1;70;1;24;16;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;04;17;131,715229838206;17
3704617;1;1;1;70;1;8;48;1; ;2;8;1; ;7;2; ; ;1; ; ; ; ; ; ; ; ;2; ;2;39;39;75;1;1;7530;04;17;200,548259125586;17
3704622;1;1;1;70;1;1;33;4; ;2;4;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;95;95;45;1;1;4522;04;76;955,509827428221;76
3704631;1;1;1;70;1;3;70;4; ;2;1;4; ;1;1; ; ; ;1; ; ; ; ; ; ; ;1;650000;2;98;98;60;1;1;6021;04;76;957,84267875681;76
3704651;1;1;1;70;1;8;60;4; ;2;8;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;45;55;1;1;5529;04;66;241,975255410359;66
3704657;1;5;1;70;1;4;48;1; ;2;4;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;1;1600000;2;45;45;64;1;1;6421;04;66;203,341512304899;66
3704667;1;3;1;70;1;2;48;1; ;2;2;1; ;8;5; ; ;1; ; ; ; ; ; ; ; ;1;750000;2;45;45;52;1;1;5211;04;66;332,743920140858;66
3704668;1;1;1;70;1;53;48;2; ;2;24;1; ;9;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;85;1;2;8512;04;66;276,964228264975;66
3704697;1;1;1;70;1;8;48;1; ;2;52;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;04;50;111,878397016354;50
3704716;1;2;1;70;1;12;48;4; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;1; ;04;47;245,158751650637;47
3704731;1;2;1;70;1;8;48;1; ;2;52;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;53;55;1;1;5521;04;47;86,6835820895484;47
3704740;3;2;3;70;1;72;24;4; ;2;192;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;2;9500;04;47;266,582161540667;47
3704741;1;2;1;70;1;24;48;1; ;2;24;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5231;04;47;187,713506806578;47
3704763;1;1;1;70;1;4;40;4; ;2;4;4; ;9;7; ; ; ; ; ; ; ; ; ;1; ;1;1120000;2;38;38;74;1;1;7413;04;18;77,9801120663741;18
3704765;1;3;1;70;1;2;48;1; ;2;4;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;32;80;1;1;8060;04;18;74,669603326094;18
3704774;1;3;1;70;1;8;48;3; ;2;8;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;04;18;60,2430614355553;18
3704775;1;1;1;70;1;2;28;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;1;100000;2;41;54;74;1;1;7493;04;18;67,2162474953951;18
3704777;1;1;1;70;1;16;50;1; ;2;16;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;61;01;1;2;0121;04;18;84,8957726773814;18
3704777;1;3;1;70;1;4;54;1; ;2;2;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;1;360000;2;95;95;45;1;1;4521;04;18;84,8957726773814;18
3704779;1;2;1;70;1;104;40;1; ;2;300;1; ;9;2; ; ; ;1; ; ; ; ; ; ; ;2; ;2;33;32;75;1;2;7523;04;19;187,950328402806;19
3704781;1;3;1;70;1;12;40;1; ;2;12;4; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;04;19;62,5423999107434;19
3704783;1;1;1;70;1;8;48;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;50;1;1;5051;04;19;242,9800043539;19
3704826;1;2;1;70;1;16;40;3; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;04;15;65,84038129913;15
3704827;1;1;1;70;1;4;40;1; ;2;4;1; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;45;50;55;1;1;5521;04;15;100,333739898555;15
3704832;1;2;1;70;1;12;48;1; ;2;48;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;45;1;1;4530;04;15;92,0865586756227;15
3704836;1;5;1;70;1;16;60;1; ;2;20;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;04;63;92,260307372403;63
3704837;1;1;1;70;1;2;48;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;95;95;45;1;1;4521;04;63;133,219321546402;63
3704837;1;2;1;70;1;12;30;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;55;55;74;1;1;7493;04;63;133,219321546402;63
3704838;1;3;1;70;1;6;50;4; ;2;6;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;99;99;93;1;1;9309;04;63;142,646545844043;63
3704841;1;1;1;70;1;24;50;1; ;2;24;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;95;45;1;2;4521;04;63;152,287835799523;63
3704847;1;1;1;70;1;13;72;1; ;2;17;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;1;43000;2;98;98;51;1;1;5125;04;76;941,381391622484;76
3704849;1;2;1;70;1;8;12;3; ;2;52;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;04;76;1102,69494597873;76
3704852;1;1;1;70;1;104;60;5; ;2;104;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;21;64;1;2;6421;04;76;849,966415164676;76
3704859;1;2;1;70;1;16;48;1; ;2;16;1; ;9;4; ; ;1; ; ; ; ; ; ; ; ;2; ;2;31;31;64;1;2;6421;04;76;506,800761150976;76
3704860;1;1;1;70;1;12;40;3; ;2;16;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;95;1;1;9500;04;76;1008,51230632911;76
3704868;1;1;1;70;1;1;48;1; ;2;2;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;1;270000;2;79;79;18;1;1;1810;04;73;221,751546514304;73
3704869;1;2;1;70;1;32;48;1; ;2;21;6; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;53;55;1;2;5521;04;73;254,990850790504;73
3704884;1;2;1;70;1;4;48;1; ;2;4;1; ;5;7; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;53;53;55;1;1;5521;04;73;305,319664828456;73
3704886;1;1;1;70;1;3;72;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;140000;2;53;53;55;1;1;5521;04;63;154,108491267416;63
3704892;1;3;1;70;1;52;48;1; ;2;54;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;30;15;1;2;1530;04;63;121,000294353221;63
3704896;1;3;1;70;1;2;20;4; ;2;2;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;80000;2;45;45;52;1;1;5243;04;63;121,10090054948;63
3704906;1;2;1;70;1;200;40;1; ;2;200;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;11;11;65;1;2;6512;04;63;133,646800590643;63
3704911;1;2;1;70;1;4;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;360000;2;53;41;52;1;1;5229;04;63;117,181076131567;63
