Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Mes;Dpto;Fex_c_2011
3792313;1;3;2;2;1;4;6;5;5;4; ; ; ;200000; ;2;2;1;1;2;2;2;2;2;1;1;1;2;2;2;1;1;1;1;2;2;1;3;2;2; ;3;1;1;1;2;1;2;2;2;2;1; ; ;01;2;08;63;579,343531832339
3792316;1;4;2;2;1;5;6;1;5;4; ; ; ;180000; ;2;2;1;1;1;2;2;2;2;1;1;1;2;2;2;2;2;2;1;2;2;1;4;2;2; ;6;1;1;4;3;1;2;2;2;2;1; ; ;01;2;08;63;514,246775982392
3792320;1;4;1;2;1;5;2;1;4;4; ; ; ;150000; ;2;1;1;1;1;1;2;2;2;1;2;2;1;2;2;1;1;1;1;1;2;1;2;2;2; ;2;1;2;1;4;1;2;2;2;2;1; ; ;01;2;08;63;685,227101794404
3792323;1;3;2;2;1;3;2;1;4;4; ; ; ;120000; ;2;2;1;1;1;2;2;2;2;1;2;1;2;2;2;1;1;1;1;2;2;1;3;2;2; ;3;1;2;1;2;1;2;2;2;2;1; ; ;01;2;08;63;579,343531832339
3792324;1;4;1;2;1;5;2;1;5;1; ; ;5000000;50000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;1;4;2;1;2;2;2;2;1; ; ;01;2;08;63;752,000278001328
3796198;1;7;1;2;1;5;2;1;5;4; ; ; ;50000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;3;1;1;4;3;1;2;2;2;2;1; ; ;01;2;08;63;811,955208925937
3796199;1;3;3;2;1;1;1;1;4;4; ; ; ;150000; ;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;5;1;1;1;2;1;2;2;1;1;1;2;1;01;2;08;63;578,3527908076
3796200;1;4;2;2;1;1;1;1;4;4; ; ; ;200000; ;2;2;1;1;2;2;2;2;1;2;2;1;2;2;2;2;1;1;1;2;2;1;2;2;2; ;5;1;1;1;4;1;2;2;1;1;1;2;1;01;2;08;63;912,009667609102
3796201;1;3;2;2;1;1;1;1;4;4; ; ; ;120000; ;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;3;1;1;1;2;1;2;2;1;1;1;2;1;01;2;08;63;975,894827648451
3796202;1;7;2;2;1;3;2;1;5;4; ; ; ;100000; ;2;2;1;1;2;1;2;2;1;2;1;1;2;2;2;2;1;1;1;2;2;1;4;2;2; ;7;1;1;4;3;1;2;2;2;2;1; ; ;01;2;08;63;920,888946005249
3796203;1;5;4;2;1;3;2;1;5;1; ; ;15000000;120000; ;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;5;2;2; ;7;1;1;4;3;1;2;2;2;2;1; ; ;01;2;08;63;959,654893072947
3796204;1;4;1;2;1;5;2;1;5;4; ; ; ;50000; ;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;1;4;2;1;2;2;2;2;1; ; ;01;2;08;63;644,783127348405
3796953;1;3;2;2;1;4;6;1;4;1; ; ;50000000;200000; ;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;1;2;2;1;3;2;2; ;3;1;1;3;2;1;2;2;2;2;2; ; ;01;2;08;68;1162,3530736993
3796954;1;4;2;6; ;3;1;4;5;1; ; ;98;200000; ;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;1;2;2; ;3;1;1;1;2;1;2;2;2;1;2; ;1;01;2;08;68;1559,7729992134
3796959;1;3;2;3;1;4;4;1;4;4; ; ; ;100000; ;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;1;1;2;1;2;2;1;1;2;2; ;4;1;1;5;3;1;2;2;2;2;1; ; ;01;2;08;68;2085,18943937642
3796960;1;5;1;3;1;4;1;1;4;1; ; ;98;100000; ;2;2;1;1;2;2;2;2;1;1;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;4;1;1;1;2;1;2;2;2;1;1; ;1;01;2;08;68;2682,26211596137
3796961;1;5;1;3;1;4;1;1;5;4; ; ; ;100000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;4;1;1;1;2;1;2;2;2;1;1; ;1;01;2;08;68;2085,18943937642
3796962;1;3;1;6; ;4;1;1;5;1; ; ;98;98; ;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;2;1;1;5;1;1;2;2;2;1;9; ;1;01;2;08;68;1510,28127013415
3796963;1;4;2;3;1;4;4;1;5;1; ; ;98;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;1;2;1;2;2;2;2;2; ; ;01;2;08;68;1338,80310638035
3796964;1;3;2;2;1;4;4;1;5;4; ; ; ;200000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;3;2;2; ;4;1;1;3;2;1;2;2;2;2;1; ; ;01;2;08;68;1339,59012443294
3796965;1;3;2;2;1;4;5;1;5;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;2;1;1;5;2;1;2;2;2;2;9; ; ;01;2;08;68;2348,63264618323
3796966;1;3;2;3;1;4;9;5;5;4; ; ; ;50000; ;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2; ;5;1;1;1;2;1;2;2;2;2;9; ; ;01;2;08;68;2334,0029916612
3796967;1;5;3;2;1;4;5;1;5;1; ; ;15000000;200000; ;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;1;1;2;2;2;1;4;2;2; ;4;1;1;1;2;1;2;2;2;2;2; ; ;01;2;08;68;1729,07343079738
3796968;1;3;2;2;1;4;6;1;4;4; ; ; ;700000; ;2;2;1;1;2;2;2;2;1;2;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;5;1;1;5;2;1;2;2;2;2;1; ; ;01;2;08;68;2543,8252442635
3796969;1;3;2;2;1;4;6;4;5;1; ; ;3000000;50000; ;2;2;1;1;1;2;2;2;1;2;2;1;2;2;2;1;1;1;1;1;2;1;2;2;2; ;6;1;1;5;1;1;2;2;2;2;1; ; ;01;2;08;68;1793,6763339035
3796970;1;4;2;3;1;4;6;1;5;1; ; ;8000000;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;08;68;2107,3539467191
3796971;1;3;2;2;1;4;1;4;4;1; ; ;30000000;50000; ;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;3;2;2; ;3;1;1;5;1;1;2;2;2;1;2; ;1;01;2;08;68;1847,52352732239
3796972;1;3;1;2;1;4;1;5;5;4; ; ; ;30000; ;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;5;1;1;1;2;1;2;2;2;1;2; ;1;01;2;08;68;1913,71127562261
3796973;1;3;2;2;1;4;1;1;5;1; ; ;200000000;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2; ;2;2; ;3;1;1;5;1;1;2;2;2;1;2; ;1;01;2;08;68;1967,33222982713
