Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3661165;1;1;1;70;17;52;48;1; ;2;104;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;85;1;2;8512;02;17;178,615599549797
3661178;1;3;1;70;17;4;40;5; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;16; ; ;1;1; ;02;17;152,445749555443
3661197;1;3;1;70;73;44;72;1; ;2;44;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;21;60;1;2;6042;02;73;245,695950372149
3661214;1;2;1;70;76;4;48;1; ;2;4;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;1;322175;2;45;45;51;1;1;5125;02;76;881,491400104338
3661247;1;1;1;70;66;15;48;1; ;2;15;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5521;02;66;189,979090428113
3661251;1;1;1;70;66;6;48;1; ;2;6;4; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;75;1;1;7512;02;66;337,434631314627
3661264;1;7;1;70;66;204;30;1; ;2;204;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5521;02;66;216,336852696024
3661269;1;1;1;70;66;4;50;1; ;2;8;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;87;87;19;1;1;1925;02;66;266,916970104651
3661269;1;2;1;70;66;8;54;1; ;2;8;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;80;80;19;1;1;1929;02;66;266,916970104651
3661270;1;3;1;70;11;6;48;1; ;2;6;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;1;190000;2;95;85;45;1;1;4542;02;11;2686,41629958264
3661339;1;2;1;70;17;52;24;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;02;17;236,865903890994
3661385;1;2;1;70;76;8;56;1; ;2;8;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;59;60;1;1;6022;02;76;882,99559893868
3661397;1;2;1;70;76;8;48;1; ;2;8;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;02;76;905,926527395549
3661400;1;3;1;70;76;28;40;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;20000;2;55;55;74;1;2;7493;02;76;1317,84948663922
3661516;1;1;1;70;73;4;70;5; ;2;9;5; ;3;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;41;51;1;1;5133;02;73;211,496386252052
3661524;1;3;1;70;73;150;48;1; ;2;998;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;15;15;92;1;2;9213;02;73;157,30000424315
3661524;1;5;1;70;73;156;48;1; ;2;458;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;02;15;1;2;1589;02;73;157,30000424315
3661526;1;3;1;70;73;12;48;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;02;73;229,010533063383
3661531;1;3;1;70;73;12;48;1; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;61;01;1;1;0140;02;73;290,473499677759
3661531;1;4;1;70;73;5;40;1; ;2;5;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;02;73;290,473499677759
3661531;1;6;1;70;73;3;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;1; ;02;73;290,473499677759
3661532;1;5;1;70;73;2;48;1; ;2;46;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;02;73;402,903467598476
3661533;1;4;1;70;73;5;48;1; ;2;5;1; ;3;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;77;15;1;1;1551;02;73;256,887231620092
3661538;1;1;1;70;73;4;48;1; ;2;12;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;62;75;17;1;1;1710;02;73;193,253272501954
3661547;1;1;1;70;73;1;48;3; ;2;4;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;54;54;95;1;1;9500;02;73;323,182391547459
3661547;1;3;1;70;73;156;45;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;2; ;02;73;323,182391547459
3661553;1;2;1;70;73;8;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;1; ;02;73;291,496874863073
