Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3670663;1;2;1;80;2;1;4;9;DESPLAZAMIENTO;2; ;2; ; ; ; ;4;2;1;02;63;3421,55063452226
3670664;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;1956,69500643415
3670664;1;3;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;02;63;1956,69500643415
3670668;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;5618,51802803389
3670669;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;63;6572,9381956951
3670670;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;2664,34407984187
3670670;1;4;1;80;2;1;2;2; ; ; ;2; ; ; ; ;2;2;1;02;63;2664,34407984187
3670671;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;63;3421,55063452226
3670672;1;3;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;02;63;1956,69500643415
3670674;1;1;1;80;2;1;4;1; ;2; ;2; ; ; ; ;1;2;1;02;63;3413,43926867769
3670694;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;63;1956,69500643415
3670694;1;4;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;02;63;1956,69500643415
3670695;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;2164,39333565126
3670695;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;2164,39333565126
3670696;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;02;63;2337,77586292954
3670696;1;3;1;80;2;1;1;4; ;2; ;1;320000; ; ; ;4;2;1;02;63;2337,77586292954
3670696;1;4;1;80;2;1;1;8; ;2; ;2; ; ; ; ;9;2;1;02;63;2337,77586292954
3670696;1;5;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;02;63;2337,77586292954
3670697;1;2;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;02;63;2131,32790082614
3670698;1;3;1;80;2;1;1;2; ; ; ;2; ; ; ; ;2;2;1;02;63;1956,69500643415
3670701;1;1;1;80;2;1;2;7; ;2; ;2; ; ; ; ;9;2;1;02;63;1956,69500643415
3670702;1;1;1;80;2;1;2;4; ;2; ;2; ; ; ; ;4;2;1;02;63;3413,43926867769
3670703;1;2;1;80;2;1;3;9;RENUNCIA VOLUNTARIA;2; ;2; ; ;2; ;9;1;1;02;63;2631,27864501675
3670704;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;2865,2052773216
3670728;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;4735,60445392091
3670730;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;63;1956,69500643415
3670731;1;1;1;80;2;1;4;9;LA EDAD;3; ;2; ; ; ; ;10;2;1;02;63;1956,69500643415
3670731;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;1956,69500643415
3670732;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;2164,39333565126
3670732;1;5;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;02;63;2164,39333565126
3670733;1;2;1;80;2;1;1;9;SE CANZO;2; ;2; ; ; ; ;9;2;1;02;63;1956,69500643415
3670734;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;4124,76689493608
3670735;1;5;1;80;2;1;2;8; ;2; ;2; ; ;1; ;9;1;1;02;63;7010,78818888247
3670736;1;5;1;80;2;1;1;8; ;2; ;2; ; ;2; ;9;1;1;02;63;3839,3877108205
3670737;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;3954,56681353799
3670738;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;1956,69500643415
3670739;1;2;1;80;2;1;4;8; ;2; ;2; ; ; ;NO TIENE RECURSOS PARA MONTAR NEGOCIO DE FABRICA DE PELUCH;12;2;1;02;63;2664,34407984187
3670739;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;2664,34407984187
3670744;1;2;1;80;2;1;3;8; ;2; ;2; ; ; ; ;9;2;1;02;63;4557,03012349976
3670744;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;4557,03012349976
3670745;1;4;1;80;2;1;3;4; ;2; ;2; ; ;2; ;4;1;1;02;63;2915,54798708926
