Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3748051;1;2;1;70;08;40;48;1; ;2;104;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;85;1;2;8511;06;08;670,954165885806
3748061;1;2;1;70;76;12;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;06;76;733,956292122937
3748068;1;1;1;70;73;10;48;1; ;2;10;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;11;1;1;1110;06;73;213,479289317611
3748071;1;2;1;70;73;16;48;3; ;2;4;3; ;1;7; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;54;54;95;1;2;9500;06;73;200,07209841656
3748085;1;1;1;70;66;16;48;4; ;2;24;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;2;9500;06;66;313,985605625821
3748087;1;3;1;70;66;20;48;4; ;2;20;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5529;06;66;323,249443981539
3748089;1;2;1;70;66;8;48;1; ;2;3;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;72000;2;39;97;01;1;1;0123;06;66;306,912142262033
3748097;1;3;1;70;66;20;24;1; ;2;24;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;06;66;289,333743983467
3748104;1;1;1;70;66;12;48;1; ;2;12;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;1;6022;06;66;350,010416870836
3748169;1;1;1;70;17;20;48;1; ;2;20;1; ;9;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;19;19;85;1;2;8532;06;17;157,345943204605
3748174;1;1;1;70;17;5;24;4; ;2;156;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;1;9500;06;17;191,553324070888
3748179;1;3;1;70;17;8;24;1; ;2;96;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;30;74;1;1;7421;06;17;152,591231219589
3748227;1;1;1;70;54;16;44;4; ;2;10;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;06;54;482,929197878473
3748247;1;1;1;70;76;21;48;1; ;2;21;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;2;9500;06;76;1033,63127036498
3748258;1;2;1;70;76;2;48;1; ;2;2;4; ;9;7; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;58;97;15;1;1;1594;06;76;981,298492288163
3748260;1;2;1;70;76;104;70;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;2; ;06;76;650,354597342651
3748295;1;2;1;70;73;22;54;3; ;2;260;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;55;74;1;2;7493;06;73;284,876135480119
3748295;1;6;1;70;73;52;48;4; ;2;104;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;41;52;1;2;5239;06;73;284,876135480119
3748345;1;3;1;70;68;8;48;1; ;2;8;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;33;1;1;3311;06;68;184,551693055913
3748347;1;3;1;70;68;6;48;1; ;2;8;8; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;62;01;1;1;0121;06;68;808,969444005109
3748347;1;4;1;70;68;8;50;1; ;2;8;1; ;7;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;06;68;808,969444005109
3748347;1;5;1;70;68;4;48;1; ;2;6;1; ;7;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;99;45;1;1;4530;06;68;808,969444005109
3748368;1;2;1;70;68;6;48;1; ;2;6;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;01;1;1;0123;06;68;389,515352579959
3748368;1;4;1;70;68;4;48;1; ;2;4;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;750000;2;45;45;52;1;1;5231;06;68;389,515352579959
3748383;1;2;1;70;68;8;48;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;80;80;19;1;1;1921;06;68;411,885220271229
3748395;1;1;1;70;50;3;48;4; ;2;3;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;95;45;1;1;4521;06;50;248,141689763828
3748405;1;1;1;70;50;4;48;1; ;2;3;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;960000;2;95;95;45;1;1;4521;06;50;208,53752306419
3748410;1;1;1;70;50;52;48;1; ;2;156;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;55;1;2;5511;06;50;150,663248919938
