Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3753002;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;63;1031,82469500402
3753003;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;63;1055,09905334073
3753004;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;63;808,58096999062
3753005;1;2;1;80;2;1;1;8; ;2; ;1;150000; ; ; ;1;2;1;06;63;999,738973423597
3753005;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;63;999,738973423597
3753005;1;5;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;63;999,738973423597
3753007;1;2;1;80;2;1;1;9;CAMBIO DE DOMICILIO;2; ;2; ; ; ; ;9;2;1;06;63;1071,22128672807
3753018;1;2;1;80;2;1;1;6; ;2; ;2; ; ; ; ;1;2;1;06;63;682,511497938202
3753601;1;2;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;06;63;678,865363641513
3753602;1;2;1;80;2;1;1;8; ;2; ;1;150000; ; ; ;1;2;1;06;63;959,636163552965
3757667;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;50;1440,18580543052
3757667;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;50;1440,18580543052
3757668;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;50;1269,65058458506
3757668;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;50;1269,65058458506
3757674;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;06;50;1536,03469528847
3757677;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;50;498,04056197027
3757783;1;2;1;80;2;1;1;1; ;2; ;2; ; ; ; ;9;2;1;06;63;1482,59383135718
3757783;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;63;1482,59383135718
3757783;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;63;1482,59383135718
3757784;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;63;808,58096999062
3757787;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;63;775,548219460348
3757788;1;2;1;80;2;2; ; ; ;2; ;2; ;1;3; ;9; ;1;06;63;945,366635680086
