Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3682779;1;2;1;80;17;1;1;6; ;3; ;2; ; ; ; ;8;2;1;03;17;137,890355953711
3682779;1;3;1;80;17;1;3;8; ;2; ;2; ; ; ; ;2;2;1;03;17;137,890355953711
3682781;1;2;1;80;17;1;2;8; ;2; ;2; ; ;1; ;1;1;1;03;17;137,890355953711
3682781;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;137,890355953711
3682783;1;2;1;80;17;1;3;3; ;2; ;2; ; ; ; ;9;2;1;03;17;158,159819194993
3682783;1;5;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;17;158,159819194993
3682785;1;5;1;80;17;1;4;4; ;2; ;2; ; ; ; ;8;2;1;03;17;311,830072914359
3682786;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;150,914659013616
3682786;1;3;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;17;150,914659013616
3682787;1;1;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;17;119,023282377008
3682787;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;119,023282377008
3682789;1;1;1;80;17;1;4;9;MOTIVOS DE VIAJE;2; ;2; ; ;1; ;9;1;1;03;17;249,810950520473
3682790;1;2;1;80;17;1;4;4; ;2; ;2; ; ; ; ;9;2;1;03;17;221,102510728674
3682791;1;9;1;80;73;1;3;4; ;2; ;2; ; ; ; ;4;2;1;03;73;400,731530742911
3682793;1;2;1;80;73;1;1;6; ;2; ;2; ; ; ; ;9;2;1;03;73;239,134864417074
3682794;1;1;1;80;73;1;4;8; ;2; ;2; ; ; ; ;8;2;1;03;73;324,14905501467
3682796;1;1;1;80;73;1;2;4; ;2; ;2; ; ; ; ;4;2;1;03;73;288,996637218716
3682796;1;2;1;80;73;1;3;7; ;2; ;2; ; ; ; ;8;2;1;03;73;288,996637218716
