Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3691771;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;68;1320,26226629801
3691773;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;68;1750,7630763127
3691782;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;68;1383,49329288526
3691803;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;68;2447,89009901037
3691803;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;68;2447,89009901037
3691804;1;2;1;80;2;1;4;5; ;3; ;2; ; ; ; ;10;2;1;03;68;1146,3303919221
3691806;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;68;3366,63107292409
3691815;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;9;2;1;03;68;1071,01263491995
3691815;1;3;1;80;2;1;1;2; ; ; ;2; ; ; ; ;2;2;1;03;68;1071,01263491995
3691826;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;68;1757,58139124093
3691826;1;4;1;80;2;1;1;2; ; ; ;2; ; ; ; ;2;2;1;03;68;1757,58139124093
3691833;1;2;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;03;68;2703,79348797305
3691833;1;10;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;68;2703,79348797305
3691837;1;2;1;80;2;1;2;4; ;2; ;2; ; ; ; ;4;2;1;03;68;1991,45619133956
3691838;1;5;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;03;68;2990,74540962938
3691839;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;68;1722,07205106916
3691839;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;68;1722,07205106916
3691839;1;5;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;03;68;1722,07205106916
3691850;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;03;68;1276,64166229646
3691854;1;2;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;68;3017,27598359654
3691854;1;5;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;03;68;3017,27598359654
3691856;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;68;1919,65116600277
3691857;1;2;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;68;1504,29775373009
3691857;1;3;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;68;1504,29775373009
3691857;1;4;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;68;1504,29775373009
3691858;1;3;1;80;2;1;1;2; ; ; ;2; ; ; ; ;2;2;1;03;68;2540,99853344485
3691861;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;68;1153,15006606351
3691871;1;3;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;68;1011,27866007426
3691882;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;03;68;1257,03123971076
3691882;1;3;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;03;68;1257,03123971076
3691882;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;68;1257,03123971076
3691886;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ;ESTA  EMBARAZADA;12;2;1;03;68;2502,04098042597
3691888;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;8;2;1;03;68;2126,64873960741
3692261;1;2;1;80;2;1;4;8; ;2; ;2; ; ; ; ;9;2;1;03;63;1212,76965993146
3692263;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;63;931,248203813364
3692264;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;63;1227,46783592083
3692268;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;03;63;1406,88567102703
3692269;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;63;1747,41170823036
3692270;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;1665,64528049191
3692271;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;2802,72570140563
3692271;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;63;2802,72570140563
3692288;1;2;1;80;2;1;3;4; ;2; ;2; ; ;1; ;9;1;1;03;63;1269,86805489301
3692288;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;63;1269,86805489301
3692288;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;63;1269,86805489301
3692290;1;2;1;80;2;1;4;7; ;2; ;2; ; ; ; ;4;2;1;03;63;637,318082371267
3692291;1;2;1;80;2;1;4;4; ;3; ;2; ; ; ; ;4;2;1;03;63;915,81632328327
3692291;1;3;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;03;63;915,81632328327
3692293;1;3;1;80;2;1;1;8; ;2; ;2; ; ; ; ;2;2;1;03;63;1261,71704367641
3692293;1;4;1;80;2;2; ; ; ; ; ;2; ;1;1; ;8; ;1;03;63;1261,71704367641
3692294;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;63;1969,23785819372
3692695;1;2;1;80;2;1;1;8; ;2; ;1;40000; ; ; ;9;2;1;03;63;1422,06651503434
3692695;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;63;1422,06651503434
3692695;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;63;1422,06651503434
