Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011
3691771;1;1;1;90;1;2;2;2;2;2;2;2;2;2;3; ; ; ; ; ; ; ; ; ;2;03;68;1320,26226629801
3691771;1;2;1;90;1;1;2;2;2;2;2;2;2;2;2;28; ; ; ; ; ; ; ; ;2;03;68;1320,26226629801
3691771;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;2;03;68;1320,26226629801
3691771;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;2;03;68;1320,26226629801
3691772;1;1;1;90;1;1;2;1;2;2;2;2;2;2;3;20; ;18; ; ; ; ; ; ;2;03;68;2212,67832163287
3691773;1;1;1;90;1;2;2;2;2;2;2;2;2;2;6; ; ; ; ; ; ; ; ; ;2;03;68;1750,7630763127
3691773;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;2;03;68;1750,7630763127
3691773;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;2;03;68;1750,7630763127
3691782;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;2;03;68;1383,49329288526
3691782;1;2;1;90;1;1;2;2;2;2;2;2;2;2;2;30; ; ; ; ; ; ; ; ;2;03;68;1383,49329288526
3691782;1;3;1;90;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;03;68;1383,49329288526
3691782;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;2;03;68;1383,49329288526
3691793;1;1;1;90;1;1;2;2;2;2;2;2;2;2;3;15; ; ; ; ; ; ; ; ;2;03;68;2461,55438135225
3691793;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;2;03;68;2461,55438135225
3691793;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;2;03;68;2461,55438135225
3691793;1;4;1;90;1;1;2;2;2;2;2;2;2;2;3;12; ; ; ; ; ; ; ; ;2;03;68;2461,55438135225
3691797;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;68;1919,65116600277
3691797;1;2;1;90;1;1;2;2;2;2;2;2;2;2;3;35; ; ; ; ; ; ; ; ;2;03;68;1919,65116600277
3691797;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;2;03;68;1919,65116600277
3691798;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;3; ;8; ; ; ; ; ; ;2;03;68;2729,33834469306
3691798;1;2;1;90;1;1;2;1;2;2;2;2;2;2;5;32; ;25; ; ; ; ; ; ;2;03;68;2729,33834469306
3691799;1;1;1;90;1;1;2;2;2;2;2;2;2;2;5;30; ; ; ; ; ; ; ; ;2;03;68;2126,64873960741
3691800;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;2;03;68;2352,65872219664
3691800;1;2;1;90;1;1;2;2;2;2;2;2;2;2;5;32; ; ; ; ; ; ; ; ;2;03;68;2352,65872219664
3691800;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;2;03;68;2352,65872219664
