DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4116591;1;4;1;70;05;6;48;1; ;2;16;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;44;44;65;1;1;6512;08;05;1126,85479445911
4116600;1;1;1;70;05;4;48;4; ;2;4;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;150000;54;54;95;1;1;9500;08;05;1068,74098125923
4116602;1;2;1;70;05;1;48;1; ;2;1;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;1;840000;39;38;74;1;1;7499;08;05;1146,75945888007
4116606;1;1;1;70;05;16;48;1; ;2;16;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;33;32;52;1;2;5272;08;05;713,121681787086
4116606;1;2;1;70;05;4;48;1; ;2;4;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;85;85;45;1;1;4542;08;05;713,121681787086
4116609;1;3;1;70;05;2;48;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;38;74;1;1;7499;08;05;1108,29432734273
4116612;2;2;2;70;05;24;48;1; ;2;28;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;38;64;1;2;6421;08;05;901,684695523608
4116613;1;3;1;70;05;8;48;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5211;08;05;1023,39569889502
4116615;1;2;1;70;05;6;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;1; ;08;05;947,375416217021
4116615;1;4;1;70;05;3;72;1; ;2;3;1; ;9;2;5; ; ; ; ; ; ; ; ; ; ;1;1;50000;97;97;70;1;1;7010;08;05;947,375416217021
4116620;1;1;1;70;05;3;16;1; ;2;24;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;38;53;55;1;1;5529;08;05;712,840972356623
4116633;1;1;1;70;05;24;48;1; ;2;24;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;56;50;55;1;2;5522;08;05;1029,99514029143
4116639;1;3;1;70;05;20;48;1; ;2;48;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;97;15;1;2;1589;08;05;1076,25335244984
4116640;1;2;1;70;05;16;48;1; ;2;16;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;2;5521;08;05;1438,77694997774
4116640;1;5;1;70;05;8;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;03;03;15;1;1;1589;08;05;1438,77694997774
4116652;1;1;1;70;05;20;60;1; ;2;20;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;60;62;92;1;2;9249;08;05;929,369379804281
4116658;1;3;1;70;05;8;48;2; ;2;96;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;02;21;74;1;1;7493;08;05;1196,35654860734
4116662;1;3;1;70;05;4;48;1; ;2;12;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;32;32;74;1;1;7430;08;05;1209,35453070739
4116667;1;2;1;70;05;104;24;1; ;2;104;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;45;53;55;1;2;5521;08;05;1119,90182305183
4116690;1;1;1;70;05;4;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;99;90;1;1;9000;08;05;1146,75945888007
4116696;1;2;1;70;05;4;48;1; ;2;6;1; ;7;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;97;99;50;1;1;5020;08;05;1108,01361791226
4116704;1;4;1;70;05;4;48;1; ;2;4;1; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;70;1;1;7010;08;05;1021,19920238475
4116705;1;2;1;70;05;2;48;1; ;2;2;1; ;8;2;9;POR COBERTURA; ; ; ; ; ; ; ; ; ;1;1;150000;79;79;18;1;1;1810;08;05;1133,00522983038
4116710;1;1;1;70;05;2;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;660000;55;45;55;1;1;5522;08;05;891,765919895071
4116737;1;1;1;70;05;12;48;1; ;2;28;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;02;02;45;1;1;4530;08;05;1076,52798927623
4116738;1;4;1;70;05;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;1; ;08;05;904,763901995126
4116743;1;2;1;70;05;3;30;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;08;05;1069,09996398826
4116755;1;3;1;70;05;48;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;02; ; ;1;2; ;08;05;922,489228977403
4116760;1;1;1;70;05;48;48;1; ;2;72;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;50;50;55;1;2;5522;08;05;897,328404911394
4116760;1;2;1;70;05;52;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;08;05;897,328404911394
4116770;1;1;1;70;05;4;48;1; ;2;16;1; ;6;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;95;95;70;1;1;7010;08;05;736,726845469436
4116770;1;3;1;70;05;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;08;05;736,726845469436
4116770;1;12;1;70;05;6;48;2; ;2;4;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;99;95;70;1;1;7010;08;05;736,726845469436
4116775;1;2;1;70;05;8;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;59;59;85;1;1;8511;08;05;1067,8793096311
4116796;1;3;1;70;05;24;48;1; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;40;52;1;2;5244;08;05;750,725141696296
4116800;1;2;1;70;05;2;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;98;98;60;1;1;6022;08;05;930,511760862871
4116803;1;2;1;70;05;2;48;1; ;2;3;1; ;3;2;1; ; ; ; ;1; ; ; ; ; ; ;1;850000;45;45;18;1;1;1810;08;05;1113,85681235905
4116803;1;3;1;70;05;52;48;1; ;2;52;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;19;19;73;1;2;7310;08;05;1113,85681235905
4116808;1;2;1;70;05;12;48;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;860000;33;53;55;1;1;5521;08;05;1109,15599897086
4116817;1;3;1;70;05;4;50;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;08;05;904,763901995126
4116822;1;2;1;70;05;156;48;1; ;2;156;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;16;17;1;2;1749;08;05;934,377434116966
4116824;1;2;1;70;05;12;48;2; ;2;12;2; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;98;95;45;1;1;4522;08;05;603,084922101107
4116834;1;1;1;70;05;28;48;4; ;2;28;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;19;19;80;1;2;8043;08;05;1070,41015800306
4116836;1;2;1;70;05;49;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;2; ;08;05;1070,41015800306
4116847;1;3;1;70;05;2;48;1; ;2;2;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;95;93;70;1;1;7010;08;05;1076,25335244984
4116851;1;3;1;70;05;4;48;1; ;2;4;2; ;9;2;3; ; ; ; ;1; ; ; ; ; ; ;1;850000;13;13;80;1;1;8042;08;05;1156,74903601141
4116856;1;2;1;70;05;32;48;1; ;2;32;1; ;9;2;2; ; ; ; ; ; ; ; ;1;BUSCAR TRABAJO; ;2; ;45;45;74;1;2;7499;08;05;1210,31057422083
4116864;1;4;1;70;05;2;48;1; ;2;2;4; ;1;2;9;COBERTURA; ; ; ; ; ; ; ; ; ;1;1;800000;98;98;60;1;1;6021;08;05;1260,08294870007
4116868;1;3;1;70;05;52;48;1; ;2;52;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;34;80;1;2;8050;08;05;1121,01160001232
4116870;1;3;1;70;05;12;48;1; ;2;48;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;37;98;60;1;1;6031;08;05;1106,97666153217
4116872;1;1;1;70;05;16;48;1; ;2;352;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;77;45;52;1;2;5223;08;05;1088,13548498533
4116876;1;1;1;70;05;32;48;1; ;2;36;1; ;9;1;1; ; ;1; ; ; ; ; ; ; ; ;2; ;39;33;85;1;2;8511;08;05;1058,52195286349
4116889;1;6;1;70;05;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;38; ; ;1;1; ;08;05;878,489247442147
