Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3927777;1;2;1;70;1;10;48;1; ;2;10;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;51;55;1;1;5521;02;17;119,19228499624;17
3927780;1;4;1;70;1;8;48;1; ;2;8;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;39;52;1;1;5211;02;17;147,550564102269;17
3927788;1;2;1;70;1;7;72;1; ;2;7;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;95;45;1;1;4521;02;17;136,041868500227;17
3927789;1;1;1;70;1;1;20;1; ;2;52;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;59;85;1;1;8511;02;17;621,380551808381;17
3927805;1;2;1;70;1;3;40;1; ;2;3;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;689500;2;32;32;85;1;1;8513;02;15;120,935182541932;15
3927815;1;2;1;70;1;1;24;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;02;05;1042,20455438545;05
3927819;1;1;1;70;1;4;48;1; ;2;16;2; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;39;75;1;1;7523;02;05;1077,34111554004;05
3927821;1;2;1;70;1;20;48;1; ;2;3;1; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;530000;2;45;58;70;1;2;7020;02;05;976,644742242205;05
3927823;1;4;1;70;1;6;24;1; ;2;6;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;53;55;1;1;5529;02;05;1321,76994964973;05
3927830;1;1;1;70;1;5;72;1; ;2;5;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;60;1;1;6022;02;05;1307,85876613399;05
3927831;1;1;1;70;1;20;48;1; ;2;8;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;50;17;91;1;2;9191;02;05;941,508181087613;05
3927831;1;2;1;70;1;8;48;1; ;2;36;1; ;3;6; ; ; ; ; ; ; ; ; ;1; ;1;45000;2;53;53;55;1;1;5521;02;05;941,508181087613;05
3927836;1;1;1;70;1;5;48;1; ;2;36;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;44;40;52;1;1;5231;02;05;1148,35396693221;05
3927837;1;2;1;70;1;4;48;1; ;2;12;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;53;55;1;1;5529;02;05;1109,25144131469;05
3927840;1;2;1;70;1;44;48;1; ;2;104;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;97;18;1;2;1810;02;05;1128,13478603258;05
3927840;1;3;1;70;1;8;48;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;02;05;1128,13478603258;05
3927841;1;1;1;70;1;12;48;1; ;2;12;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;55;1;1;5521;02;05;948,927689247408;05
3927841;1;2;1;70;1;12;48;1; ;2;12;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;95;45;1;1;4521;02;05;948,927689247408;05
3927842;1;4;1;70;1;3;48;1; ;2;3;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;95;62;01;1;1;0111;02;05;1020,75949350508;05
3927843;1;3;1;70;1;52;30;1; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;87;93;45;1;2;4552;02;05;1067,17264734406;05
3927854;1;4;1;70;1;1;56;4; ;2;5;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;17;1;1;1741;02;76;525,256480780015;76
3927854;1;5;1;70;1;3;40;1; ;2;5;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;45;18;1;1;1810;02;76;525,256480780015;76
3927854;1;6;1;70;1;1;48;1; ;2;1;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;1;820000;2;45;45;19;1;1;1921;02;76;525,256480780015;76
3927861;1;2;1;70;1;25;30;4; ;2;55;4; ;3;1; ; ;1; ; ; ; ; ; ; ; ;1;20000;2;05;21;66;1;2;6601;02;76;1055,67066741081;76
3927864;1;1;1;70;1;52;35;3; ;2;52;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;45;15;1;2;1551;02;54;572,859321791494;54
3927887;1;1;1;70;1;32;48;4; ;2;32;4; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;84;84;50;1;2;5020;02;66;244,722447410242;66
3927887;1;3;1;70;1;2;48;1; ;2;2;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;140000;2;33;59;52;1;1;5211;02;66;244,722447410242;66
3927924;1;2;1;70;1;96;48;1; ;2;96;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;39;75;1;2;7512;02;41;318,530805127071;41
3927929;2;1;2;70;1;24;48;1; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;95;45;1;2;4521;02;41;149,015346896618;41
3927929;2;4;2;70;1;1;54;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;84;95;45;1;1;4521;02;41;149,015346896618;41
3927936;1;1;1;70;1;24;48;1; ;2;24;1; ;9;2; ; ; ; ;1; ; ; ; ; ; ;2; ;2;03;03;45;1;2;4530;02;41;121,775925343403;41
3927939;1;2;1;70;1;24;72;1; ;2;104;1; ;9;3; ; ; ;1; ; ; ; ; ; ; ;2; ;2;97;97;11;1;2;1110;02;41;175,479955117401;41
3927946;1;3;1;70;1;1;40;1; ;2;1;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;689455;2;39;03;15;1;1;1594;02;41;175,479955117401;41
3927954;1;2;1;70;1;52;48;1; ;2;52;1; ;7;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;13;80;1;2;8060;02;15;65,5569595158473;15
3927957;1;2;1;70;1;24;40;1; ;2;104;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;2;8511;02;15;109,551823395908;15
3927959;1;5;1;70;1;4;40;4; ;2;4;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;80000;2;54;45;52;1;1;5221;02;15;114,902493883193;15
3927965;1;1;1;70;1;2;40;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;95;95;45;1;1;4521;02;15;93,2954085622702;15
3927965;1;3;1;70;1;4;45;1; ;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;689450;2;87;87;45;1;1;4541;02;15;93,2954085622702;15
3927974;1;3;1;70;1;4;44;1; ;2;4;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;644000;2;45;45;52;1;1;5223;02;15;94,8505788814862;15
3927978;1;1;1;70;1;2;25;1; ;2;47;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;1;9500;02;18;80,8421143916465;18
3927983;1;2;1;70;1;104;48;1; ;2;104;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;2;1810;02;17;153,541218510607;17
3927986;1;4;1;70;1;16;50;1; ;2;16;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;45;52;1;2;5262;02;17;155,314448312487;17
3927987;1;1;1;70;1;98;60;1; ;2;98;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;58;74;1;2;7492;02;17;201,790458324094;17
3928011;1;5;1;70;1;48;48;1; ;2;96;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;74;1;2;7412;02;17;111,285796819891;17
3928032;1;2;1;70;1;1;50;1; ;2;1;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;95;95;45;1;1;4521;02;63;142,96614011814;63
3928037;1;1;1;70;1;28;10;4; ;2;416;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;2;7493;02;63;117,995296549747;63
