Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P9460;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s7a1;P7420s8;P7422;P7422s1;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
4100283;1;5;1;70;2;3;48;1; ;2;4;1; ;6;2;6; ; ; ; ; ; ; ; ; ; ;1;1;540000;33;33;52;1;1;5211;07;05;1116,34560475113
4100286;1;1;1;70;2;4;50;8; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;62;99;00;1;1;0000;07;05;6709,14546792772
4100296;1;3;1;70;2;3;48;2; ;2;24;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;59;33;55;1;1;5529;07;05;1142,31068580406
4100296;1;4;1;70;2;3;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;1; ;07;05;1142,31068580406
4100311;1;1;1;70;2;20;48;2; ;2;24;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;59;59;85;1;2;8531;07;05;1976,92469407276
4103920;1;3;1;70;2;4;48;1; ;2;1;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;71;71;13;1;1;1320;07;05;8753,24738368745
4103924;1;1;1;70;2;48;48;1; ;2;48;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;45;64;52;1;2;5223;07;05;4852,82432587386
4105231;1;4;1;70;2;2;48;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;41; ; ;1;1; ;07;63;1354,32385932716
4105237;1;2;1;70;2;6;72;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;41;59;93;1;1;9309;07;63;877,046814263917
4105238;1;1;1;70;2;2;60;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;257000;77;77;15;1;1;1589;07;63;1461,76670248981
4105239;1;2;1;70;2;4;72;4; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;50000;41;53;55;1;1;5529;07;63;1835,7799871462
4105261;1;3;1;70;2;16;48;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;145000;33;53;55;1;2;5521;07;63;994,800500508786
4105265;1;2;1;70;2;4;30;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;220000;57;57;93;1;1;9309;07;63;1295,21192098501
4105268;1;3;1;70;2;24;48;1; ;2;24;2; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;45;58;75;1;2;7524;07;63;1235,43095405468
4105270;1;3;1;70;2;2;50;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4559;07;63;1560,36186814381
4105271;1;2;1;70;2;32;50;4; ;2;32;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;55;74;1;2;7493;07;63;1635,95485873448
4105342;1;1;1;70;2;1;24;1; ;2;22;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;45;79;52;1;1;5272;07;63;1825,77215984479
4105353;1;4;1;70;2;12;50;4; ;2;16;6; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;33;59;92;1;1;9242;07;63;2453,15789542559
4105382;1;2;1;70;2;8;30;1; ;2;20;1; ;4;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;53;55;55;1;1;5511;07;63;1674,84652320563
4105388;1;3;1;70;2;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;34; ; ;1;1; ;07;63;1512,6724394622
4105410;1;3;1;70;2;4;48;4; ;2;16;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;55;77;55;1;1;5529;07;19;858,482906124338
4105416;1;4;1;70;2;52;40;1; ;2;52;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;97;97;24;1;2;2423;07;19;1239,90404586335
4105425;1;2;1;70;2;4;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;07;19;2698,21186955786
4105431;1;2;1;70;2;52;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;05; ; ;1;2; ;07;19;2698,21186955786
4108286;1;2;1;70;2;24;48;1; ;2;24;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;98;58;52;1;2;5211;07;66;2506,39527491661
4108295;1;3;1;70;2;4;50;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;53;53;55;1;1;5521;07;66;4903,99946868135
4108300;1;3;1;70;2;28;48;1; ;2;28;8; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;84;62;01;1;2;0113;07;66;3179,83079987705
4108325;1;1;1;70;2;2;48;1; ;2;2;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;720000;58;58;74;1;1;7492;07;66;1621,33564126965
4108325;1;3;1;70;2;28;48;1; ;2;28;8; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;45;62;01;1;2;0117;07;66;1621,33564126965
4108426;2;1;2;70;2;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;55;53;80;1;1;8012;07;13;1298,94021095672
4109405;1;2;1;70;2;7;40;1; ;2;48;1; ;2;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;45;40;52;1;1;5211;07;27;787,585759106526
4109526;1;4;1;70;2;8;50;3; ;2;8;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;07;27;985,820920247602
4109647;1;1;1;70;2;24;40;4; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;13;79;18;1;2;1810;07;54;609,010150924196
4109704;1;3;1;70;2;32;40;1; ;2;32;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;2;5521;07;54;418,73263573598
4109782;1;1;1;70;2;4;48;4; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;98;61;01;1;1;0115;07;54;1468,57770407411
4109823;1;3;1;70;2;50;40;3; ;2;56;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;2;9500;07;54;1523,41748330605
4109825;1;2;1;70;2;12;60;1; ;2;10;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;58;80;1;1;8050;07;54;723,825658854722
4109856;1;4;1;70;2;8;48;4; ;2;8;4; ;1;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;71;71;10;1;1;1010;07;54;1150,54152893295
4109866;1;3;1;70;2;6;45;4; ;2;8;2; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;95;58;75;1;1;7522;07;54;1205,02440959628
4109890;1;2;1;70;2;24;50;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;2; ;07;54;1023,98085050819
4109900;1;2;1;70;2;48;48;2; ;2;48;2; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;80;1;2;8041;07;54;483,231223933978
4109940;1;3;1;70;2;8;60;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;61;61;01;1;1;0140;07;54;421,896843276317
4109953;1;2;1;70;2;8;48;1; ;2;8;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;54;95;1;1;9500;07;68;1258,32758489676
4109964;1;1;1;70;2;24;48;1; ;2;52;1; ;9;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;11;1;2;1120;07;68;743,824619973915
4109975;1;2;1;70;2;10;48;1; ;2;10;1; ;7;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;32;32;70;1;1;7010;07;68;1262,01103210922
4110228;1;3;1;70;2;12;48;1; ;2;24;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5211;07;17;513,271778501621
4110237;1;2;1;70;2;2;50;8; ;2;2;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;350000;62;62;01;1;1;0111;07;17;866,478572838468
4110243;1;2;1;70;2;4;50;8; ;2;4;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;62;62;01;1;1;0111;07;17;866,478572838468
4110244;1;1;1;70;2;4;50;8; ;2;4;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;62;62;01;1;1;0111;07;17;767,751362038082
4110272;1;3;1;70;2;4;50;8; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;62; ; ;1;1; ;07;17;1117,47183420961
4110280;1;4;1;70;2;8;48;1; ;2;20;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;54;95;1;1;9500;07;17;901,532387077697
4110285;1;2;1;70;2;2;60;1; ;2;2;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;98;98;51;1;1;5155;07;17;967,482719005737
4110295;1;4;1;70;2;8;48;2; ;2;240;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;21;75;1;1;7512;07;17;610,606057183931
4110295;1;7;1;70;2;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;1; ;07;17;610,606057183931
4110298;1;3;1;70;2;24;48;1; ;2;28;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;55;95;1;2;9500;07;17;612,013540514397
4110300;1;3;1;70;2;96;48;1; ;2;96;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;98;60;1;2;6031;07;17;958,612798383162
4110321;1;3;1;70;2;48;50;1; ;2;48;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;75;99;50;1;2;5020;07;17;800,528240910429
4110362;1;3;1;70;2;16;50;1; ;2;16;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;15;1;2;1551;07;17;800,528240910429
4110365;1;3;1;70;2;12;48;1; ;2;16;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;54;55;1;1;5511;07;17;653,660340009319
4110378;1;3;1;70;2;4;48;1; ;2;4;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;54;95;1;1;9500;07;17;1489,58180329235
4110398;1;2;1;70;2;3;40;2; ;2;150;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;13;54;95;1;1;9500;07;19;1230,64281277686
4110399;1;2;1;70;2;72;48;1; ;2;250;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;77;15;1;2;1589;07;19;1715,751233631
4110410;1;7;1;70;2;4;48;1; ;2;16;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;54;95;1;1;9500;07;19;858,482906124338
4110415;1;4;1;70;2;2;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;97;53;55;1;1;5521;07;19;1985,62339890158
4110431;1;3;1;70;2;4;48;1; ;2;3;1; ;9;2;5; ; ; ;1; ; ; ; ; ; ; ;1;689000;59;59;85;1;1;8511;07;19;1976,97997373278
4110435;1;2;1;70;2;12;48;1; ;2;84;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;54;95;1;1;9500;07;19;858,482906124338
4110445;1;3;1;70;2;24;48;1; ;2;28;1; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;02;02;74;1;2;7414;07;19;880,557284632913
4111549;1;1;1;70;2;144;24;1; ;2;192;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;13;55;80;1;2;8041;07;47;667,448997289573
4111575;1;3;1;70;2;2;45;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;1; ;07;47;1175,30716719276
