Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s2;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s20;P5210s21;P5210s22;P5210s24;P5220;P5220s1;P6006;P6008;P6007;P6007s1;Hogar;P4000;P4010;P4020;P4030s1;P4030s1a1;P4030s2;P4030s3;P4030s4;P4030s4a1;P4030s5;P4040;Regis;Area;Mes;Dpto;Fex_c_2011
4071209;1;3;2;1;1;1;2;1;4;3; ; ; ; ;470000;2;2;2;2;1;2;1;2;1;1;1;1;1;2;2;2;2;2;1;2;2;1;2; ;3;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;05;06;05;1218,12704047799
4071210;1;3;2;1;1;1;1;1;4;2; ;800000;150000000;650000; ;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;1;1;2;2;1;3; ;3;2; ;1;2;1;4;1;2;2;1;1;2;1;1;01;05;06;05;953,06326242654
4071211;1;4;3;1;1;1;1;1;3;1; ; ;98;600000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;4; ;5;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;05;06;05;1230,17719050253
4071212;1;3;2;1;1;1;1;1;3;1; ; ;30000000;300000; ;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;1;2;2;1;2; ;4;2; ;1;2;1;2;1;1;1;1;1;2;1;1;01;05;06;05;963,727118521171
4071213;1;3;3;1;1;1;1;1;3;3; ; ; ; ;250000;1;1;2;1;1;1;1;2;2;2;1;1;2;2;2;2;2;1;2;2;2;1;2; ;6;2; ;1;2;1;2;1;1;1;1;1;2;1;1;01;05;06;05;1317,58321965973
4071214;1;3;2;1;1;1;1;1;4;4; ; ; ;350000; ;2;2;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;1;2;2;1;2; ;4;2; ;1;2;1;2;1;1;2;1;1;2;1;1;01;05;06;05;1114,55782117595
4071215;1;5;3;1;1;1;1;1;4;1; ; ;45000000;430000; ;1;2;2;1;1;1;1;2;1;2;1;1;1;2;2;2;2;1;1;2;2;1;3; ;3;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;05;06;05;1223,2701152904
4071216;1;3;2;1;1;1;1;1;4;3; ; ; ; ;300000;1;1;2;2;1;1;1;2;2;1;1;2;2;2;2;2;2;1;2;2;2;1;2; ;2;2; ;1;2;1;4;1;2;2;1;1;2;1;1;01;05;06;05;1124,61660638304
4071217;1;4;2;1;1;1;1;1;3;1; ; ;40000000;280000; ;1;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2; ;3;2; ;1;2;1;2;1;1;1;1;1;2;1;1;01;05;06;05;1027,01221041361
4071218;1;1;1;1;1;1;1;3;4;4; ; ; ;200000; ;2;1;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;1;2; ;1;2;1;2;1;1;2;1;1;2;1;1;01;05;06;05;1031,92792080829
4071219;1;4;3;1;1;1;1;1;4;1; ; ;98;300000; ;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;7; ;7;2; ;1;2;1;2;1;1;2;1;1;2;1;1;01;05;06;05;549,688212333612
4071220;1;3;2;1;1;1;1;3;4;1; ; ;15000000;350000; ;1;1;1;1;1;1;1;2;1;2;1;1;2;1;2;2;1;1;2;1;2;1;2; ;4;1;1;1;2;1;4;1;1;2;1;1;2;1;1;01;05;06;05;947,910648491213
4071221;1;3;2;1;1;1;1;1;4;3; ; ; ; ;300000;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;7;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;05;06;05;729,990065575309
4071222;1;1;1;1;1;1;1;1;3;4; ; ; ;300000; ;1;1;1;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;1;2;2;1;2; ;3;2; ;1;2;1;2;1;1;1;1;1;2;1;1;01;05;06;05;1051,47986779325
4071223;1;4;3;1;1;1;1;1;3;1; ; ;40000000;200000; ;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;3; ;3;2; ;1;2;1;2;1;1;1;1;1;2;1;1;01;05;06;05;821,757465552218
4071224;1;4;2;1;1;1;1;1;3;3; ; ; ; ;300000;1;1;1;1;1;1;1;2;1;2;1;1;1;1;2;2;2;2;2;2;2;1;2; ;3;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;05;06;05;1207,45364526044
4071225;1;4;3;1;1;1;1;1;3;3; ; ; ; ;320000;1;1;1;1;1;2;1;1;2;1;1;2;2;2;2;2;2;2;1;2;2;1;2; ;5;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;05;06;05;1225,03411569012
4071226;1;5;4;1;1;1;1;1;3;1; ; ;60000000;350000; ;1;1;2;1;1;1;1;1;2;1;1;2;1;1;2;2;2;2;2;2;2;1;4; ;5;2; ;1;2;1;2;1;1;1;1;1;2;1;1;01;05;06;05;1290,42072662007
4071227;1;3;3;1;1;1;1;1;3;3; ; ; ; ;250000;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;2;1;2;2;2;2;1;3; ;3;2; ;1;1;1;4;1;1;1;1;1;2;1;1;01;05;06;05;1235,09290089721
4071228;1;5;3;1;1;1;1;1;3;1; ; ;98;800000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;1;4; ;4;2; ;1;1;1;4;1;2;1;1;1;2;1;1;01;05;06;05;1174,80135729349
4071229;1;4;3;1;1;1;1;1;4;1; ; ;98;400000; ;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;5; ;5;2; ;1;2;1;2;1;1;2;1;1;2;1;1;01;05;06;05;772,703862575748
4071230;1;3;2;1;1;1;1;1;4;1; ; ;40000000;400000; ;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2; ;2;2; ;1;1;1;2;1;2;2;1;1;2;1;1;01;05;06;05;1130,58142971566
4071231;1;4;3;1;1;1;1;1;4;1; ; ;98;98; ;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;1;2;2;2;1;3; ;4;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;05;06;05;1174,80135729349
4071232;1;3;2;1;1;1;1;1;4;1; ; ;98;100000; ;2;2;2;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2; ;2;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;05;06;05;1250,77932844495
4071233;1;2;2;1;1;1;1;1;4;2; ;250000;98;450000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2; ;3;2; ;1;2;1;4;1;2;2;1;1;2;1;1;01;05;06;05;1147,21010914291
4071234;1;3;2;1;1;1;1;1;3;1; ; ;50000000;300000; ;1;2;2;1;1;1;1;1;1;2;1;2;1;1;2;2;2;2;2;2;2;1;3; ;4;2; ;1;1;1;2;1;1;1;1;1;2;1;1;01;05;06;05;1174,80135729349
4071235;1;3;2;1;2;1;1;1;3;1; ; ;30000000;150000; ;2;1;2;2;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2; ;4;2; ;1;2;1;2;1;1;1;1;1;2;1;1;01;05;06;05;1051,71677133391
4071236;1;4;3;1;1;1;1;1;3;1; ; ;60000000;350000; ;1;1;2;2;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;2; ;3;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;05;06;05;1235,09290089721
4071237;1;4;3;1;1;1;1;1;3;3; ; ; ; ;450000;1;1;1;1;1;2;1;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;3; ;4;2; ;1;2;1;2;1;1;1;1;1;2;1;1;01;05;06;05;775,545095137425
4071238;1;4;3;1;1;1;1;1;4;1; ; ;30000000;300000; ;2;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;3; ;5;2; ;1;1;1;2;1;1;2;1;1;2;1;1;01;05;06;05;1008,3910881494
4071239;1;3;2;1;1;1;1;1;4;3; ; ; ; ;300000;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;3; ;3;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;05;06;05;797,089484959351
4071240;1;1;1;1;2;1;1;2;4;1; ; ;5000000;100000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ;2;2; ;1;2;1;3;1;1;2;1;1;2;1;1;01;05;06;05;1130,58142971566
