DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4195209;1;2;1;70;2;4;10;4; ;2;12;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5261;11;63;506,788750431135
4195218;1;3;1;70;2;32;48;1; ;2;52;4; ;1;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;33;33;74;1;2;7412;11;63;530,036189996452
4195224;1;4;1;70;2;2;25;1; ;2;28;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;45;52;1;1;5219;11;63;1018,16635552874
4195224;1;6;1;70;2;4;48;1; ;2;28;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;80;1;1;8012;11;63;1018,16635552874
4195228;1;4;1;70;2;40;20;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;97;55;1;2;5521;11;63;1024,62691631836
4195229;1;1;1;70;2;2;45;8; ;2;2;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;440000;62;62;01;1;1;0121;11;63;1334,96417988974
4195314;1;2;1;70;2;4;48;2; ;2;4;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;59;59;85;1;1;8512;11;68;2397,55802956115
4195345;1;2;1;70;2;22;40;4; ;2;22;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;93;93;45;1;2;4552;11;13;1606,51217329477
4198243;1;5;1;70;2;2;25;8; ;2;16;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;62;62;01;1;1;0111;11;63;1054,43763577462
4198253;1;1;1;70;2;1;50;8; ;2;44;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;62;62;01;1;1;0111;11;63;414,801544445572
4198260;1;2;1;70;2;4;12;4; ;2;312;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;41;41;52;1;1;5229;11;63;872,135436882438
4198286;1;1;1;70;2;28;50;1; ;2;28;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;32;85;1;2;8511;11;70;1691,75357939504
