DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;DPTO;fex_c_2011
4167994;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;68;1319,53876330162
4167995;1;1;1;50;2; ; ;1;4; ;2;2;2;2;1;11; ; ; ; ; ; ;10;68;658,756250904866
4167995;1;2;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;10;68;658,756250904866
4167996;1;1;1;50;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;10;68;1610,79368031602
4167996;1;2;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;68;1610,79368031602
4167996;1;3;1;50;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;68;1610,79368031602
4167996;1;4;1;50;2; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;68;1610,79368031602
4167996;1;5;1;50;2; ; ;5;4; ;2;2;2;2;2; ; ; ; ; ; ; ;10;68;1610,79368031602
4167996;1;8;1;50;2; ; ;8;6;DESCANSAR POR ENFERMEDAD;2;2;2;2;2; ; ; ; ; ; ; ;10;68;1610,79368031602
4167997;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;68;1376,38468937331
4167997;1;2;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;68;1376,38468937331
4167997;1;3;1;50;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;10;68;1376,38468937331
4167998;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;68;895,609563090133
4167998;1;2;1;50;2; ; ;2;4; ;2;2;1; ; ; ; ; ; ; ; ; ;10;68;895,609563090133
4167998;1;3;1;50;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;68;895,609563090133
4167998;1;4;1;50;2; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;10;68;895,609563090133
4167998;1;5;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;10;68;895,609563090133
4167998;1;6;1;50;2;1; ;6;2; ;2;2;2;1; ; ; ; ; ; ; ;1;10;68;895,609563090133
4167999;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;68;1009,36380027636
4167999;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;10;68;1009,36380027636
4167999;1;3;1;50;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;68;1009,36380027636
4168000;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;68;846,301980819498
4168000;1;2;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;68;846,301980819498
4168000;1;3;1;50;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;10;68;846,301980819498
4168001;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;68;705,807552877856
4168001;1;2;1;50;2; ; ;2;6;TRABAJADOR FAMILIAR SIN REMUNERACION;2;2;1; ; ; ; ; ; ; ; ; ;10;68;705,807552877856
4168001;1;3;1;50;2; ; ;3;3; ;2;2;1; ; ; ; ; ; ; ; ; ;10;68;705,807552877856
4168002;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;68;1921,86603845072
4168002;1;2;1;50;2; ; ;2;4; ;2;1; ; ; ; ; ; ; ; ; ; ;10;68;1921,86603845072
4168002;2;1;2;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;68;1921,86603845072
4168002;2;2;2;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;10;68;1921,86603845072
4168003;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10;68;565,996516693492
