DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4307261;1;4;1;70;2;2;48;1; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;54;85;1;1;8531;04;68;778,896779227779
4307355;1;2;1;70;2;16;20;1; ;2;16;2; ;3;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;55;52;80;1;2;8012;04;15;1103,02834968119
4307359;1;2;1;70;2;28;40;8; ;2;28;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;250000;62;62;01;1;2;0140;04;15;1142,63902737651
4307359;1;3;1;70;2;104;20;1; ;2;208;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;54;95;1;2;9500;04;15;1142,63902737651
4307371;1;1;1;70;2;4;48;2; ;2;4;1; ;3;2;6; ; ; ; ; ; ; ;1; ; ; ;1;50000;55;62;01;1;1;0140;04;15;1867,34228891479
4307375;1;1;1;70;2;16;20;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;61;61;01;1;2;0140;04;15;964,092057006785
4310278;1;2;1;70;2;108;40;2; ;2;108;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;80;1;2;8012;04;19;645,125468582693
4310284;1;2;1;70;2;4;40;3; ;2;2;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;180000;54;53;15;1;1;1551;04;19;1175,67415535707
4310285;1;2;1;70;2;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;04;19;932,399508339094
4310344;2;2;2;70;2;4;40;2; ;2;96;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;21;41;1;1;4100;04;19;645,125468582693
4310348;1;1;1;70;2;48;40;1; ;2;96;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;2;5521;04;19;645,125468582693
4310440;1;3;1;70;2;12;24;1; ;2;16;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;54;95;1;1;9500;04;05;5703,03896471149
4310441;1;2;1;70;2;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;1; ;04;05;6818,44694606152
4310458;1;5;1;70;2;4;24;1; ;2;104;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5236;04;05;1368,5393057413
4310463;1;2;1;70;2;16;48;1; ;2;28;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;15;1;2;1511;04;05;1476,8001870623
4310485;1;2;1;70;2;4;48;1; ;2;56;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;62;61;01;1;1;0140;04;52;1062,50483120026
4310486;1;2;1;70;2;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;62; ; ;1;1; ;04;52;1171,76017989992
4310490;1;1;1;70;2;2;50;1; ;2;2;5; ;5;2;3; ; ; ; ; ; ; ; ; ; ;1;1;900000;95;95;45;1;1;4522;04;52;1815,62020619717
4310490;1;2;1;70;2;6;40;1; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;59;79;52;1;1;5271;04;52;1815,62020619717
4310500;1;1;1;70;2;6;30;3; ;2;7;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;74;1;1;7493;04;52;1280,68418441163
4310509;1;2;1;70;2;8;35;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;1; ;04;52;2208,85698430868
4310513;1;3;1;70;2;8;35;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4521;04;52;810,509411245981
4310598;1;5;1;70;2;4;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;1; ;04;52;2606,45520934845
4310598;1;6;1;70;2;112;20;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;57; ; ;1;2; ;04;52;2606,45520934845
4310599;1;3;1;70;2;4;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;87;87;50;1;1;5020;04;52;1067,04908702035
4310612;1;2;1;70;2;104;40;3; ;2;208;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;54;95;1;2;9500;04;52;972,791889161524
4310613;1;3;1;70;2;13;28;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;04;52;1068,25481312729
4310614;1;2;1;70;2;3;40;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;350000;61;61;01;1;1;0118;04;52;1200,60442863646
4310615;1;1;1;70;2;104;24;3; ;2;288;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;79;17;1;2;1749;04;52;1612,98003213181
4310664;1;1;1;70;2;13;40;1; ;2;13;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;91;1;1;9199;04;52;1709,85069329103
4310667;1;3;1;70;2;13;40;1; ;2;13;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;32;32;75;1;1;7512;04;52;742,073784698457
4310673;1;2;1;70;2;4;16;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;60000;61;61;01;1;1;0140;04;52;1202,98436381954
4310678;1;3;1;70;2;1;40;1; ;2;1;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;77;53;55;1;1;5521;04;52;2115,27894787876
4310688;1;2;1;70;2;3;50;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;1; ;04;54;1671,55522871124
4310689;1;1;1;70;2;8;40;1; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;250000;99;55;74;1;1;7493;04;54;1001,45924514921
