DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;DPTO;fex_c_2011
4395356;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;737717;2;1;76;1250,42620425595
4395358;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;76;1305,32329958908
4395358;1;6;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ;99;2;1;76;1305,32329958908
4395359;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;76;820,334494202207
4395360;1;2;1;80;2;1;1;4; ;2; ; ;11; ;2; ;2; ; ; ;99;2;1;76;820,334494202207
4395361;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;76;645,72498789235
4396201;1;1;1;80;2;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ;99;3;1;76;821,453359837329
4396201;1;2;1;80;2;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;76;821,453359837329
4396205;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ;737717;2;1;76;2540,20118304241
4396205;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;76;2540,20118304241
4396205;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;76;2540,20118304241
4396206;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;76;3942,36483969861
4396206;1;4;1;80;2;1;1;7; ;2; ; ;8; ;2; ;2; ;1;48;480000;2;1;76;3942,36483969861
4396207;1;2;1;80;2;1;3;9;RENUNCIO POR CAMBIO DE MUNICIPIO DE RESIDENCIA;2; ; ;9; ;2; ;2; ;2; ;500000;2;1;76;3987,63595569101
4396208;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;36;500000;2;1;76;3646,13480337879
4396208;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;76;3646,13480337879
4396208;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;76;3646,13480337879
4396208;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;76;3646,13480337879
4396210;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;76;3982,67248811484
4396211;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;800000;2;1;76;1938,67807427797
4396212;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;76;3646,13480337879
4396213;1;1;1;80;2;1;4;6; ;2; ; ;4; ;2; ;2; ; ; ;200000;2;1;76;2524,84503044757
4396214;1;1;1;80;2;1;3;6; ;2; ; ;9; ;2; ;2; ;1;14;100000;2;1;76;5428,90780062683
4396215;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;76;1914,1551187995
4396216;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;76;1938,67807427797
4396218;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;737717; ;1;76;1998,55215187233
