"DIRECTORIO","SECUENCIA_P","ORDEN","HOGAR","REGIS","CLASE","P7250","P7260","P7280","P7280S1","P7310","P7320","P7350","P7350S1","P7360","P9460","P7390","P7390S1","P7420","P7420S1","P7420S2","P7420S3","P7420S4","P7420S5","P7420S6","P7420S7","P7420S7A1","P7420S8","P7422","P7422S1","P1806","P1519","P1883","OFICIO1","OFICIO2","RAMA2D_D","DSI","DSCY","RAMA4D_D","MES","DPTO","fex_c_2011"
4494592,1,1,1,"70","2",4,56,1,"",2,36,1,"",4,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,600000,2,1.79769313486232e+308,"53","53","80",1,1,"8045","12","76",2850.27628668127
4494592,1,3,1,"70","2",1,48,1,"",1,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",".",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,".",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,600000,1.79769313486232e+308,1.79769313486232e+308,"98","","",1,1,"","12","76",2850.27628668127
4494593,1,2,1,"70","2",4,48,4,"",2,44,4,"",1,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,300000,2,1.79769313486232e+308,"45","45","15",1,1,"1551","12","76",3227.92211086016
4494594,1,4,1,"70","2",1,50,4,"",1,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",".",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,".",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,300000,1.79769313486232e+308,1.79769313486232e+308,"97","","",1,1,"","12","76",4593.38210710395
4494597,1,1,1,"70","2",1,40,1,"",2,1,1,"",9,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,1,100000,737000,2,1.79769313486232e+308,"77","77","55",1,1,"5529","12","76",2211.4127554963
4495614,1,4,1,"70","2",16,48,1,"",2,52,1,"",9,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"59","59","85",1,2,"8511","12","23",2144.24267045581
4495615,1,1,1,"70","2",3,48,1,"",2,5,1,"",2,2,7,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,1,280000,300000,2,1.79769313486232e+308,"95","95","45",1,1,"4521","12","23",2593.92901536448
4495616,1,1,1,"70","2",12,40,1,"",2,12,1,"",2,2,2,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"95","95","45",1,1,"4521","12","23",2593.92901536448
4495619,1,4,1,"70","2",24,48,1,"",2,30,3,"",1,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,500000,2,1.79769313486232e+308,"45","54","95",1,2,"9500","12","23",4308.68539755439
4495620,1,2,1,"70","2",52,30,3,"",2,52,3,"",1,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,500000,2,1.79769313486232e+308,"54","54","95",1,2,"9500","12","23",3964.3195413004
