DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;clase;MES;DPTO;fex_c_2011;AREA
4251151;1;1;1;90;2; ;1;10;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1077,15851560942;05
4251151;1;2;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1077,15851560942;05
4251151;1;3;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1077,15851560942;05
4251152;1;1;1;90;2; ;1;28;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;942,401395859436;05
4251152;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;942,401395859436;05
4251153;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1340,82680734168;05
4251153;1;3;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1340,82680734168;05
4251153;1;4;1;90;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1340,82680734168;05
4251154;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1050,3656514957;05
4251155;1;1;1;90;2; ;1;20;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1050,3656514957;05
4251156;1;1;1;90;2; ;2; ;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1327,70815353417;05
4251156;1;2;1;90;2; ;1;28;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1327,70815353417;05
4251157;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;10;2; ;2; ;1;02;05;978,412854942074;05
4251157;1;2;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;978,412854942074;05
4251157;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;978,412854942074;05
4251157;1;4;1;90;2; ;1;12;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;978,412854942074;05
4251157;1;6;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;978,412854942074;05
4251158;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1028,81964647171;05
4251158;1;2;1;90;2; ;1;27;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1028,81964647171;05
4251159;1;1;1;90;2; ;1;3;2; ;1;16;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1932,76706963862;05
4251159;1;2;1;90;2; ;1;30;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1932,76706963862;05
4251160;1;1;1;90;2; ;1;7;2; ;1;10;2; ;2; ;1;4;2; ;2; ;2; ;1;02;05;1174,28637590084;05
4251160;1;2;1;90;2; ;1;21;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1174,28637590084;05
4251160;1;4;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1174,28637590084;05
4251161;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;1;3;2; ;2; ;2; ;1;02;05;1252,12629826674;05
4251162;1;1;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1252,12629826674;05
4251163;1;1;1;90;2; ;1;2;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1873,05726231495;05
4251163;1;2;1;90;2; ;1;35;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1873,05726231495;05
4251164;1;1;1;90;2; ;1;14;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1230,58029324275;05
4251164;1;2;1;90;2; ;1;21;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1230,58029324275;05
4251165;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;1257,86681155174;05
4251166;1;1;1;90;2; ;1;28;1;7;2; ;1;14;2; ;2; ;2; ;2; ;2; ;1;02;05;1050,3656514957;05
4251167;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;973,165995852338;05
4251167;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;973,165995852338;05
4251168;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;906,162468831281;05
4251168;1;2;1;90;2; ;1;18;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ;1;02;05;906,162468831281;05
