DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4367222;1;1;1;70;05;1;48;1; ;2;1;1; ;9;2;9;POR COBERTURA; ; ; ; ; ; ; ; ; ;1;1;1100000;850000;2; ;97;97;15;1;1;1543;07;05;1344,47846298005
4367224;1;3;1;70;05;48;48;1; ;2;98;1;5511;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;12;39;55;1;2;5511;07;05;920,967748241743
4367235;1;2;1;70;05;25;48;1; ;2;25;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;737350;2; ;45;45;52;1;2;5232;07;05;1106,18190908498
4367240;1;1;1;70;05;1;48;1; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;500000;737717;2; ;95;97;63;1;1;6310;07;05;1333,49979171082
4367254;1;1;1;70;05;6;48;1; ;2;36;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;21;32;50;1;1;5051;07;05;962,002693681283
4367257;1;1;1;70;05;104;48;4; ;2;72;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;41;41;52;1;2;5233;07;05;1012,59784021083
4367257;1;3;1;70;05;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;4000000; ; ;21; ; ;1;1; ;07;05;1012,59784021083
4367263;1;2;1;70;05;52;48;1; ;2;52;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;44;39;85;1;2;8513;07;05;835,249734725166
4367267;1;1;1;70;05;52;24;1; ;2;12;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;737000;2; ;55;54;95;1;2;9500;07;05;1333,49979171082
4367269;1;3;1;70;05;16;48;1; ;2;80;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;45;45;52;1;2;5211;07;05;1106,18190908498
4367270;1;4;1;70;05;2;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;737717; ; ;45; ; ;1;1; ;07;05;1118,6881207875
4367283;1;4;1;70;05;156;48;1; ;2;96;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;09;53;55;1;2;5521;07;05;790,200002330043
4367293;1;4;1;70;05;28;48;1; ;2;28;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;737000;2; ;98;98;60;1;2;6021;07;05;936,882628065256
4367294;1;2;1;70;05;50;48;1; ;2;24;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;98;98;60;1;2;6021;07;05;1177,14932267462
4367295;1;3;1;70;05;32;48;1; ;2;32;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;02;02;85;1;2;8511;07;05;1341,84778895796
