DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4284673;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;63;1719,36920926243
4284677;1;2;1;80;2;1;1;6; ;2; ; ;9; ;2; ;2; ;1;03;63;3228,26843818932
4284680;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;63;1475,51828515562
4284681;1;1;1;80;2;1;2;9;LA EDAD;2; ; ;8; ;2; ;2; ;1;03;63;4354,80183761912
4284681;1;4;1;80;2;1;1;4; ;2; ; ;4; ;2; ;2; ;1;03;63;4354,80183761912
4284682;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;63;2890,78360145432
4284683;1;1;1;80;2;1;1;7; ;2; ; ;1; ;2; ;2; ;1;03;63;2425,1818471862
4284684;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;63;3095,58960074898
4284684;1;4;1;80;2;1;1;8; ;2; ; ;2; ; ; ;2; ;1;03;63;3095,58960074898
4284685;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;63;2560,37443409806
4284685;1;3;1;80;2;1;1;2; ;2; ; ;2; ;2; ;2; ;1;03;63;2560,37443409806
4284685;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;63;2560,37443409806
4284685;2;2;2;80;2;2; ; ; ; ;1;2;9; ;2; ;2; ;1;03;63;2560,37443409806
4284686;1;2;1;80;2;1;4;4; ;2; ; ;4; ;1;4;2; ;1;03;63;2545,57852345035
4284687;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;63;2112,19922978598
4284687;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;63;2112,19922978598
4284700;1;2;1;80;2;1;3;6; ;2; ; ;9; ;2; ;2; ;1;03;63;1319,06857359565
4284705;1;2;1;80;2;1;4;7; ;2; ; ;9; ;2; ;2; ;1;03;63;2378,02370866407
4284709;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;03;63;1350,88433006866
4284709;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;63;1350,88433006866
4284709;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;63;1350,88433006866
4284710;1;2;1;80;2;1;1;8; ;2; ; ;2; ;2; ;2; ;1;03;63;1475,51828515562
4284710;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;63;1475,51828515562
4284710;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;63;1475,51828515562
4284716;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;63;689,409165801764
4284716;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;63;689,409165801764
4284716;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;63;689,409165801764
4284717;1;2;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ;1;03;63;689,409165801764
4284717;1;3;1;80;2;2; ; ; ; ;1;3;2; ;2; ;2; ;1;03;63;689,409165801764
