DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011;AREA
4319369;1;1;1;70;1;4;48;1; ;2;4;1; ;8;2;4; ; ; ; ;1; ; ; ; ; ; ;2; ;30;30;52;1;1;5211;05;76;3630,36268961015; 
4319370;1;4;1;70;1;8;45;1; ;2;8;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;51;1;1;5125;05;76;4523,63812529215; 
4319426;1;1;1;70;1;4;50;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;150000;95;95;45;1;1;4521;05;05;1173,21810914784;05
4319438;1;2;1;70;1;52;48;1; ;2;52;1; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;03;02;70;1;2;7020;05;05;1148,07167031441;05
4319445;1;2;1;70;1;58;30;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;19; ; ;1;2; ;05;05;973,176903325101;05
4319451;1;3;1;70;1;4;48;1; ;2;20;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;52;1;1;5241;05;05;1318,00475212855;05
4319454;1;2;1;70;1;8;48;1; ;2;8;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;97;97;18;1;1;1810;05;05;1295,68796315737;05
4319459;1;3;1;70;1;18;48;1; ;2;17;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;85;1;2;8515;05;05;955,989143960585;05
4319460;1;3;1;70;1;16;48;1; ;2;64;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;12;45;52;1;2;5234;05;05;1063,78542313089;05
4319482;1;3;1;70;1;4;48;1; ;2;6;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;15;1;1;1594;05;05;1301,71227674249;05
4319485;1;2;1;70;1;4;48;1; ;2;200;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;39;41;52;1;1;5233;05;05;1109,96042780724;05
4319493;1;3;1;70;1;4;24;1; ;2;4;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;33;33;66;1;1;6602;05;05;1192,27959072555;05
4319498;1;3;1;70;1;2;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;05;05;689,755524234729;05
4319499;1;2;1;70;1;12;48;1; ;2;16;2; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;45;58;75;1;1;7522;05;05;950,21397159839;05
4319512;1;5;1;70;1;32;32;1; ;2;14;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;33;45;52;1;2;5233;05;05;966,401364284184;05
4319513;1;3;1;70;1;24;48;1; ;2;24;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;97;95;45;1;2;4521;05;05;1245,59908588163;05
4319517;1;3;1;70;1;4;48;1; ;2;8;1; ;7;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;45;13;80;1;1;8060;05;05;1303,97732004486;05
4319519;1;2;1;70;1;52;48;8; ;2;52;8; ;2;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;60;60;01;1;2;0111;05;05;1156,19459902888;05
