DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4519676;1;3;1;70;2;12;48;8; ;2;12;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;62;62;01;1;1;01;0121;23;2210,78353643703
4519693;1;2;1;70;2;74;48;1; ;2;74;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;58;58;70;1;2;01;7020;23;1810,63295425134
4519698;1;1;1;70;2;12;48;1; ;2;12;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;50;50;55;1;1;01;5512;23;2343,25770920152
4519699;1;1;1;70;2;6;40;1; ;2;5;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;95;62;01;1;1;01;0118;23;2106,98977743965
4519706;1;3;1;70;2;3;45;3; ;2;40;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;54;54;95;1;1;01;9500;23;1136,05253690741
4523935;1;2;1;70;2;104;48;1; ;2;4;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;55;52;1;2;01;5235;76;825,063648221009
4523942;1;1;1;70;2;8;48;1; ;2;8;1; ;9;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;33;39;64;1;1;01;6421;76;1305,01833305262
4523942;1;2;1;70;2;4;48;4; ;2;49;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1700000;2; ;19;19;85;1;1;01;8512;76;1305,01833305262
4523950;1;3;1;70;2;1;60;3; ;2;26;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;54;95;1;1;01;9500;76;1358,21320022584
4526208;1;4;1;70;2;4;48;1; ;2;4;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;98;737717;2; ;57;57;93;1;1;01;9302;05;959,316708878431
4526208;1;8;1;70;2;1;24;3; ;2;1;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;240000;350000;2; ;59;59;95;1;1;01;9500;05;959,316708878431
4526211;1;2;1;70;2;5;48;1; ;2;5;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;95;95;45;1;1;01;4521;05;1214,04885049416
4526214;1;1;1;70;2;24;48;1; ;2;25;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;1;90000;787000;2; ;97;97;45;1;2;01;4522;05;1495,34421942215
4526217;1;2;1;70;2;2;48;1; ;2;2;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;1;650000;850000;2; ;70;70;51;1;1;01;5137;05;665,677413534663
4526217;1;3;1;70;2;1;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;787000; ; ;45; ; ;1;1;01; ;05;665,677413534663
4526282;1;1;1;70;2;8;48;3; ;2;30;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;787000;2; ;54;54;95;1;1;01;9500;05;2910,43173024123
4526282;1;2;1;70;2;10;48;1; ;2;50;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;780000;2; ;55;54;95;1;1;01;9500;05;2910,43173024123
4526283;1;3;1;70;2;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;200000; ; ;45; ; ;1;1;01; ;05;4301,97622436341
4526284;1;5;1;70;2;2;24;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;61;61;01;1;1;01;0140;05;3863,93504106583
4526287;1;2;1;70;2;2;48;4; ;2;2;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;70000;737717;2; ;71;71;13;1;1;01;1320;05;5658,97477811688
4526290;1;1;1;70;2;52;48;2; ;2;156;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;59;39;85;1;2;01;8511;05;3924,83952055275
4529339;1;2;1;70;2;48;48;1; ;2;48;2; ;9;2;6; ; ; ; ; ; ; ; ; ; ;1;1;700000;737717;2; ;12;39;75;1;2;01;7523;19;2564,36061087379
4529348;1;4;1;70;2;25;24;3; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;300000;2; ;54;61;01;1;2;01;0111;19;865,883464190366
4529356;1;3;1;70;2;12;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;737717; ; ;58; ; ;1;1;01; ;19;1310,50974305625
4529360;1;3;1;70;2;4;48;1; ;2;6;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;93;93;45;1;1;01;4552;19;1452,63084424236
4529361;1;2;1;70;2;99;58;3; ;2;700;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;600000;2; ;54;54;85;1;2;01;8532;19;1672,61104567676
4529361;1;4;1;70;2;4;48;1; ;2;14;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;39;39;66;1;1;01;6601;19;1672,61104567676
4529366;1;5;1;70;2;52;40;2; ;2;52;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;13;13;80;1;2;01;8042;19;724,358998718823
4529376;1;2;1;70;2;4;48;3; ;2;10;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;54;53;45;1;1;01;4521;19;1109,81150179969
4529480;1;4;1;70;2;8;50;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;61;61;01;1;1;01;0119;54;1628,4458274653
4529663;1;1;1;70;2;3;48;3; ;2;3;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;60000;600000;2; ;54;54;95;1;1;01;9500;66;406,846685967104
4529705;1;1;1;70;2;3;48;2; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;345000;300000;2; ;54;54;85;1;1;01;8532;66;525,820452924877
4529714;1;3;1;70;2;2;50;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;3000000; ; ;06; ; ;1;1;01; ;66;1280,37559738105
4529718;1;3;1;70;2;1;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2200000;1;1;13;39;80;1;1;01;8050;66;670,927173691832
4529729;1;2;1;70;2;4;48;1; ;2;4;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;800000;800000;1;1;38;30;74;1;1;01;7499;66;1128,76568378317
4529732;1;3;1;70;2;5;50;1; ;2;5;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;95;95;45;1;1;01;4521;66;1393,47319235087
4529732;1;4;1;70;2;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;700000; ; ;45; ; ;1;2;01; ;66;1393,47319235087
4529787;1;2;1;70;2;8;48;1; ;2;56;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;79;97;51;1;1;01;5135;73;2002,27627894945
4529795;1;1;1;70;2;4;20;1; ;2;156;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;45;99;52;1;1;01;5223;73;3157,67693812503
4529798;1;2;1;70;2;24;25;4; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;50000;500000;2; ;55;55;74;1;2;01;7493;73;2708,51829160701
4529802;1;2;1;70;2;48;24;4; ;2;48;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;55;55;74;1;2;01;7493;73;1399,5747962071
4529802;1;4;1;70;2;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;45; ; ;1;1;01; ;73;1399,5747962071
4529804;1;2;1;70;2;14;56;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;58; ; ;1;2;01; ;73;2512,72252635807
4529805;1;2;1;70;2;48;24;3; ;2;48;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;54;54;74;1;2;01;7493;73;2708,51829160701
4529822;1;2;1;70;2;2;30;4; ;2;8;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;55;56;93;1;1;01;9301;73;2102,61935472351
4529822;1;3;1;70;2;2;48;1; ;2;3;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;760000;700000;2; ;97;55;51;1;1;01;5141;73;2102,61935472351
4529822;1;4;1;70;2;104;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;700000; ; ;44; ; ;1;2;01; ;73;2102,61935472351
4529883;1;3;1;70;2;48;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;33; ; ;1;2;01; ;73;3453,78011050501
4529884;1;2;1;70;2;3;40;4; ;2;4;4; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;789000;800000;1;1;53;53;85;1;1;01;8531;73;2992,52088194771
4529885;1;3;1;70;2;3;45;1; ;2;11;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;64;05;1;1;01;0501;73;2182,78669842654
4529888;1;2;1;70;2;3;56;1; ;2;3;1; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;1;1200000;1000000;2; ;98;98;60;1;1;01;6042;73;1525,32968392615
4529999;1;1;1;70;2;3;48;8; ;2;3;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;781242;2; ;62;95;01;1;1;01;0111;05;5936,8691599588
4530020;1;2;1;70;2;192;48;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;782200; ; ;54; ; ;1;2;01; ;05;5293,0363380924
4530061;1;2;1;70;2;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;782000; ; ;39; ; ;1;1;01; ;05;5241,9381646746
4530085;1;1;1;70;2;2;48;1; ;2;2;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;1;98;782000;2; ;97;97;60;1;1;01;6042;05;3887,14209865729
4530176;1;3;1;70;2;3;42;4; ;2;3;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;250000;300000; ; ;61;61;01;1;1;01;0121;18;1192,98911490252
4531199;1;2;1;70;2;4;48;2; ;2;16;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;58;97;52;1;1;01;5223;20;1084,19918519882
4531229;1;2;1;70;2;4;60;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;700000; ; ;58; ; ;1;1;01; ;20;1230,29699796644
4531230;1;4;1;70;2;4;40;4; ;2;4;4; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;1;105000;800000;2; ;62;62;01;1;1;01;0115;20;1084,30359460085
4531302;1;3;1;70;2;12;44;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;780240;2; ;45;03;85;1;1;01;8532;20;1646,02615398457
4531304;1;3;1;70;2;5;48;1; ;2;7;1; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;06;13;80;1;1;01;8050;20;1019,15368301099
4531305;1;1;1;70;2;7;48;4; ;2;6;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;700000;2; ;85;61;01;1;1;01;0115;20;1045,75413835226
4531307;1;2;1;70;2;2;24;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;19;19;80;1;1;01;8060;20;1646,02615398457
4531420;1;1;1;70;2;52;40;3; ;2;52;3; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;400000;2; ;54;54;95;1;2;01;9500;23;1937,90763435168
4531421;1;3;1;70;2;3;48;1; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;13;13;80;1;1;01;8011;23;1125,44550170251
4531423;1;2;1;70;2;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;500000; ; ;45; ; ;1;1;01; ;23;2120,60315529417
