DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4658855;1;2;1;80;05;1;2;9;POR EMBARAZO;2; ; ;9; ;2; ;2; ;2; ;781200;2;1;07;05;1290,49223636341
4658856;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;48;781242;2;1;07;05;1226,85176954135
4658857;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;07;05;1245,47737272859
4658858;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;07;05;1463,39054505098
4658860;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;07;05;1086,66855074226
4658861;1;5;1;80;05;1;1;2; ;2; ; ;2; ;2; ;2; ;1;24;781242;2;1;07;05;970,53026691869
4658862;1;2;1;80;05;1;2;3; ;1; ;2;9; ;2; ;2; ;1;48;781242;2;1;07;05;1500,13009638359
4658863;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;05;1168,373834668
4658863;1;2;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;07;05;1168,373834668
4658864;1;5;1;80;05;1;1;4; ;2; ; ;4; ;2; ;2; ;2; ;781242;2;1;07;05;1053,87516933778
4658865;1;3;1;80;05;1;1;2; ;2; ; ;2; ;2; ;1;300000; ; ; ;2;1;07;05;895,741893855846
4658867;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;07;05;1318,95627207998
4658869;1;2;1;80;05;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;05;1182,51245241093
4658874;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;07;05;1173,59280608892
4658874;1;7;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;07;05;1173,59280608892
4658875;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;07;05;990,824649073591
4658875;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;07;05;990,824649073591
4658877;1;1;1;80;05;1;4;5; ;2; ; ;8; ;3; ;2; ;1;48;800000;3;1;07;05;1209,49896784691
4658877;1;2;1;80;05;1;1;8; ;2; ; ;1; ;2; ;2; ;1;24;781242;2;1;07;05;1209,49896784691
4658877;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;07;05;1209,49896784691
4658878;1;2;1;80;05;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;05;1142,93697935842
4658880;1;1;1;80;05;1;4;5; ;2; ; ;8; ;3; ;2; ; ; ; ;3;1;07;05;873,376891538564
4658880;1;2;1;80;05;1;4;3; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;07;05;873,376891538564
4658880;1;4;1;80;05;1;1;8; ;2; ; ;2; ;2; ;1;781242;1;24;781242;2;1;07;05;873,376891538564
4658880;1;5;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;07;05;873,376891538564
4658881;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;07;05;972,874592390749
