DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011;AREA
4561959;1;2;1;80;1;1;4;4; ;1; ;2;8; ;2; ;2; ;1;48;781000;2;1;03;05;1174,95201149922;05
4561961;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;994,042537632145;05
4561961;1;6;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;994,042537632145;05
4561962;1;2;1;80;1;1;1;2; ;2; ; ;2; ;2; ;2; ;1;24;300000;2;1;03;05;1461,12872053913;05
4561963;1;2;1;80;1;1;1;4; ;2; ; ;4; ;2; ;2; ;2; ;98;2;1;03;05;1174,95201149922;05
4561964;1;1;1;80;1;1;4;5; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;03;05;1124,08191290872;05
4561964;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1124,08191290872;05
4561965;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1340,57206486829;05
4561965;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;1340,57206486829;05
4561968;1;1;1;80;1;1;4;8; ;2; ; ;8; ;2; ;2; ;2; ;98;2;1;03;05;776,894666286075;05
4561968;1;5;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;776,894666286075;05
4561970;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;749,595268389753;05
4561970;1;6;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;05;749,595268389753;05
4561971;1;1;1;80;1;1;4;4; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;03;05;1194,93980807974;05
4561971;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1194,93980807974;05
4561972;1;1;1;80;1;1;4;3; ;2; ; ;9; ;1;4;2; ;1;48;781242;1;1;03;05;1072,16264891264;05
4561972;1;4;1;80;1;2; ; ; ; ;1;1;2; ;2; ;2; ;2; ;781242;2;1;03;05;1072,16264891264;05
4561973;1;2;1;80;1;1;4;8; ;1; ;2;12;NO TIENE RECURSOS PARA INSTALAR NEGOCIO;3; ;2; ;1;48;800000;3;1;03;05;1174,95201149922;05
4561976;1;5;1;80;1;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;05;1823,2448061416;05
4561976;1;6;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1823,2448061416;05
4561977;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;832,81739933161;05
4561977;1;2;1;80;1;1;4;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;832,81739933161;05
4561978;1;2;1;80;1;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1221,35122037961;05
4561979;1;3;1;80;1;1;1;6; ;2; ; ;12;PORQUE ESTA EN TRAMITES DE DOCUMENTACION;2; ;1;98;1;48;781242;2;1;03;05;1155,16056480999;05
4561980;1;1;1;80;1;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;05;1829,69501129621;05
4561980;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1829,69501129621;05
4561981;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;721,131095485278;05
4561981;1;2;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;05;721,131095485278;05
4561982;1;2;1;80;1;1;1;2; ;2; ; ;2; ;2; ;2; ;1;24;480000;2;1;03;05;1194,91321864449;05
4561983;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1183,84895275898;05
4561984;1;1;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;05;976,002920015017;05
4561985;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;821,09996110546;05
4561985;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;821,09996110546;05
4561985;1;5;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;821,09996110546;05
4561985;1;6;1;80;1;2; ; ; ; ;1;1;2; ;2; ;2; ;2; ;781242;2;1;03;05;821,09996110546;05
4561985;1;7;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;821,09996110546;05
4561988;1;1;1;80;1;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;03;05;1318,13753218263;05
4561989;1;1;1;80;1;1;4;5; ;2; ; ;4; ;3; ;2; ;1;40;781200;3;1;03;05;1194,93980807974;05
4561990;1;2;1;80;1;1;4;6; ;2; ; ;9; ;1; ;2; ; ; ; ;2;1;03;05;893,201354008957;05
4561990;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;893,201354008957;05
4561990;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;893,201354008957;05
4561991;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;1141,62297338409;05
4561992;1;1;1;80;1;1;2;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;05;995,990716595534;05
4561994;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;700,975556013104;05
4561994;1;2;1;80;1;1;4;8; ;2; ; ;8; ;1; ;2; ;2; ;781242;2;1;03;05;700,975556013104;05
4561994;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;700,975556013104;05
4561995;1;1;1;80;1;1;4;5; ;2; ; ;8; ;3; ;2; ;1;48;781242;3;1;03;05;1194,93980807974;05
4561997;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1172,70162528536;05
4561998;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1505,54861397502;05
4561999;1;2;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;864,316616168685;05
4562000;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1358,11312534366;05
4562001;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1121,63517680357;05
4562003;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1197,79144152724;05
4562004;1;2;1;80;1;1;4;3; ;2; ; ;8; ;2; ;2; ;1;40;800000;2;1;03;05;1183,84895275898;05
4562004;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;1183,84895275898;05
4562005;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1011,58359810752;05
4562005;2;2;2;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1011,58359810752;05
