DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4755774;1;2;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;11;05;926,283034446439
4755776;1;2;1;80;05;1;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;11;05;1000,13813511771
4755776;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;11;05;1000,13813511771
4755779;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;11;05;1149,84267247721
4755780;1;1;1;80;05;1;4;5; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;11;05;1063,41931409177
4755782;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;11;05;967,233288976085
4755782;1;2;1;80;05;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;11;05;967,233288976085
4755783;1;1;1;80;05;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;11;05;952,099943850293
4755783;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;11;05;952,099943850293
4755785;1;1;1;80;05;1;4;3; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;11;05;1119,53944798642
4755786;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;11;05;1063,41931409177
4755787;1;1;1;80;05;1;4;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;11;05;1063,41931409177
4755790;1;2;1;80;05;1;1;9;INCAPACITADO POR UNA GOLPIZA QUE LE DIERON;2; ; ;12;RECLUIDO EN EL BUNKER DE LA FISCALIA;2; ;1;800000;2; ;781242;2;1;11;05;914,491882653892
4755790;1;5;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;11;05;914,491882653892
4755791;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;11;05;1142,49719662895
4755791;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;11;05;1142,49719662895
4755792;1;1;1;80;05;1;4;7; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;11;05;1063,41931409177
4755794;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;11;05;974,578764824348
4755794;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;11;05;974,578764824348
4755796;1;1;1;80;05;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;11;05;1231,01824218126
4755797;1;3;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;11;05;1149,08119888276
