DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;clase;MES;DPTO;fex_c_2011;AREA
4755774;1;5;3;1;1;1;1;1;3;2; ;98;300000000;1300000; ;1;1;1;1;1;2;1;2;1;1;1;1;1;1;2;2;1;2;1;1;2;1;3;3;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;11;05;926,283034446439;05
4755775;1;1;1;1;1;1;1;2;4;3; ; ; ; ;400000;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;1;2;1;1;1;2; ;1;2;1;4;1;3;2;1;1;3;1;1;01;1;11;05;981,924240672611;05
4755776;1;3;2;1;1;1;1;1;3;1; ; ;90000000;700000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;1;4;4;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;1;11;05;1000,13813511771;05
4755777;1;1;1;1;1;1;1;6; ;4; ; ; ;150000; ;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;1;2; ;1;2;1;4;1;2;2;1;1;3;1;1;01;1;11;05;981,924240672611;05
4755778;1;3;1;1;1;1;1;1;4;3; ; ; ; ;350000;2;2;2;2;1;1;1;2;1;2;1;2;2;2;2;2;2;2;1;2;2;1;1;1;2; ;1;2;1;4;1;2;2;1;1;2;1;1;01;1;11;05;1126,88492383468;05
4755779;1;3;2;1;1;1;1;1;1;1; ; ;98;400000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2;1;3;3;2; ;1;2;1;4;1;2;2;1;1;2;1;1;01;1;11;05;1149,84267247721;05
4755780;1;3;1;1;1;1;1;1;3;4; ; ; ;250000; ;1;1;2;2;1;1;1;1;1;1;1;2;2;2;2;2;1;2;2;2;2;2; ;1;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;11;05;1063,41931409177;05
4755781;1;2;1;1;1;1;1;1;3;4; ; ; ;300000; ;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;2;2; ;1;2;1;3;1;2;1;1;1;2;1;1;01;1;11;05;974,578764824348;05
4755782;1;6;3;1;1;1;1;1;1;1; ; ;80000000;700000; ;1;1;2;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;3;2; ;1;2;1;4;1;3;2;1;1;3;1;1;01;1;11;05;967,233288976085;05
4755783;1;4;3;1;1;1;1;1;3;1; ; ;140000000;600000; ;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;2;2;2;2;1;3;3;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;11;05;952,099943850293;05
