DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4707293;1;3;1;70;05;8;48;1; ;2;8;1; ;6;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;45;87;22;1;1;2220;09;05;871,714431421694
4707298;1;2;1;70;05;2;48;1; ;2;24;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;1;5233;09;05;1049,81495434659
4707312;1;3;1;70;05;8;48;1; ;2;12;1; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;97;45;51;1;1;5133;09;05;1068,24189063194
4707322;1;2;1;70;05;208;48;1; ;2;4;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;1;50000;781200;2; ;03;85;72;1;2;7250;09;05;976,819436193392
4707326;1;1;1;70;05;104;24;4; ;2;99;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;13;13;80;1;2;8041;09;05;850,256197950026
4707342;1;2;1;70;05;12;48;1; ;2;12;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;39;97;51;1;1;5125;09;05;923,928527906104
4707344;1;1;1;70;05;6;60;1; ;2;6;1; ;6;2;7; ; ; ; ; ; ; ; ; ; ;1;1;1600000;2400000;2; ;02;02;70;1;1;7010;09;05;1081,92444096509
4707357;1;1;1;70;05;12;48;4; ;2;260;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;53;55;52;1;1;5239;09;05;1007,84526376328
4707357;1;2;1;70;05;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;45;45;52;1;1;5235;09;05;1007,84526376328
4707360;1;1;1;70;05;33;48;1; ;2;33;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;850000;2; ;39;03;74;1;2;7492;09;05;1246,83890773578
4707368;1;3;1;70;05;4;16;1; ;2;8;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;19;45;52;1;1;5233;09;05;1146,585017224
