DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4894023;1;1;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;04;19;1831,49219117607
4894024;1;3;1;80; ;2;1;2;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;04;19;1800,54814967889
4894024;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;04;19;1800,54814967889
4894025;1;1;1;80; ;2;1;1;8; ;1; ;1;1; ;2; ;2; ; ; ; ;2;1;04;19;1184,41003929788
4894025;1;2;1;80; ;2;1;1;8; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;04;19;1184,41003929788
4894025;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;04;19;1184,41003929788
4894025;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;04;19;1184,41003929788
4894025;2;3;2;80; ;2;2; ; ; ; ;1;2;1; ;2; ;2; ;1;40;828116;2;1;04;19;1184,41003929788
4894025;2;4;2;80; ;2;1;1;8; ;2; ; ;1; ;2; ;2; ;1;45;98;2;1;04;19;1184,41003929788
4894027;1;1;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;04;19;1823,05631197297
4894027;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;04;19;1823,05631197297
4894028;1;1;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;04;19;1474,95758779648
4894029;1;2;1;80; ;2;1;2;8; ;2; ; ;1; ;2; ;2; ;1;40;828116;2;1;04;19;2405,54643027941
4894031;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;04;19;2755,82686060357
4894031;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;04;19;2755,82686060357
4894032;1;2;1;80; ;2;1;1;3; ;2; ; ;9; ;2; ;2; ;2; ;98;2;1;04;19;2035,07358218973
4894032;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;04;19;2035,07358218973
4894033;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;04;19;2779,82699159534
4894033;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;04;19;2779,82699159534
